WV,Cap,Case size,tanδ,ESR (Initial) 20℃@100kHz,ESR (Initial) -40℃@100kHz,Rated ripple current 125℃@100kHz,Part No.
25,1200,12.5×20,0.14,0.044,0.22,1820,EGPA250E□□122MK20S
25,1500,14.5×20,0.14,0.037,0.19,2100,EGPA250E□□152MU20S
25,1800,12.5×25,0.14,0.033,0.17,2400,EGPA250E□□182MK25S
25,1800,16×20,0.14,0.034,0.17,2280,EGPA250E□□182ML20S
25,2200,12.5×30,0.16,0.029,0.13,2560,EGPA250E□□222MK30S
25,2200,14.5×25,0.16,0.028,0.14,2800,EGPA250E□□222MU25S
25,2700,12.5×35,0.16,0.024,0.11,2970,EGPA250E□□272MK35S
25,2700,14.5×30,0.16,0.023,0.1,3060,EGPA250E□□272MU30S
25,2700,16×25,0.16,0.026,0.13,3100,EGPA250E□□272ML25S
25,2700,18×20,0.16,0.032,0.16,2490,EGPA250E□□272MM20S
25,3300,12.5×40,0.18,0.021,0.095,3600,EGPA250E□□332MK40S
25,3300,14.5×35,0.18,0.021,0.095,3380,EGPA250E□□332MU35S
25,3300,16×30,0.18,0.023,0.1,3160,EGPA250E□□332ML30S
25,3900,16×35,0.18,0.02,0.09,3590,EGPA250E□□392ML35S
25,3900,18×25,0.18,0.024,0.12,3200,EGPA250E□□392MM25S
25,4700,14.5×40,0.2,0.018,0.081,4000,EGPA250E□□472MU40S
25,4700,18×30,0.2,0.022,0.099,3390,EGPA250E□□472MM30S
25,5600,16×40,0.22,0.017,0.077,4300,EGPA250E□□562ML40S
25,5600,18×35,0.22,0.019,0.086,4200,EGPA250E□□562MM35S
25,6800,18×40,0.24,0.016,0.072,4600,EGPA250E□□682MM40S
35,680,12.5×20,0.12,0.044,0.22,1820,EGPA350E□□681MK20S
35,1000,12.5×25,0.12,0.033,0.17,2400,EGPA350E□□102MK25S
35,1000,14.5×20,0.12,0.037,0.19,2100,EGPA350E□□102MU20S
35,1200,12.5×30,0.12,0.029,0.13,2560,EGPA350E□□122MK30S
35,1200,14.5×25,0.12,0.028,0.14,2800,EGPA350E□□122MU25S
35,1200,16×20,0.12,0.034,0.17,2280,EGPA350E□□122ML20S
35,1500,12.5×35,0.12,0.024,0.11,2970,EGPA350E□□152MK35S
35,1500,14.5×30,0.12,0.023,0.1,3060,EGPA350E□□152MU30S
35,1500,18×20,0.12,0.032,0.16,2490,EGPA350E□□152MM20S
35,1800,12.5×40,0.12,0.021,0.095,3600,EGPA350E□□182MK40S
35,1800,16×25,0.12,0.026,0.13,3100,EGPA350E□□182ML25S
35,2200,14.5×35,0.14,0.021,0.095,3380,EGPA350E□□222MU35S
35,2200,16×30,0.14,0.023,0.1,3160,EGPA350E□□222ML30S
35,2200,18×25,0.14,0.024,0.12,3200,EGPA350E□□222MM25S
35,2700,14.5×40,0.14,0.018,0.081,4000,EGPA350E□□272MU40S
35,2700,16×35,0.14,0.02,0.09,3590,EGPA350E□□272ML35S
35,2700,18×30,0.14,0.022,0.099,3390,EGPA350E□□272MM30S
35,3300,16×40,0.16,0.017,0.077,4300,EGPA350E□□332ML40S
35,3300,18×35,0.16,0.019,0.086,4200,EGPA350E□□332MM35S
35,4700,18×40,0.18,0.016,0.072,4600,EGPA350E□□472MM40S
50,470,12.5×20,0.1,0.065,0.33,1500,EGPA500E□□471MK20S
50,560,14.5×20,0.1,0.055,0.28,1740,EGPA500E□□561MU20S
50,680,12.5×25,0.1,0.048,0.24,1900,EGPA500E□□681MK25S
50,680,16×20,0.1,0.043,0.22,2040,EGPA500E□□681ML20S
50,820,12.5×30,0.1,0.041,0.18,2150,EGPA500E□□821MK30S
50,820,14.5×25,0.1,0.04,0.2,2190,EGPA500E□□821MU25S
50,1000,12.5×35,0.1,0.034,0.15,2510,EGPA500E□□102MK35S
50,1000,14.5×30,0.1,0.036,0.16,2470,EGPA500E□□102MU30S
50,1000,16×25,0.1,0.031,0.16,2620,EGPA500E□□102ML25S
50,1000,18×20,0.1,0.039,0.2,2240,EGPA500E□□102MM20S
50,1200,12.5×40,0.1,0.028,0.13,2870,EGPA500E□□122MK40S
50,1200,14.5×35,0.1,0.029,0.13,2840,EGPA500E□□122MU35S
50,1200,16×30,0.1,0.027,0.13,2940,EGPA500E□□122ML30S
50,1200,18×25,0.1,0.029,0.15,2750,EGPA500E□□122MM25S
50,1500,16×35,0.1,0.023,0.1,3300,EGPA500E□□152ML35S
50,1800,14.5×40,0.1,0.024,0.11,3230,EGPA500E□□182MU40S
50,1800,18×30,0.1,0.026,0.12,3140,EGPA500E□□182MM30S
50,2200,16×40,0.12,0.02,0.09,3720,EGPA500E□□222ML40S
50,2200,18×35,0.12,0.022,0.1,3510,EGPA500E□□222MM35S
50,2700,18×40,0.12,0.018,0.08,3940,EGPA500E□□272MM40S
63,470,16×20,0.1,0.085,0.58,1790,EGPA630E□□471ML20S
63,680,16×25,0.1,0.061,0.48,2030,EGPA630E□□681ML25S
63,680,18×20,0.1,0.07,0.49,1910,EGPA630E□□681MM20S
63,820,16×30,0.1,0.053,0.41,2330,EGPA630E□□821ML30S
63,1000,16×35,0.1,0.044,0.33,2580,EGPA630E□□102ML35S
63,1000,18×25,0.1,0.049,0.34,2280,EGPA630E□□102MM25S
63,1200,16×40,0.1,0.036,0.26,2900,EGPA630E□□122ML40S
63,1200,18×30,0.1,0.041,0.26,2580,EGPA630E□□122MM30S
63,1500,18×35,0.1,0.035,0.21,2890,EGPA630E□□152MM35S
63,1800,18×40,0.1,0.03,0.18,3210,EGPA630E□□182MM40S
80,330,16×20,0.08,0.085,0.58,1790,EGPA800E□□331ML20S
80,470,16×25,0.08,0.061,0.48,2030,EGPA800E□□471ML25S
80,470,18×20,0.08,0.07,0.49,1910,EGPA800E□□471MM20S
80,560,16×30,0.08,0.053,0.41,2330,EGPA800E□□561ML30S
80,560,18×25,0.08,0.049,0.34,2280,EGPA800E□□561MM25S
80,680,16×35,0.08,0.044,0.33,2580,EGPA800E□□681ML35S
80,680,18×30,0.08,0.041,0.26,2580,EGPA800E□□681MM30S
80,820,16×40,0.08,0.036,0.26,2900,EGPA800E□□821ML40S
80,820,18×35,0.08,0.035,0.21,2890,EGPA800E□□821MM35S
80,1200,18×40,0.08,0.03,0.18,3210,EGPA800E□□122MM40S
100,200,16×20,0.08,0.11,0.88,1580,EGPA101E□□201ML20S
100,270,18×20,0.08,0.091,0.73,1690,EGPA101E□□271MM20S
100,300,16×25,0.08,0.079,0.72,1990,EGPA101E□□301ML25S
100,360,16×30,0.08,0.068,0.62,2250,EGPA101E□□361ML30S
100,390,18×25,0.08,0.064,0.5,2110,EGPA101E□□391MM25S
100,470,16×35,0.08,0.056,0.5,2500,EGPA101E□□471ML35S
100,510,18×30,0.08,0.054,0.39,2410,EGPA101E□□511MM30S
100,560,16×40,0.08,0.046,0.39,2700,EGPA101E□□561ML40S
100,620,18×35,0.08,0.044,0.32,2690,EGPA101E□□621MM35S
100,750,18×40,0.08,0.039,0.27,2880,EGPA101E□□751MM40S
