WV (Vdc),Cap (µF),Case size φD×L(mm),tanδ,"Rated ripple current (mArms/ 105℃, 120Hz)",Part No.
6.3,220,5×11,0.34,140,EKMG6R3E□□221ME11D
6.3,330,6.3×11,0.34,190,EKMG6R3E□□331MF11D
6.3,470,6.3×11,0.34,230,EKMG6R3E□□471MF11D
6.3,"1,000",8×11.5,0.34,380,EKMG6R3E□□102MHB5D
6.3,"2,200",10×20,0.36,710,EKMG6R3E□□222MJ20S
6.3,"3,300",10×20,0.38,840,EKMG6R3E□□332MJ20S
6.3,"4,700",12.5×20,0.4,"1,090",EKMG6R3E□□472MK20S
6.3,"6,800",12.5×25,0.44,"1,350",EKMG6R3E□□682MK25S
6.3,"10,000",16×25,0.52,"1,650",EKMG6R3E□□103ML25S
6.3,"15,000",16×35.5,0.62,"2,010",EKMG6R3E□□153MLP1S
6.3,"22,000",18×40,0.76,"2,350",EKMG6R3E□□223MM40S
10.0,220,6.3×11,0.24,170,EKMG100E□□221MF11D
10.0,330,6.3×11,0.24,200,EKMG100E□□331MF11D
10.0,470,8×11.5,0.24,250,EKMG100E□□471MHB5D
10.0,"1,000",10×12.5,0.24,460,EKMG100E□□102MJC5S
10.0,"2,200",10×20,0.26,760,EKMG100E□□222MJ20S
10.0,"3,300",12.5×20,0.28,"1,000",EKMG100E□□332MK20S
10.0,"4,700",12.5×25,0.3,"1,260",EKMG100E□□472MK25S
10.0,"6,800",16×25,0.34,"1,570",EKMG100E□□682ML25S
10.0,"10,000",16×35.5,0.42,"1,890",EKMG100E□□103MLP1S
10.0,"15,000",18×35.5,0.52,"2,180",EKMG100E□□153MMP1S
16.0,100,5×11,0.2,110,EKMG160E□□101ME11D
16.0,220,6.3×11,0.2,180,EKMG160E□□221MF11D
16.0,330,8×11.5,0.2,260,EKMG160E□□331MHB5D
16.0,470,8×11.5,0.2,310,EKMG160E□□471MHB5D
16.0,"1,000",10×16,0.2,560,EKMG160E□□102MJ16S
16.0,"2,200",12.5×20,0.22,920,EKMG160E□□222MK20S
16.0,"3,300",12.5×25,0.24,"1,170",EKMG160E□□332MK25S
16.0,"4,700",16×25,0.26,"1,480",EKMG160E□□472ML25S
16.0,"6,800",16×31.5,0.3,"1,780",EKMG160E□□682MLN3S
16.0,"10,000",18×35.5,0.38,"2,060",EKMG160E□□103MMP1S
25.0,47,5×11,0.16,80,EKMG250E□□470ME11D
25.0,100,6.3×11,0.16,130,EKMG250E□□101MF11D
25.0,220,8×11.5,0.16,230,EKMG250E□□221MHB5D
25.0,330,8×11.5,0.16,310,EKMG250E□□331MHB5D
25.0,470,10×12.5,0.16,380,EKMG250E□□471MJC5S
25.0,"1,000",10×20,0.16,680,EKMG250E□□102MJ20S
25.0,"2,200",12.5×25,0.18,"1,090",EKMG250E□□222MK25S
25.0,"3,300",16×25,0.2,"1,400",EKMG250E□□332ML25S
