WV (Vdc),Cap (µF),Case size φD×L(mm),tanδ,Rated ripple current (mArms/105℃ 120Hz),Part No.
6.3,1000,8×11.5,0.28,390,EKMQ6R3E□□102MHB5D
6.3,2200,10×16,0.3,635,EKMQ6R3E□□222MJ16S
6.3,3300,10×20,0.32,840,EKMQ6R3E□□332MJ20S
6.3,4700,12.5×20,0.34,1090,EKMQ6R3E□□472MK20S
6.3,6800,12.5×25,0.38,1350,EKMQ6R3E□□682MK25S
6.3,10000,16×25,0.46,1650,EKMQ6R3E□□103ML25S
6.3,15000,16×31.5,0.56,1820,EKMQ6R3E□□153MLN3S
6.3,22000,18×35.5,0.7,2280,EKMQ6R3E□□223MMP1S
10.0,220,5×11,0.24,155,EKMQ100E□□221ME11D
10.0,330,6.3×11,0.24,210,EKMQ100E□□331MF11D
10.0,470,6.3×11,0.24,250,EKMQ100E□□471MF11D
10.0,1000,10×12.5,0.24,460,EKMQ100E□□102MJC5S
10.0,2200,10×16,0.26,705,EKMQ100E□□222MJ16S
10.0,3300,12.5×20,0.28,1000,EKMQ100E□□332MK20S
10.0,4700,12.5×25,0.3,1260,EKMQ100E□□472MK25S
10.0,6800,16×25,0.34,1570,EKMQ100E□□682ML25S
10.0,10000,16×31.5,0.42,1820,EKMQ100E□□103MLN3S
10.0,15000,16×35.5,0.52,2050,EKMQ100E□□153MLP1S
10.0,22000,18×40,0.66,2420,EKMQ100E□□223MM40S
16.0,220,6.3×11,0.2,190,EKMQ160E□□221MF11D
16.0,330,6.3×11,0.2,225,EKMQ160E□□331MF11D
16.0,470,8×11.5,0.2,315,EKMQ160E□□471MHB5D
16.0,1000,10×12.5,0.2,500,EKMQ160E□□102MJC5S
16.0,2200,10×20,0.22,710,EKMQ160E□□222MJ20S
16.0,3300,12.5×25,0.24,1170,EKMQ160E□□332MK25S
16.0,4700,16×25,0.26,1500,EKMQ160E□□472ML25S
16.0,6800,16×25,0.3,1600,EKMQ160E□□682ML25S
16.0,10000,16×35.5,0.38,1930,EKMQ160E□□103MLP1S
16.0,15000,18×40,0.48,2210,EKMQ160E□□153MM40S
25.0,100,5×11,0.16,125,EKMQ250E□□101ME11D
25.0,220,6.3×11,0.16,200,EKMQ250E□□221MF11D
25.0,330,8×11.5,0.16,310,EKMQ250E□□331MHB5D
25.0,470,10×12.5,0.16,380,EKMQ250E□□471MJC5S
25.0,1000,10×16,0.16,610,EKMQ250E□□102MJ16S
25.0,2200,12.5×25,0.18,1090,EKMQ250E□□222MK25S
25.0,3300,16×25,0.2,1400,EKMQ250E□□332ML25S
25.0,4700,16×25,0.22,1570,EKMQ250E□□472ML25S
25.0,6800,16×35.5,0.26,1850,EKMQ250E□□682MLP1S
25.0,10000,18×40,0.34,2000,EKMQ250E□□103MM40S
35,47.0,5×11,0.14,93,EKMQ350E□□470ME11D
35,68.0,6.3×11,0.14,110,EKMQ350E□□680MF11D
35,100.0,6.3×11,0.14,150,EKMQ350E□□101MF11D
35,220.0,8×11.5,0.14,270,EKMQ350E□□221MHB5D
35,330.0,10×12.5,0.14,350,EKMQ350E□□331MJC5S
35,470.0,10×16,0.14,460,EKMQ350E□□471MJ16S
35,1000.0,12.5×20,0.14,810,EKMQ350E□□102MK20S
35,2200.0,16×25,0.16,1260,EKMQ350E□□222ML25S
35,3300.0,16×31.5,0.18,1500,EKMQ350E□□332MLN3S
35,4700.0,16×35.5,0.2,1780,EKMQ350E□□472MLP1S
35,6800.0,18×40,0.24,2000,EKMQ350E□□682MM40S
50,1.0,5×11,0.12,13,EKMQ500E□□1R0ME11D
50,2.2,5×11,0.12,20,EKMQ500E□□2R2ME11D
50,3.3,5×11,0.12,25,EKMQ500E□□3R3ME11D
50,4.7,5×11,0.12,30,EKMQ500E□□4R7ME11D
50,10.0,5×11,0.12,46,EKMQ500E□□100ME11D
50,22.0,5×11,0.12,68,EKMQ500E□□220ME11D
50,33.0,5×11,0.12,90,EKMQ500E□□330ME11D
50,47.0,6.3×11,0.12,115,EKMQ500E□□470MF11D
50,68.0,6.3×11,0.12,150,EKMQ500E□□680MF11D
50,100.0,8×11.5,0.12,190,EKMQ500E□□101MHB5D
50,220.0,10×12.5,0.12,300,EKMQ500E□□221MJC5S
50,330.0,10×16,0.12,410,EKMQ500E□□331MJ16S
50,470.0,10×20,0.12,540,EKMQ500E□□471MJ20S
50,1000.0,12.5×25,0.12,950,EKMQ500E□□102MK25S
50,2200.0,16×31.5,0.14,1410,EKMQ500E□□222MLN3S
50,3300.0,18×35.5,0.16,1770,EKMQ500E□□332MMP1S
63,22.0,5×11,0.1,71,EKMQ630E□□220ME11D
63,33.0,6.3×11,0.1,100,EKMQ630E□□330MF11D
63,47.0,6.3×11,0.1,120,EKMQ630E□□470MF11D
63,68.0,8×11.5,0.1,155,EKMQ630E□□680MHB5D
63,100.0,8×11.5,0.1,200,EKMQ630E□□101MHB5D
63,220.0,10×16,0.1,335,EKMQ630E□□221MJ16S
63,330.0,10×20,0.1,510,EKMQ630E□□331MJ20S
63,470.0,12.5×20,0.1,640,EKMQ630E□□471MK20S
63,1000.0,16×25,0.1,930,EKMQ630E□□102ML25S
63,2200.0,18×35.5,0.12,1650,EKMQ630E□□222MMP1S
100,1.0,5×11,0.08,15,EKMQ101E□□1R0ME11D
100,2.2,5×11,0.08,21,EKMQ101E□□2R2ME11D
100,3.3,5×11,0.08,29,EKMQ101E□□3R3ME11D
100,4.7,5×11,0.08,32,EKMQ101E□□4R7ME11D
100,10.0,5×11,0.08,50,EKMQ101E□□100ME11D
100,22.0,6.3×11,0.08,93,EKMQ101E□□220MF11D
100,33.0,8×11.5,0.08,130,EKMQ101E□□330MHB5D
100,47.0,8×11.5,0.08,140,EKMQ101E□□470MHB5D
100,68.0,10×12.5,0.08,190,EKMQ101E□□680MJC5S
100,100.0,10×16,0.08,240,EKMQ101E□□101MJ16S
100,220.0,12.5×20,0.08,390,EKMQ101E□□221MK20S
100,330.0,12.5×25,0.08,540,EKMQ101E□□331MK25S
100,470.0,16×25,0.08,715,EKMQ101E□□471ML25S
100,1000.0,18×35.5,0.08,960,EKMQ101E□□102MMP1S
160,68.0,12.5×20,0.2,250,EKMQ161E□□680MK20S
160,100.0,12.5×25,0.2,310,EKMQ161E□□101MK25S
160,220.0,16×31.5,0.2,540,EKMQ161E□□221MLN3S
160,330.0,18×35.5,0.2,705,EKMQ161E□□331MMP1S
160,470.0,18×40,0.2,855,EKMQ161E□□471MM40S
200,47.0,12.5×20,0.2,195,EKMQ201E□□470MK20S
200,68.0,12.5×25,0.2,250,EKMQ201E□□680MK25S
200,100.0,16×25,0.2,335,EKMQ201E□□101ML25S
200,220.0,16×35.5,0.2,500,EKMQ201E□□221MLP1S
200,330.0,18×40,0.2,675,EKMQ201E□□331MM40S
250,47.0,12.5×20,0.2,190,EKMQ251E□□470MK20S
250,68.0,16×25,0.2,270,EKMQ251E□□680ML25S
250,100.0,16×25,0.2,310,EKMQ251E□□101ML25S
250,220.0,18×35.5,0.2,485,EKMQ251E□□221MMP1S
350,22.0,12.5×20,0.24,130,EKMQ351E□□220MK20S
350,33.0,12.5×25,0.24,170,EKMQ351E□□330MK25S
350,47.0,16×25,0.24,230,EKMQ351E□□470ML25S
350,68.0,16×25,0.24,285,EKMQ351E□□680ML25S
350,100.0,18×31.5,0.24,375,EKMQ351E□□101MMN3S
400,22.0,12.5×25,0.24,145,EKMQ401E□□220MK25S
400,33.0,16×25,0.24,195,EKMQ401E□□330ML25S
400,47.0,16×25,0.24,200,EKMQ401E□□470ML25S
400,68.0,16×31.5,0.24,240,EKMQ401E□□680MLN3S
400,100.0,18×35.5,0.24,310,EKMQ401E□□101MMP1S
450,22.0,12.5×25,0.24,100,EKMQ451E□□220MK25S
450,33.0,16×25,0.24,125,EKMQ451E□□330ML25S
450,47.0,16×31.5,0.24,155,EKMQ451E□□470MLN3S
450,68.0,18×35.5,0.24,185,EKMQ451E□□680MMP1S
450,100.0,18×40,0.24,200,EKMQ451E□□101MM40S
