WV (Vdc),Cap (µF),Case size φD×L(mm),tanδ,Rated ripple current (mArms/105℃ 120Hz),Part No.
6.3,4700,16×15,0.37,1010,EKRG6R3E□□472ML15S
6.3,6800,18×15,0.43,1190,EKRG6R3E□□682MM15S
6.3,10000,18×20,0.55,1440,EKRG6R3E□□103MM20S
10.0,1000,10×12.5,0.24,445,EKRG100E□□102MJC5S
10.0,2200,12.5×15,0.27,690,EKRG100E□□222MK15S
10.0,3300,16×15,0.3,940,EKRG100E□□332ML15S
10.0,4700,18×15,0.33,1120,EKRG100E□□472MM15S
10.0,6800,18×20,0.39,1330,EKRG100E□□682MM20S
10.0,10000,18×25,0.51,1700,EKRG100E□□103MM25S
16.0,1000,12.5×13,0.2,515,EKRG160E□□102MK13S
16.0,2200,16×15,0.23,830,EKRG160E□□222ML15S
16.0,3300,18×15,0.26,1050,EKRG160E□□332MM15S
16.0,4700,18×20,0.29,1260,EKRG160E□□472MM20S
16.0,6800,18×25,0.35,1560,EKRG160E□□682MM25S
25.0,470,10×12.5,0.16,370,EKRG250E□□471MJC5S
25.0,1000,12.5×15,0.16,590,EKRG250E□□102MK15S
25.0,2200,18×15,0.19,970,EKRG250E□□222MM15S
25.0,3300,18×20,0.22,1220,EKRG250E□□332MM20S
25.0,4700,18×25,0.25,1470,EKRG250E□□472MM25S
35.0,330,10×12.5,0.14,340,EKRG350E□□331MJC5S
35.0,470,12.5×13,0.14,415,EKRG350E□□471MK13S
35.0,1000,16×15,0.14,720,EKRG350E□□102ML15S
35.0,2200,18×20,0.17,1110,EKRG350E□□222MM20S
50.0,220,10×12.5,0.12,290,EKRG500E□□221MJC5S
50.0,330,12.5×13,0.12,370,EKRG500E□□331MK13S
50.0,470,16×15,0.12,535,EKRG500E□□471ML15S
50.0,1000,18×20,0.12,830,EKRG500E□□102MM20S
