WV(Vdc),Cap(µF),Case size φD×L(mm),tanδ,Rated ripple current(mArms/105℃ 120Hz),Part No.
400,22,10×20,0.2,235,EKWB401E□□220MJ20S
400,27,10×25,0.2,285,EKWB401E□□270MJ25S
400,39,10×30,0.2,365,EKWB401E□□390MJ30S
400,39,12.5×20,0.2,345,EKWB401E□□390MK20S
400,47,10×35,0.2,425,EKWB401E□□470MJ35S
400,56,10×40,0.2,485,EKWB401E□□560MJ40S
400,56,12.5×25,0.2,450,EKWB401E□□560MK25S
400,68,10×45,0.2,555,EKWB401E□□680MJ45S
400,68,10×50,0.2,575,EKWB401E□□680MJ50S
400,68,12.5×30,0.2,530,EKWB401E□□680MK30S
400,68,16×20,0.2,510,EKWB401E□□680ML20S
400,82,12.5×35,0.2,610,EKWB401E□□820MK35S
400,82,18×20,0.2,585,EKWB401E□□820MM20S
400,100,12.5×40,0.2,705,EKWB401E□□101MK40S
400,100,14.5×31.5,0.2,680,EKWB401E□□101MUN3S
400,100,16×25,0.2,670,EKWB401E□□101ML25S
400,120,12.5×45,0.2,800,EKWB401E□□121MK45S
400,120,12.5×50,0.2,820,EKWB401E□□121MK50S
400,120,14.5×35,0.2,765,EKWB401E□□121MU35S
400,120,16×31.5,0.2,790,EKWB401E□□121MLN3S
400,120,18×25,0.2,755,EKWB401E□□121MM25S
400,150,16×35,0.2,905,EKWB401E□□151ML35S
400,150,18×31.5,0.2,915,EKWB401E□□151MMN3S
400,180,16×40,0.2,1020,EKWB401E□□181ML40S
400,180,16×45,0.2,1040,EKWB401E□□181ML45S
400,180,18×31.5,0.2,1000,EKWB401E□□181MMN3S
400,180,18×35,0.2,1020,EKWB401E□□181MM35S
400,220,16×50,0.2,1170,EKWB401E□□221ML50S
400,220,18×40,0.2,1160,EKWB401E□□221MM40S
400,270,18×45,0.2,1310,EKWB401E□□271MM45S
400,270,18×50,0.2,1310,EKWB401E□□271MM50S
420,22,10×20,0.2,235,EKWB421E□□220MJ20S
420,27,10×25,0.2,285,EKWB421E□□270MJ25S
420,33,12.5×20,0.2,320,EKWB421E□□330MK20S
420,39,10×30,0.2,365,EKWB421E□□390MJ30S
420,47,10×35,0.2,425,EKWB421E□□470MJ35S
420,47,12.5×25,0.2,415,EKWB421E□□470MK25S
420,56,10×40,0.2,485,EKWB421E□□560MJ40S
420,56,10×45,0.2,505,EKWB421E□□560MJ45S
420,56,10×50,0.2,520,EKWB421E□□560MJ50S
420,68,12.5×30,0.2,530,EKWB421E□□680MK30S
420,68,16×20,0.2,510,EKWB421E□□680ML20S
420,82,12.5×35,0.2,610,EKWB421E□□820MK35S
420,82,12.5×40,0.2,640,EKWB421E□□820MK40S
420,82,14.5×31.5,0.2,615,EKWB421E□□820MUN3S
420,82,16×25,0.2,605,EKWB421E□□820ML25S
420,82,18×20,0.2,585,EKWB421E□□820MM20S
420,100,12.5×45,0.2,730,EKWB421E□□101MK45S
420,100,14.5×35,0.2,700,EKWB421E□□101MU35S
420,120,12.5×50,0.2,820,EKWB421E□□121MK50S
420,120,16×31.5,0.2,790,EKWB421E□□121MLN3S
420,120,18×25,0.2,755,EKWB421E□□121MM25S
420,150,16×35,0.2,905,EKWB421E□□151ML35S
420,150,16×40,0.2,935,EKWB421E□□151ML40S
420,150,18×31.5,0.2,915,EKWB421E□□151MMN3S
420,180,16×45,0.2,1040,EKWB421E□□181ML45S
420,180,16×50,0.2,1060,EKWB421E□□181ML50S
420,180,18×35,0.2,1020,EKWB421E□□181MM35S
420,180,18×40,0.2,1050,EKWB421E□□181MM40S
420,220,18×45,0.2,1190,EKWB421E□□221MM45S
420,270,18×50,0.2,1310,EKWB421E□□271MM50S
450,18,10×20,0.2,210,EKWB451E□□180MJ20S
450,27,10×25,0.2,285,EKWB451E□□270MJ25S
450,33,10×30,0.2,335,EKWB451E□□330MJ30S
450,33,12.5×20,0.2,320,EKWB451E□□330MK20S
450,39,10×35,0.2,385,EKWB451E□□390MJ35S
450,47,10×40,0.2,445,EKWB451E□□470MJ40S
450,47,12.5×25,0.2,415,EKWB451E□□470MK25S
450,56,10×45,0.2,505,EKWB451E□□560MJ45S
450,56,10×50,0.2,520,EKWB451E□□560MJ50S
450,56,12.5×30,0.2,480,EKWB451E□□560MK30S
450,56,16×20,0.2,460,EKWB451E□□560ML20S
450,68,12.5×35,0.2,560,EKWB451E□□680MK35S
450,82,12.5×40,0.2,640,EKWB451E□□820MK40S
450,82,12.5×45,0.2,660,EKWB451E□□820MK45S
450,82,14.5×31.5,0.2,615,EKWB451E□□820MUN3S
450,82,16×25,0.2,605,EKWB451E□□820ML25S
450,82,18×20,0.2,585,EKWB451E□□820MM20S
450,100,12.5×50,0.2,750,EKWB451E□□101MK50S
450,100,14.5×35,0.2,700,EKWB451E□□101MU35S
450,100,16×31.5,0.2,720,EKWB451E□□101MLN3S
450,100,18×25,0.2,690,EKWB451E□□101MM25S
450,120,16×35,0.2,810,EKWB451E□□121ML35S
450,120,18×31.5,0.2,815,EKWB451E□□121MMN3S
450,150,16×40,0.2,935,EKWB451E□□151ML40S
450,150,16×45,0.2,950,EKWB451E□□151ML45S
450,150,18×31.5,0.2,915,EKWB451E□□151MMN3S
450,150,18×35,0.2,935,EKWB451E□□151MM35S
450,180,16×50,0.2,1060,EKWB451E□□181ML50S
450,180,18×40,0.2,1050,EKWB451E□□181MM40S
450,220,18×45,0.2,1190,EKWB451E□□221MM45S
450,220,18×50,0.2,1190,EKWB451E□□221MM50S
