WV (Vdc),Cap (µF),Case size φD×L(mm),tanδ,Rated ripple current (mArms/105℃ 120Hz),Part No.
160,22.0,10×12.5,0.24,121,EKXF161E□□220MJC5S
160,33.0,10×16,0.24,158,EKXF161E□□330MJ16S
200,18.0,10×12.5,0.24,113,EKXF201E□□180MJC5S
200,27.0,10×16,0.24,149,EKXF201E□□270MJ16S
250,10.0,10×12.5,0.24,90,EKXF251E□□100MJC5S
250,12.0,10×12.5,0.24,97,EKXF251E□□120MJC5S
250,18.0,10×16,0.24,129,EKXF251E□□180MJ16S
400,5.6,10×12.5,0.24,64,EKXF401E□□5R6MJC5S
400,8.2,10×16,0.24,88,EKXF401E□□8R2MJ16S
450,6.8,10×16,0.24,62,EKXF451E□□6R8MJ16S
450,8.2,10×16,0.24,88,EKXF451E□□8R2MJ16S
450,10.0,10×20,0.24,92,EKXF451E□□100MJ20S
450,15.0,12.5×20,0.24,140,EKXF451E□□150MK20S
450,22.0,12.5×25,0.24,240,EKXF451E□□220MK25S
450,27.0,16×20,0.24,305,EKXF451E□□270ML20S
450,33.0,16×25,0.24,392,EKXF451E□□330ML25S
450,33.0,18×20,0.24,312,EKXF451E□□330MM20S
450,47.0,18×25,0.24,480,EKXF451E□□470MM25S
450,68.0,18×31.5,0.24,520,EKXF451E□□680MMN3S
