WV (Vdc),Cap (µF),Case size φD×L(mm),tanδ,Rated ripple current (mArms/105℃ 120Hz),Part No.
160,39.0,10×16,0.2,245,EKXJ161E□□390MJ16S
160,56.0,10×20,0.2,315,EKXJ161E□□560MJ20S
160,82.0,10×25,0.2,415,EKXJ161E□□820MJ25S
160,82.0,10×30,0.2,445,EKXJ161E□□820MJ30S
160,100.0,12.5×20,0.2,575,EKXJ161E□□101MK20S
160,120.0,10×35,0.2,570,EKXJ161E□□121MJ35S
160,120.0,14.5×20,0.2,675,EKXJ161E□□121MU20S
160,150.0,10×40,0.2,665,EKXJ161E□□151MJ40S
160,150.0,10×45,0.2,695,EKXJ161E□□151MJ45S
160,150.0,12.5×25,0.2,765,EKXJ161E□□151MK25S
160,180.0,10×50,0.2,785,EKXJ161E□□181MJ50S
160,180.0,12.5×30,0.2,885,EKXJ161E□□181MK30S
160,180.0,14.5×25,0.2,890,EKXJ161E□□181MU25S
160,180.0,16×20,0.2,855,EKXJ161E□□181ML20S
160,220.0,12.5×35,0.2,1040,EKXJ161E□□221MK35S
160,220.0,16×25,0.2,1020,EKXJ161E□□221ML25S
160,220.0,18×20,0.2,990,EKXJ161E□□221MM20S
160,270.0,12.5×40,0.2,1190,EKXJ161E□□271MK40S
160,270.0,12.5×45,0.2,1230,EKXJ161E□□271MK45S
160,270.0,14.5×31.5,0.2,1170,EKXJ161E□□271MUN3S
160,270.0,14.5×35.5,0.2,1210,EKXJ161E□□271MUP1S
160,330.0,12.5×50,0.2,1400,EKXJ161E□□331MK50S
160,330.0,14.5×40,0.2,1385,EKXJ161E□□331MU40S
160,330.0,16×31.5,0.2,1350,EKXJ161E□□331MLN3S
160,330.0,18×25,0.2,1290,EKXJ161E□□331MM25S
160,390.0,14.5×45,0.2,1545,EKXJ161E□□391MU45S
160,390.0,16×35.5,0.2,1500,EKXJ161E□□391MLP1S
160,470.0,14.5×50,0.2,1735,EKXJ161E□□471MU50S
160,470.0,16×40,0.2,1700,EKXJ161E□□471ML40S
160,470.0,16×45,0.2,1730,EKXJ161E□□471ML45S
160,470.0,18×31.5,0.2,1660,EKXJ161E□□471MMN3S
160,470.0,18×35.5,0.2,1715,EKXJ161E□□471MMP1S
160,560.0,16×50,0.2,1920,EKXJ161E□□561ML50S
160,560.0,18×40,0.2,1905,EKXJ161E□□561MM40S
160,680.0,18×45,0.2,2130,EKXJ161E□□681MM45S
160,680.0,18×50,0.2,2145,EKXJ161E□□681MM50S
200,27.0,10×16,0.2,200,EKXJ201E□□270MJ16S
200,47.0,10×20,0.2,290,EKXJ201E□□470MJ20S
200,56.0,10×25,0.2,345,EKXJ201E□□560MJ25S
200,68.0,10×30,0.2,405,EKXJ201E□□680MJ30S
