WV (Vdc),Cap (µF),Case size φD×L(mm),tanδ,Rated ripple current (mArms/105℃ 120Hz),Part No.
400,18,10×20,0.24,220,EKXL401E□□180MJ20S
400,22,10×25,0.24,250,EKXL401E□□220MJ25S
400,27,12.5×20,0.24,300,EKXL401E□□270MK20S
400,33,10×30,0.24,340,EKXL401E□□330MJ30S
400,39,10×35,0.24,390,EKXL401E□□390MJ35S
400,39,12.5×25,0.24,390,EKXL401E□□390MK25S
400,39,14.5×20,0.24,370,EKXL401E□□390MU20S
400,47,10×40,0.24,440,EKXL401E□□470MJ40S
400,56,10×45,0.24,500,EKXL401E□□560MJ45S
400,56,12.5×30,0.24,495,EKXL401E□□560MK30S
400,56,14.5×25,0.24,495,EKXL401E□□560MU25S
400,56,16×20,0.24,480,EKXL401E□□560ML20S
400,68,12.5×35,0.24,570,EKXL401E□□680MK35S
400,68,14.5×30,0.24,585,EKXL401E□□680MU30S
400,68,16×25,0.24,570,EKXL401E□□680ML25S
400,68,18×20,0.24,530,EKXL401E□□680MM20S
400,82,12.5×40,0.24,650,EKXL401E□□820MK40S
400,82,14.5×35,0.24,670,EKXL401E□□820MU35S
400,100,12.5×50,0.24,760,EKXL401E□□101MK50S
400,100,14.5×40,0.24,760,EKXL401E□□101MU40S
400,100,16×30,0.24,720,EKXL401E□□101ML30S
400,100,18×25,0.24,710,EKXL401E□□101MM25S
400,120,14.5×45,0.24,840,EKXL401E□□121MU45S
400,120,16×35,0.24,810,EKXL401E□□121ML35S
400,120,18×30,0.24,840,EKXL401E□□121MM30S
400,150,18×35,0.24,930,EKXL401E□□151MM35S
420,15,10×20,0.24,195,EKXL421E□□150MJ20S
420,22,10×25,0.24,250,EKXL421E□□220MJ25S
420,27,10×30,0.24,300,EKXL421E□□270MJ30S
420,27,12.5×20,0.24,300,EKXL421E□□270MK20S
420,33,10×35,0.24,350,EKXL421E□□330MJ35S
420,33,12.5×25,0.24,350,EKXL421E□□330MK25S
420,33,14.5×20,0.24,350,EKXL421E□□330MU20S
420,39,10×40,0.24,400,EKXL421E□□390MJ40S
420,47,10×45,0.24,460,EKXL421E□□470MJ45S
420,47,12.5×30,0.24,440,EKXL421E□□470MK30S
420,47,16×20,0.24,430,EKXL421E□□470ML20S
420,56,10×50,0.24,520,EKXL421E□□560MJ50S
420,56,12.5×35,0.24,510,EKXL421E□□560MK35S
420,56,14.5×25,0.24,490,EKXL421E□□560MU25S
420,68,12.5×40,0.24,580,EKXL421E□□680MK40S
420,68,14.5×30,0.24,560,EKXL421E□□680MU30S
420,68,16×25,0.24,560,EKXL421E□□680ML25S
420,68,18×20,0.24,540,EKXL421E□□680MM20S
420,82,12.5×45,0.24,660,EKXL421E□□820MK45S
420,82,14.5×35,0.24,660,EKXL421E□□820MU35S
420,82,16×30,0.24,650,EKXL421E□□820ML30S
420,82,18×25,0.24,640,EKXL421E□□820MM25S
420,100,12.5×50,0.24,750,EKXL421E□□101MK50S
420,100,14.5×40,0.24,720,EKXL421E□□101MU40S
420,100,16×35,0.24,730,EKXL421E□□101ML35S
420,120,16×40,0.24,840,EKXL421E□□121ML40S
420,120,18×30,0.24,800,EKXL421E□□121MM30S
450,15,10×20,0.24,190,EKXL451E□□150MJ20S
450,18,10×25,0.24,230,EKXL451E□□180MJ25S
450,27,10×30,0.24,300,EKXL451E□□270MJ30S
450,27,12.5×20,0.24,290,EKXL451E□□270MK20S
450,33,10×35,0.24,350,EKXL451E□□330MJ35S
450,33,12.5×25,0.24,360,EKXL451E□□330MK25S
450,33,14.5×20,0.24,335,EKXL451E□□330MU20S
450,39,10×40,0.24,400,EKXL451E□□390MJ40S
450,39,16×20,0.24,400,EKXL451E□□390ML20S
450,47,10×50,0.24,480,EKXL451E□□470MJ50S
450,47,12.5×30,0.24,440,EKXL451E□□470MK30S
450,47,14.5×25,0.24,450,EKXL451E□□470MU25S
450,56,12.5×35,0.24,500,EKXL451E□□560MK35S
450,56,14.5×30,0.24,540,EKXL451E□□560MU30S
450,56,16×25,0.24,500,EKXL451E□□560ML25S
450,56,18×20,0.24,500,EKXL451E□□560MM20S
450,68,12.5×40,0.24,580,EKXL451E□□680MK40S
450,68,14.5×35,0.24,620,EKXL451E□□680MU35S
450,82,12.5×50,0.24,680,EKXL451E□□820MK50S
450,82,14.5×40,0.24,670,EKXL451E□□820MU40S
450,82,16×30,0.24,650,EKXL451E□□820ML30S
450,82,18×25,0.24,650,EKXL451E□□820MM25S
450,100,14.5×45,0.24,760,EKXL451E□□101MU45S
450,100,16×35,0.24,730,EKXL451E□□101ML35S
450,100,18×30,0.24,750,EKXL451E□□101MM30S
450,120,18×35,0.24,860,EKXL451E□□121MM35S
