WV (Vdc),Cap (µF),Case size φD×L(mm),tanδ,Rated ripple current (mArms/105℃ 120Hz),Part No.
350,18,10×16,0.24,205,EKXN351E□□180MJ16S
350,27,10×20,0.24,270,EKXN351E□□270MJ20S
350,33,10×25,0.24,325,EKXN351E□□330MJ25S
350,33,12.5×16,0.24,315,EKXN351E□□330MK16S
350,47,10×30,0.24,420,EKXN351E□□470MJ30S
350,47,12.5×20,0.24,420,EKXN351E□□470MK20S
350,56,10×35,0.24,485,EKXN351E□□560MJ35S
350,56,16×16,0.24,475,EKXN351E□□560ML16S
350,68,10×40,0.24,560,EKXN351E□□680MJ40S
350,68,10×45,0.24,580,EKXN351E□□680MJ45S
350,68,12.5×25,0.24,550,EKXN351E□□680MK25S
350,68,18×16,0.24,550,EKXN351E□□680MM16S
350,82,10×50,0.24,660,EKXN351E□□820MJ50S
350,82,12.5×30,0.24,640,EKXN351E□□820MK30S
350,82,16×20,0.24,615,EKXN351E□□820ML20S
350,100,12.5×35,0.24,745,EKXN351E□□101MK35S
350,100,12.5×40,0.24,775,EKXN351E□□101MK40S
350,100,18×20,0.24,715,EKXN351E□□101MM20S
350,120,12.5×45,0.24,880,EKXN351E□□121MK45S
350,120,16×25,0.24,810,EKXN351E□□121ML25S
350,120,16×30,0.24,870,EKXN351E□□121ML30S
350,150,12.5×50,0.24,1010,EKXN351E□□151MK50S
350,150,18×25,0.24,930,EKXN351E□□151MM25S
350,180,16×35,0.24,1090,EKXN351E□□181ML35S
350,180,16×40,0.24,1120,EKXN351E□□181ML40S
350,180,18×30,0.24,1090,EKXN351E□□181MM30S
350,220,16×45,0.24,1270,EKXN351E□□221ML45S
350,220,18×35,0.24,1250,EKXN351E□□221MM35S
350,220,18×40,0.24,1280,EKXN351E□□221MM40S
350,270,16×50,0.24,1430,EKXN351E□□271ML50S
350,270,18×45,0.24,1450,EKXN351E□□271MM45S
350,330,18×50,0.24,1600,EKXN351E□□331MM50S
400,15,10×16,0.24,185,EKXN401E□□150MJ16S
400,22,10×20,0.24,245,EKXN401E□□220MJ20S
400,27,10×25,0.24,295,EKXN401E□□270MJ25S
400,27,12.5×16,0.24,285,EKXN401E□□270MK16S
400,39,10×30,0.24,385,EKXN401E□□390MJ30S
400,39,12.5×20,0.24,380,EKXN401E□□390MK20S
400,47,10×35,0.24,445,EKXN401E□□470MJ35S
400,47,16×16,0.24,435,EKXN401E□□470ML16S
400,56,10×40,0.24,505,EKXN401E□□560MJ40S
400,56,10×45,0.24,530,EKXN401E□□560MJ45S
400,56,12.5×25,0.24,500,EKXN401E□□560MK25S
400,56,18×16,0.24,500,EKXN401E□□560MM16S
400,68,10×50,0.24,600,EKXN401E□□680MJ50S
400,68,12.5×30,0.24,585,EKXN401E□□680MK30S
400,68,16×20,0.24,560,EKXN401E□□680ML20S
400,82,12.5×35,0.24,675,EKXN401E□□820MK35S
400,82,18×20,0.24,645,EKXN401E□□820MM20S
400,100,12.5×40,0.24,775,EKXN401E□□101MK40S
400,100,12.5×45,0.24,805,EKXN401E□□101MK45S
400,100,16×25,0.24,740,EKXN401E□□101ML25S
400,120,12.5×50,0.24,905,EKXN401E□□121MK50S
400,120,16×30,0.24,870,EKXN401E□□121ML30S
400,120,18×25,0.24,830,EKXN401E□□121MM25S
400,150,16×35,0.24,995,EKXN401E□□151ML35S
400,150,16×40,0.24,1030,EKXN401E□□151ML40S
400,150,18×30,0.24,995,EKXN401E□□151MM30S
400,180,16×45,0.24,1140,EKXN401E□□181ML45S
400,180,18×35,0.24,1130,EKXN401E□□181MM35S
400,220,16×50,0.24,1290,EKXN401E□□221ML50S
400,220,18×40,0.24,1280,EKXN401E□□221MM40S
400,220,18×45,0.24,1310,EKXN401E□□221MM45S
400,270,18×50,0.24,1450,EKXN401E□□271MM50S
420,15,10×16,0.24,185,EKXN421E□□150MJ16S
420,22,10×20,0.24,245,EKXN421E□□220MJ20S
420,27,10×25,0.24,295,EKXN421E□□270MJ25S
420,27,12.5×16,0.24,285,EKXN421E□□270MK16S
420,33,10×30,0.24,350,EKXN421E□□330MJ30S
420,39,10×35,0.24,405,EKXN421E□□390MJ35S
420,39,12.5×20,0.24,380,EKXN421E□□390MK20S
420,39,16×16,0.24,400,EKXN421E□□390ML16S
420,47,10×40,0.24,465,EKXN421E□□470MJ40S
420,56,10×45,0.24,530,EKXN421E□□560MJ45S
420,56,10×50,0.24,545,EKXN421E□□560MJ50S
420,56,12.5×25,0.24,500,EKXN421E□□560MK25S
420,56,18×16,0.24,500,EKXN421E□□560MM16S
420,68,12.5×30,0.24,585,EKXN421E□□680MK30S
420,68,16×20,0.24,560,EKXN421E□□680ML20S
420,82,12.5×35,0.24,675,EKXN421E□□820MK35S
420,82,12.5×40,0.24,705,EKXN421E□□820MK40S
420,82,16×25,0.24,670,EKXN421E□□820ML25S
420,82,18×20,0.24,645,EKXN421E□□820MM20S
420,100,12.5×45,0.24,805,EKXN421E□□101MK45S
420,100,16×30,0.24,795,EKXN421E□□101ML30S
420,120,12.5×50,0.24,905,EKXN421E□□121MK50S
420,120,16×35,0.24,890,EKXN421E□□121ML35S
420,120,18×25,0.24,830,EKXN421E□□121MM25S
420,150,16×40,0.24,1030,EKXN421E□□151ML40S
420,150,18×30,0.24,995,EKXN421E□□151MM30S
420,180,16×45,0.24,1140,EKXN421E□□181ML45S
420,180,16×50,0.24,1160,EKXN421E□□181ML50S
420,180,18×35,0.24,1130,EKXN421E□□181MM35S
420,180,18×40,0.24,1160,EKXN421E□□181MM40S
420,220,18×45,0.24,1310,EKXN421E□□221MM45S
420,270,18×50,0.24,1450,EKXN421E□□271MM50S
450,15,10×16,0.24,185,EKXN451E□□150MJ16S
