WV (Vdc),Cap (µF),Case size φD×L(mm),ESR (Ω max./20℃ 100kHz),Rated ripple current (mArms/105℃ 100kHz),Part No.
16,910,10×12.5,0.14,1120,EKYC160E□□911MJC5S
16,1300,10×16,0.1,1570,EKYC160E□□132MJ16S
16,2000,10×20,0.065,1940,EKYC160E□□202MJ20S
16,3300,12.5×20,0.05,2150,EKYC160E□□332MK20S
16,4700,12.5×25,0.037,2820,EKYC160E□□472MK25S
16,5600,12.5×30,0.029,3120,EKYC160E□□562MK30S
16,5600,16×20,0.038,2530,EKYC160E□□562ML20S
16,6800,18×20,0.037,2700,EKYC160E□□682MM20S
16,7500,16×25,0.031,3240,EKYC160E□□752ML25S
16,9100,16×30,0.025,3580,EKYC160E□□912ML30S
16,10000,18×25,0.03,3350,EKYC160E□□103MM25S
16,12000,18×30,0.024,3710,EKYC160E□□123MM30S
25,560,10×12.5,0.14,1120,EKYC250E□□561MJC5S
25,820,10×16,0.1,1570,EKYC250E□□821MJ16S
25,1300,10×20,0.065,1940,EKYC250E□□132MJ20S
25,2000,12.5×20,0.05,2150,EKYC250E□□202MK20S
25,3000,12.5×25,0.037,2820,EKYC250E□□302MK25S
25,3600,16×20,0.038,2530,EKYC250E□□362ML20S
25,3900,12.5×30,0.029,3120,EKYC250E□□392MK30S
25,4700,18×20,0.037,2700,EKYC250E□□472MM20S
25,5100,16×25,0.031,3240,EKYC250E□□512ML25S
25,6200,16×30,0.025,3580,EKYC250E□□622ML30S
25,6200,18×25,0.03,3350,EKYC250E□□622MM25S
25,8200,18×30,0.024,3710,EKYC250E□□822MM30S
35,390,10×12.5,0.14,1120,EKYC350E□□391MJC5S
35,560,10×16,0.1,1570,EKYC350E□□561MJ16S
35,820,10×20,0.065,1940,EKYC350E□□821MJ20S
35,1300,12.5×20,0.05,2150,EKYC350E□□132MK20S
35,1800,12.5×25,0.037,2820,EKYC350E□□182MK25S
35,2200,16×20,0.038,2530,EKYC350E□□222ML20S
35,2400,12.5×30,0.029,3120,EKYC350E□□242MK30S
35,3000,18×20,0.037,2700,EKYC350E□□302MM20S
35,3300,16×25,0.031,3240,EKYC350E□□332ML25S
35,3900,16×30,0.025,3580,EKYC350E□□392ML30S
35,4300,18×25,0.03,3350,EKYC350E□□432MM25S
35,5100,18×30,0.024,3710,EKYC350E□□512MM30S
50,180,10×12.5,0.14,1120,EKYC500E□□181MJC5S
50,300,10×16,0.1,1570,EKYC500E□□301MJ16S
50,430,10×20,0.065,1940,EKYC500E□□431MJ20S
50,680,12.5×20,0.05,2150,EKYC500E□□681MK20S
50,910,12.5×25,0.037,2820,EKYC500E□□911MK25S
50,1200,16×20,0.038,2530,EKYC500E□□122ML20S
50,1300,12.5×30,0.029,3120,EKYC500E□□132MK30S
50,1500,18×20,0.037,2700,EKYC500E□□152MM20S
50,1600,16×25,0.031,3240,EKYC500E□□162ML25S
50,2000,16×30,0.025,3580,EKYC500E□□202ML30S
50,2200,18×25,0.03,3350,EKYC500E□□222MM25S
50,2700,18×30,0.024,3710,EKYC500E□□272MM30S
63,150,10×12.5,0.14,1120,EKYC630E□□151MJC5S
63,220,10×16,0.1,1570,EKYC630E□□221MJ16S
63,330,10×20,0.065,1940,EKYC630E□□331MJ20S
63,470,12.5×20,0.05,2150,EKYC630E□□471MK20S
63,680,12.5×25,0.037,2820,EKYC630E□□681MK25S
63,820,16×20,0.038,2530,EKYC630E□□821ML20S
63,910,12.5×30,0.029,3120,EKYC630E□□911MK30S
63,1000,12.5×35,0.025,3300,EKYC630E□□102MK35S
63,1200,16×25,0.031,3240,EKYC630E□□122ML25S
63,1200,18×20,0.037,2700,EKYC630E□□122MM20S
63,1300,12.5×40,0.021,3600,EKYC630E□□132MK40S
63,1500,16×30,0.025,3580,EKYC630E□□152ML30S
63,1600,18×25,0.03,3350,EKYC630E□□162MM25S
63,1800,16×35,0.022,3800,EKYC630E□□182ML35S
63,2000,18×30,0.024,3700,EKYC630E□□202MM30S
63,2400,16×40,0.018,4100,EKYC630E□□242ML40S
63,2400,18×35,0.021,4000,EKYC630E□□242MM35S
63,3300,18×40,0.017,4300,EKYC630E□□332MM40S
80,100,10×12.5,0.14,1120,EKYC800E□□101MJC5S
80,150,10×16,0.1,1570,EKYC800E□□151MJ16S
80,220,10×20,0.065,1940,EKYC800E□□221MJ20S
80,330,12.5×20,0.05,2150,EKYC800E□□331MK20S
80,470,12.5×25,0.037,2820,EKYC800E□□471MK25S
80,620,16×20,0.038,2530,EKYC800E□□621ML20S
80,680,12.5×30,0.029,3120,EKYC800E□□681MK30S
80,680,12.5×35,0.025,3300,EKYC800E□□681MK35S
80,820,18×20,0.037,2700,EKYC800E□□821MM20S
80,910,16×25,0.031,3240,EKYC800E□□911ML25S
80,1000,12.5×40,0.021,3600,EKYC800E□□102MK40S
80,1200,16×30,0.025,3580,EKYC800E□□122ML30S
80,1200,18×25,0.03,3350,EKYC800E□□122MM25S
80,1300,16×35,0.022,3800,EKYC800E□□132ML35S
80,1500,18×30,0.024,3700,EKYC800E□□152MM30S
80,1800,16×40,0.018,4100,EKYC800E□□182ML40S
80,1800,18×35,0.021,4000,EKYC800E□□182MM35S
80,2400,18×40,0.017,4300,EKYC800E□□242MM40S
100,68,10×12.5,0.14,1120,EKYC101E□□680MJC5S
100,100,10×16,0.1,1570,EKYC101E□□101MJ16S
100,150,10×20,0.065,1940,EKYC101E□□151MJ20S
100,220,12.5×20,0.05,2150,EKYC101E□□221MK20S
100,330,12.5×25,0.037,2820,EKYC101E□□331MK25S
100,390,12.5×30,0.029,3120,EKYC101E□□391MK30S
100,390,16×20,0.038,2530,EKYC101E□□391ML20S
100,470,12.5×35,0.025,3300,EKYC101E□□471MK35S
100,560,12.5×40,0.021,3600,EKYC101E□□561MK40S
100,560,16×25,0.031,3240,EKYC101E□□561ML25S
100,560,18×20,0.037,2700,EKYC101E□□561MM20S
100,680,16×30,0.025,3580,EKYC101E□□681ML30S
100,820,16×35,0.022,3800,EKYC101E□□821ML35S
100,820,18×25,0.03,3350,EKYC101E□□821MM25S
