WV (Vdc),Cap (µF),Case size φD×L(mm),Impedance (Ω max./100kHz) 20℃,Impedance (Ω max./100kHz) -10℃,Rated ripple current (mArms/105℃ 100kHz),Part No.
6.3,150.0,5×11,0.3,1.0,250,EKZE6R3E□□151ME11D
6.3,330.0,6.3×11,0.13,0.41,405,EKZE6R3E□□331MF11D
6.3,560.0,8×11.5,0.072,0.22,760,EKZE6R3E□□561MHB5D
6.3,820.0,8×15,0.056,0.17,995,EKZE6R3E□□821MH15D
6.3,1000.0,10×12.5,0.053,0.16,1030,EKZE6R3E□□102MJC5S
6.3,1200.0,8×20,0.041,0.13,1250,EKZE6R3E□□122MH20D
6.3,1200.0,10×16,0.038,0.12,1430,EKZE6R3E□□122MJ16S
6.3,1500.0,10×20,0.023,0.069,1820,EKZE6R3E□□152MJ20S
6.3,2200.0,10×25,0.022,0.066,2150,EKZE6R3E□□222MJ25S
6.3,3300.0,12.5×20,0.021,0.053,2360,EKZE6R3E□□332MK20S
6.3,3900.0,12.5×25,0.018,0.045,2770,EKZE6R3E□□392MK25S
6.3,4700.0,12.5×30,0.016,0.041,3290,EKZE6R3E□□472MK30S
6.3,5600.0,12.5×35,0.015,0.039,3400,EKZE6R3E□□562MK35S
6.3,5600.0,16×20,0.018,0.045,3140,EKZE6R3E□□562ML20S
6.3,6800.0,16×25,0.016,0.043,3460,EKZE6R3E□□682ML25S
10.0,100.0,5×11,0.3,1.0,250,EKZE100E□□101ME11D
10.0,220.0,6.3×11,0.13,0.41,405,EKZE100E□□221MF11D
10.0,470.0,8×11.5,0.072,0.22,760,EKZE100E□□471MHB5D
10.0,680.0,8×15,0.056,0.17,995,EKZE100E□□681MH15D
10.0,680.0,10×12.5,0.053,0.16,1030,EKZE100E□□681MJC5S
10.0,1000.0,8×20,0.041,0.13,1250,EKZE100E□□102MH20D
10.0,1000.0,10×16,0.038,0.12,1430,EKZE100E□□102MJ16S
10.0,1200.0,10×20,0.023,0.069,1820,EKZE100E□□122MJ20S
10.0,1500.0,10×25,0.022,0.066,2150,EKZE100E□□152MJ25S
10.0,2200.0,12.5×20,0.021,0.053,2360,EKZE100E□□222MK20S
10.0,3300.0,12.5×25,0.018,0.045,2770,EKZE100E□□332MK25S
10.0,3900.0,12.5×30,0.016,0.041,3290,EKZE100E□□392MK30S
10.0,3900.0,16×20,0.018,0.045,3140,EKZE100E□□392ML20S
10.0,4700.0,12.5×35,0.015,0.039,3400,EKZE100E□□472MK35S
10.0,5600.0,16×25,0.016,0.043,3460,EKZE100E□□562ML25S
16.0,56.0,5×11,0.3,1.0,250,EKZE160E□□560ME11D
16.0,120.0,6.3×11,0.13,0.41,405,EKZE160E□□121MF11D
16.0,330.0,8×11.5,0.072,0.22,760,EKZE160E□□331MHB5D
16.0,470.0,8×15,0.056,0.17,995,EKZE160E□□471MH15D
16.0,470.0,10×12.5,0.053,0.16,1030,EKZE160E□□471MJC5S
16.0,680.0,8×20,0.041,0.13,1250,EKZE160E□□681MH20D
16.0,680.0,10×16,0.038,0.12,1430,EKZE160E□□681MJ16S
16.0,1000.0,10×20,0.023,0.069,1820,EKZE160E□□102MJ20S
16.0,1200.0,10×25,0.022,0.066,2150,EKZE160E□□122MJ25S
16.0,1500.0,12.5×20,0.021,0.053,2360,EKZE160E□□152MK20S
16.0,2200.0,12.5×25,0.018,0.045,2770,EKZE160E□□222MK25S
16.0,2700.0,12.5×30,0.016,0.041,3290,EKZE160E□□272MK30S
16.0,2700.0,16×20,0.018,0.045,3140,EKZE160E□□272ML20S
16.0,3300.0,12.5×35,0.015,0.039,3400,EKZE160E□□332MK35S
16.0,3900.0,16×25,0.016,0.043,3460,EKZE160E□□392ML25S
25.0,47.0,5×11,0.3,1.0,250,EKZE250E□□470ME11D
25.0,100.0,6.3×11,0.13,0.41,405,EKZE250E□□101MF11D
25.0,220.0,8×11.5,0.072,0.22,760,EKZE250E□□221MHB5D
25.0,330.0,8×15,0.056,0.17,995,EKZE250E□□331MH15D
25.0,330.0,10×12.5,0.053,0.16,1030,EKZE250E□□331MJC5S
25.0,470.0,8×20,0.041,0.13,1250,EKZE250E□□471MH20D
25.0,470.0,10×16,0.038,0.12,1430,EKZE250E□□471MJ16S
25.0,680.0,10×20,0.023,0.069,1820,EKZE250E□□681MJ20S
