WV,Cap,Case size,Impedance (20C),Impedance (-10C),Rated ripple current,Part No.
6.3,120.0,5×11.5,0.72,1.8,165,ELXV6R3E□□121MEB5D
6.3,220.0,6.3×11.5,0.38,0.95,255,ELXV6R3E□□221MFB5D
6.3,330.0,6.3×15,0.27,0.68,330,ELXV6R3E□□331MF15D
6.3,390.0,8×12,0.2,0.5,415,ELXV6R3E□□391MH12D
6.3,470.0,10×12.5,0.12,0.3,635,ELXV6R3E□□471MJC5S
6.3,560.0,8×15,0.16,0.4,495,ELXV6R3E□□561MH15D
6.3,680.0,10×16,0.084,0.21,825,ELXV6R3E□□681MJ16S
6.3,820.0,8×20,0.11,0.28,640,ELXV6R3E□□821MH20D
6.3,1200.0,10×20,0.062,0.16,1060,ELXV6R3E□□122MJ20S
6.3,1500.0,10×25,0.052,0.13,1260,ELXV6R3E□□152MJ25S
6.3,2200.0,10×30,0.044,0.11,1450,ELXV6R3E□□222MJ30S
6.3,2200.0,12.5×20,0.046,0.12,1360,ELXV6R3E□□222MK20S
6.3,2700.0,12.5×25,0.034,0.085,1700,ELXV6R3E□□272MK25S
6.3,3900.0,12.5×30,0.03,0.075,1980,ELXV6R3E□□392MK30S
6.3,3900.0,16×20,0.038,0.095,1770,ELXV6R3E□□392ML20S
6.3,4700.0,12.5×35,0.027,0.068,2230,ELXV6R3E□□472MK35S
6.3,5600.0,12.5×40,0.024,0.06,2460,ELXV6R3E□□562MK40S
6.3,5600.0,16×25,0.028,0.07,2190,ELXV6R3E□□562ML25S
6.3,5600.0,18×20,0.036,0.09,1940,ELXV6R3E□□562MM20S
6.3,6800.0,16×30,0.025,0.063,2510,ELXV6R3E□□682ML30S
6.3,6800.0,18×25,0.027,0.068,2350,ELXV6R3E□□682MM25S
6.3,8200.0,16×35,0.022,0.055,2770,ELXV6R3E□□822ML35S
6.3,10000.0,16×40,0.018,0.045,3110,ELXV6R3E□□103ML40S
6.3,10000.0,18×30,0.024,0.06,2720,ELXV6R3E□□103MM30S
6.3,12000.0,18×35,0.021,0.053,3050,ELXV6R3E□□123MM35S
6.3,15000.0,18×40,0.017,0.043,3300,ELXV6R3E□□153MM40S
10.0,82.0,5×11.5,0.72,1.8,165,ELXV100E□□820MEB5D
10.0,180.0,6.3×11.5,0.38,0.95,255,ELXV100E□□181MFB5D
10.0,270.0,6.3×15,0.27,0.68,330,ELXV100E□□271MF15D
10.0,330.0,8×12,0.2,0.5,415,ELXV100E□□331MH12D
10.0,390.0,10×12.5,0.12,0.3,635,ELXV100E□□391MJC5S
10.0,470.0,8×15,0.16,0.4,495,ELXV100E□□471MH15D
10.0,680.0,8×20,0.11,0.28,640,ELXV100E□□681MH20D
10.0,680.0,10×16,0.084,0.21,825,ELXV100E□□681MJ16S
10.0,1000.0,10×20,0.062,0.16,1060,ELXV100E□□102MJ20S
10.0,1200.0,10×25,0.052,0.13,1260,ELXV100E□□122MJ25S
10.0,1500.0,10×30,0.044,0.11,1450,ELXV100E□□152MJ30S
10.0,1800.0,12.5×20,0.046,0.12,1360,ELXV100E□□182MK20S
10.0,2200.0,12.5×25,0.034,0.085,1700,ELXV100E□□222MK25S
10.0,2700.0,12.5×30,0.03,0.075,1980,ELXV100E□□272MK30S
10.0,3300.0,12.5×35,0.027,0.068,2230,ELXV100E□□332MK35S
