WV (Vdc),Cap (µF),Case code φD×L(mm),tanδ,Rated ripple current (mArms/85℃ 120Hz),Part No.
6.3,4700,16×15,0.37,1410,ESRG6R3E□□472ML15S
6.3,6800,18×15,0.43,1660,ESRG6R3E□□682MM15S
6.3,10000,18×20,0.55,2020,ESRG6R3E□□103MM20S
10.0,1000,10×12.5,0.24,625,ESRG100E□□102MJC5S
10.0,2200,12.5×15,0.27,970,ESRG100E□□222MK15S
10.0,3300,16×15,0.3,1310,ESRG100E□□332ML15S
10.0,4700,18×15,0.33,1560,ESRG100E□□472MM15S
10.0,6800,18×20,0.39,1870,ESRG100E□□682MM20S
10.0,10000,18×25,0.51,2370,ESRG100E□□103MM25S
16.0,1000,12.5×13,0.2,715,ESRG160E□□102MK13S
16.0,2200,16×15,0.23,1160,ESRG160E□□222ML15S
16.0,3300,18×15,0.26,1460,ESRG160E□□332MM15S
16.0,4700,18×20,0.29,1770,ESRG160E□□472MM20S
16.0,6800,18×25,0.35,2170,ESRG160E□□682MM25S
25.0,470,10×12.5,0.16,525,ESRG250E□□471MJC5S
25.0,1000,12.5×15,0.16,830,ESRG250E□□102MK15S
25.0,2200,18×15,0.19,1360,ESRG250E□□222MM15S
25.0,3300,18×20,0.22,1720,ESRG250E□□332MM20S
25.0,4700,18×25,0.25,2070,ESRG250E□□472MM25S
35.0,330,10×12.5,0.14,475,ESRG350E□□331MJC5S
35.0,470,12.5×13,0.14,585,ESRG350E□□471MK13S
35.0,1000,16×15,0.14,1010,ESRG350E□□102ML15S
35.0,2200,18×20,0.17,1560,ESRG350E□□222MM20S
50.0,220,10×12.5,0.12,415,ESRG500E□□221MJC5S
50.0,330,12.5×13,0.12,525,ESRG500E□□331MK13S
50.0,470,16×15,0.12,745,ESRG500E□□471ML15S
50.0,1000,18×20,0.12,1160,ESRG500E□□102MM20S
