Rated capacitance (µF),Rated voltage (V),Case φD×L (mm),"Rated ripple current: 85°C, 120Hz (mArms)"
1.0,50.0,5×11,15
1.0,63.0,5×11,15
2.2,50.0,5×11,20
2.2,63.0,5×11,20
3.3,50.0,5×11,25
3.3,63.0,5×11,25
4.7,35.0,5×11,30
4.7,50.0,5×11,30
4.7,63.0,5×11,30
10.0,35.0,5×11,45
10.0,50.0,5×11,45
10.0,63.0,5×11,45
22.0,16.0,5×11,50
22.0,25.0,5×11,55
22.0,35.0,5×11,60
22.0,50.0,5×11,70
22.0,63.0,6.3×11,85
33.0,16.0,5×11,60
33.0,25.0,5×11,70
33.0,35.0,6.3×11,85
33.0,50.0,6.3×11,100
33.0,63.0,6.3×11,100
47.0,16.0,5×11,75
47.0,25.0,5×11,85
47.0,35.0,6.3×11,110
47.0,50.0,6.3×11,120
47.0,63.0,8×11.5,150
100.0,6.3,5×11,85
100.0,10.0,5×11,95
100.0,16.0,6.3×11,120
100.0,25.0,6.3×11,140
100.0,35.0,8×11.5,190
100.0,50.0,8×11.5,210
100.0,63.0,10×12.5,260
220.0,6.3,6.3×11,150
220.0,10.0,6.3×11,165
220.0,16.0,8×11.5,220
220.0,25.0,8×11.5,250
220.0,35.0,10×12.5,330
220.0,50.0,10×16,400
220.0,63.0,10×20,460
330.0,6.3,6.3×11,180
330.0,10.0,8×11.5,240
330.0,16.0,8×11.5,270
330.0,25.0,10×12.5,370
330.0,35.0,10×16,450
330.0,50.0,10×20,540
330.0,63.0,12.5×20,650
470.0,6.3,8×11.5,260
470.0,10.0,8×11.5,280
470.0,16.0,10×12.5,390
470.0,25.0,10×16,480
470.0,35.0,10×20,590
470.0,50.0,12.5×20,740
470.0,63.0,12.5×25,850
1000.0,6.3,10×12.5,450
1000.0,10.0,10×16,540
1000.0,16.0,10×20,680
1000.0,25.0,12.5×20,880
1000.0,35.0,12.5×25,1050
1000.0,50.0,16×25,1350
1000.0,63.0,16×31.5,1550
2200.0,6.3,12.5×20,890
2200.0,10.0,12.5×20,970
2200.0,16.0,12.5×25,1200
2200.0,25.0,16×25,1550
2200.0,35.0,16×31.5,1750
2200.0,50.0,16×31.5,1750
3300.0,6.3,12.5×20,1050
3300.0,10.0,12.5×25,1250
3300.0,16.0,16×25,1600
3300.0,25.0,16×31.5,1950
3300.0,35.0,18×35.5,2250
4700.0,6.3,16×25,1550
4700.0,10.0,16×25,1650
4700.0,16.0,16×31.5,2050
4700.0,25.0,18×35.5,2500
6800.0,6.3,16×25,1750
6800.0,10.0,16×31.5,2050
6800.0,16.0,18×35.5,2550
10000.0,6.3,16×31.5,2150
10000.0,10.0,18×35.5,2550
15000.0,6.3,18×35.5,2700
