Rated voltage (V),Rated capacitance (µF),Case φDxL (mm),Size code,Impedance (Ωmax.) 20℃,Impedance (Ωmax.) -10℃,Rated ripple current (mArms)
6.3,18.0,,,,,
6.3,27.0,,,,,
6.3,33.0,,,,,
6.3,39.0,4×7,B07,0.85,2.6,130.0
6.3,47.0,,,,,
6.3,56.0,,,,,
6.3,68.0,5×7,C07,0.43,1.3,210.0
6.3,100.0,6.3 × 5,D05,0.28,0.91,210.0
6.3,120.0,,,,,
6.3,150.0,5 × 11.5,C11,0.22,0.8,345.0
6.3,150.0,6.3 × 7,D07,0.23,0.69,300.0
6.3,180.0,,,,,
6.3,220.0,8×7,E07,0.15,0.45,380.0
6.3,330.0,6.3 × 11.5,D11,0.094,0.35,540.0
6.3,470.0,,,,,
6.3,560.0,8 × 12,E12,0.056,0.19,945.0
6.3,680.0,,,,,
6.3,820.0,8 × 15,E15,0.045,0.15,1250.0
6.3,1000.0,10 × 12.5,F12,0.039,0.14,1330.0
6.3,1200.0,10 × 16,F16,0.028,0.1,1760.0
6.3,1500.0,10 × 20,F20,0.02,0.06,1960.0
6.3,2200.0,10 × 25,F25,0.018,0.054,2250.0
6.3,2700.0,,,,,
6.3,3300.0,12.5 × 20,G20,0.017,0.043,2480.0
6.3,3900.0,12.5 × 25,G25,0.015,0.038,2900.0
6.3,4700.0,12.5 × 30,G30,0.013,0.033,3450.0
6.3,5600.0,16 × 20,J20,0.015,0.038,3570.0
6.3,6800.0,16 × 25,J25,0.013,0.035,3630.0
10.0,18.0,,,,,
10.0,27.0,4×7,B07,0.89,2.7,130.0
10.0,33.0,,,,,
10.0,39.0,,,,,
10.0,47.0,6.3 × 5,D05,0.29,0.93,210.0
10.0,56.0,5×7,C07,0.44,1.4,210.0
10.0,68.0,,,,,
10.0,100.0,5 × 11.5,C11,0.22,0.8,345.0
10.0,120.0,6.3 × 7,D07,0.23,0.69,300.0
10.0,150.0,,,,,
10.0,180.0,8×7,E07,0.15,0.45,380.0
10.0,220.0,6.3 × 11.5,D11,0.094,0.35,540.0
10.0,330.0,,,,,
10.0,470.0,8 × 12,E12,0.056,0.19,945.0
10.0,560.0,,,,,
10.0,680.0,10 × 12.5,F12,0.039,0.14,1330.0
10.0,820.0,,,,,
10.0,1000.0,10 × 16,F16,0.028,0.1,1760.0
10.0,1200.0,10 × 20,F20,0.02,0.06,1960.0
10.0,1500.0,10 × 25,F25,0.018,0.054,2250.0
10.0,2200.0,12.5 × 20,G20,0.017,0.043,2480.0
10.0,2700.0,,,,,
10.0,3300.0,12.5 × 25,G25,0.015,0.038,2900.0
10.0,3900.0,16 × 20,J20,0.015,0.038,3250.0
10.0,4700.0,16 × 25,J25,0.013,0.035,3630.0
10.0,5600.0,16 × 25,J25,0.013,0.035,3630.0
10.0,6800.0,,,,,
16.0,18.0,4×7,B07,0.92,2.8,130.0
16.0,27.0,6.3 × 5,D05,0.3,0.95,210.0
16.0,33.0,5×7,C07,0.45,1.4,210.0
16.0,33.0,6.3 × 5,D05,0.3,0.95,210.0
16.0,39.0,,,,,
16.0,47.0,,,,,
16.0,56.0,5 × 11.5,C11,0.22,0.8,345.0
16.0,68.0,6.3 × 7,D07,0.24,0.72,300.0
16.0,100.0,,,,,
16.0,120.0,8×7,E07,0.15,0.45,380.0
16.0,120.0,6.3 × 11.5,D11,0.094,0.35,540.0
16.0,150.0,6.3 × 7,D07,0.23,0.69,300.0
16.0,180.0,,,,,
16.0,220.0,,,,,
16.0,330.0,8 × 12,E12,0.056,0.19,945.0
16.0,470.0,8 × 15,E15,0.045,0.15,1250.0
16.0,560.0,10 × 16,F16,0.028,0.1,1760.0
16.0,680.0,,,,,
16.0,820.0,,,,,
16.0,1000.0,10 × 20,F20,0.02,0.06,1960.0
16.0,1200.0,10 × 25,F25,0.018,0.054,2250.0
16.0,1500.0,12.5 × 20,G20,0.017,0.043,2480.0
16.0,2200.0,12.5 × 25,G25,0.015,0.038,2900.0
16.0,2700.0,16 × 20,J20,0.015,0.038,3250.0
