Rated voltage (V),Rated capacitance (μF),Case φDxL (mm),Size code,Impedance (Ω max.) 20°C 100kHz,Impedance (Ω max.) -10°C 100kHz,Rated ripple current (mArms) 105°C 100kHz
6.3,150,5×11.5,C11,0.22,0.8,345
6.3,220,5×11.5,C11,0.22,0.8,345
6.3,330,6.3×11.5,D11,0.094,0.35,540
6.3,470,6.3×11.5,D11,0.094,0.35,540
6.3,820,8×12,E12,0.056,0.19,945
6.3,1200,8×15,E15,0.045,0.15,1250
6.3,1200,10×12.5,F12,0.039,0.14,1560
6.3,1500,8×20,E20,0.029,0.11,1500
6.3,1800,10×16,F16,0.028,0.1,2000
6.3,2200,10×20,F20,0.02,0.06,2500
6.3,2700,10×25,F25,0.017,0.051,2900
6.3,3900,12.5×20,G20,0.017,0.043,2600
6.3,4700,12.5×25,G25,0.015,0.038,3200
6.3,5600,12.5×30,G30,0.013,0.033,3795
6.3,6800,12.5×35,G35,0.012,0.031,4120
6.3,6800,16×20,J20,0.015,0.038,3575
6.3,8200,16×25,J25,0.013,0.035,3810
10.0,100,5×11.5,C11,0.22,0.8,345
10.0,120,5×11.5,C11,0.22,0.8,345
10.0,150,5×11.5,C11,0.22,0.8,345
10.0,220,6.3×11.5,D11,0.094,0.35,540
10.0,270,6.3×11.5,D11,0.094,0.35,540
10.0,330,6.3×11.5,D11,0.094,0.35,540
10.0,680,8×12,E12,0.056,0.19,945
10.0,1000,8×15,E15,0.045,0.15,1250
10.0,1000,10×12.5,F12,0.039,0.14,1560
10.0,1500,8×20,E20,0.029,0.11,1500
10.0,1500,10×16,F16,0.028,0.1,2000
10.0,1800,10×20,F20,0.02,0.06,2500
10.0,2200,10×25,F25,0.017,0.051,2900
10.0,3300,12.5×20,G20,0.017,0.043,2600
10.0,3900,12.5×25,G25,0.015,0.038,3200
10.0,4700,12.5×30,G30,0.013,0.033,3795
10.0,4700,16×20,J20,0.015,0.038,3575
10.0,5600,12.5×35,G35,0.012,0.031,4120
10.0,6800,16×25,J25,0.013,0.035,3810
16.0,82,5×11.5,C11,0.22,0.8,345
16.0,100,5×11.5,C11,0.22,0.8,345
16.0,180,6.3×11.5,D11,0.094,0.35,540
16.0,220,6.3×11.5,D11,0.094,0.35,540
16.0,470,8×12,E12,0.056,0.19,945
16.0,680,8×15,E15,0.045,0.15,1250
16.0,680,10×12.5,F12,0.039,0.14,1560
16.0,1000,8×20,E20,0.029,0.11,1500
16.0,1000,10×16,F16,0.028,0.1,2000
16.0,1500,10×20,F20,0.02,0.06,2500
16.0,1800,10×25,F25,0.017,0.051,2900
16.0,2200,12.5×20,G20,0.017,0.043,2600
16.0,2700,12.5×25,G25,0.015,0.038,3200
16.0,3300,12.5×30,G30,0.013,0.033,3795
16.0,3300,16×20,J20,0.015,0.038,3575
16.0,3900,12.5×35,G35,0.012,0.031,4120
16.0,4700,16×25,J25,0.013,0.035,3810
25.0,39,5×11.5,C11,0.22,0.8,345
25.0,56,5×11.5,C11,0.22,0.8,345
25.0,68,5×11.5,C11,0.22,0.8,345
25.0,82,5×11.5,C11,0.22,0.8,345
25.0,100,6.3×11.5,D11,0.094,0.35,540
25.0,120,6.3×11.5,D11,0.094,0.35,540
25.0,150,6.3×11.5,D11,0.094,0.35,540
25.0,330,8×12,E12,0.056,0.19,945
25.0,390,8×15,E15,0.045,0.15,1250
25.0,470,10×12.5,F12,0.039,0.14,1560
25.0,560,8×20,E20,0.029,0.11,1500
25.0,680,10×16,F16,0.028,0.1,2000
25.0,820,10×20,F20,0.02,0.06,2500
25.0,1000,10×25,F25,0.017,0.051,2900
25.0,1500,12.5×20,G20,0.017,0.043,2600
25.0,1800,12.5×25,G25,0.015,0.038,3200
25.0,2200,12.5×30,G30,0.013,0.033,3795
25.0,2200,16×20,J20,0.015,0.038,3575
25.0,2700,12.5×35,G35,0.012,0.031,4120
25.0,3300,16×25,J25,0.013,0.035,3810
35.0,39,5×11.5,C11,0.22,0.8,345
35.0,47,5×11.5,C11,0.22,0.8,345
35.0,82,6.3×11.5,D11,0.094,0.35,540
35.0,100,6.3×11.5,D11,0.094,0.35,540
35.0,220,8×12,E12,0.056,0.19,945
35.0,270,8×15,E15,0.045,0.15,1250
35.0,330,10×12.5,F12,0.039,0.14,1560
35.0,390,8×20,E20,0.029,0.11,1500
35.0,470,10×16,F16,0.028,0.1,2000
35.0,560,10×20,F20,0.02,0.06,2500
35.0,680,10×25,F25,0.017,0.051,2900
35.0,1000,12.5×20,G20,0.017,0.043,2600
35.0,1200,12.5×25,G25,0.015,0.038,3200
35.0,1500,12.5×30,G30,0.013,0.033,3795
35.0,1800,12.5×35,G35,0.012,0.031,4120
35.0,2200,16×25,J25,0.013,0.035,3810
50.0,27,5×11.5,C11,0.34,1.18,238
50.0,39,6.3×11.5,D11,0.14,0.5,385
50.0,56,6.3×11.5,D11,0.14,0.5,385
50.0,100,8×12,E12,0.074,0.22,724
50.0,120,8×15,E15,0.061,0.18,950
50.0,150,10×12.5,F12,0.061,0.18,1250
50.0,180,8×20,E20,0.046,0.14,1190
50.0,220,10×16,F16,0.042,0.12,1650
50.0,270,10×20,F20,0.03,0.09,2060
50.0,330,10×25,F25,0.028,0.084,2420
50.0,470,12.5×20,G20,0.027,0.068,2300
50.0,560,12.5×25,G25,0.023,0.059,2800
50.0,680,12.5×30,G30,0.021,0.052,3500
50.0,820,12.5×35,G35,0.019,0.051,3810
50.0,820,16×20,J20,0.023,0.059,3070
50.0,1000,16×25,J25,0.021,0.056,3270
50.0,1500,16×20,J20,0.015,0.038,3575
50.0,2200,16×20,J20,0.015,0.038,3575
