Rated voltage (V),Rated capacitance (µF),Case φD × L (mm),Size code,ESR (Ω max. / 100kHz) 20℃,ESR (Ω max. / 100kHz) -40℃,Rated ripple current (mArms / 100kHz) 135℃,Rated ripple current (mArms / 100kHz) 125℃
25,1800,12.5 × 25,G25,0.033,0.3,2010,3480
25,2200,12.5 × 30,G30,0.028,0.24,2900,4490
25,2700,12.5 × 35,G35,0.025,0.21,3190,5140
25,3300,12.5 × 40,G40,0.024,0.19,3470,5810
25,4700,16 × 31.5,J31,0.023,0.18,3400,5480
25,5400,16 × 35.5,J35,0.02,0.14,3630,6070
25,6200,16 × 40,J40,0.019,0.12,3930,6810
25,6200,18 × 31.5,K31,0.022,0.16,3470,5600
25,7800,18 × 35.5,K35,0.019,0.12,3750,6280
25,8200,18 × 40,K40,0.018,0.1,4080,7070
35,1100,12.5 × 25,G25,0.033,0.3,2010,3480
35,1500,12.5 × 30,G30,0.028,0.24,2900,4490
35,1800,12.5 × 35,G35,0.025,0.21,3190,5140
35,2000,12.5 × 40,G40,0.024,0.19,3470,5810
35,2700,16 × 31.5,J31,0.023,0.18,3400,5480
35,3100,16 × 35.5,J35,0.02,0.14,3630,6070
35,3600,16 × 40,J40,0.019,0.12,3930,6810
35,3600,18 × 31.5,K31,0.022,0.16,3470,5600
35,4700,18 × 35.5,K35,0.019,0.12,3750,6280
35,5400,18 × 40,K40,0.018,0.1,4080,7070
50,560,12.5 × 25,G25,0.079,0.39,2260,3350
50,750,12.5 × 30,G30,0.065,0.3,2520,4220
50,900,12.5 × 35,G35,0.057,0.25,2780,4810
50,1000,12.5 × 40,G40,0.05,0.22,3020,5240
50,1300,16 × 31.5,J31,0.048,0.2,2960,5130
50,1600,16 × 35.5,J35,0.039,0.15,3160,5480
50,1900,16 × 40,J40,0.034,0.14,3420,5930
50,2000,18 × 31.5,K31,0.038,0.15,3020,5240
50,2400,18 × 35.5,K35,0.033,0.12,3390,5870
50,2600,18 × 40,K40,0.031,0.11,3700,6420
63,390,12.5 × 25,G25,0.076,0.39,2050,2520
63,560,12.5 × 30,G30,0.061,0.3,2630,3110
63,650,12.5 × 35,G35,0.051,0.25,2970,3760
63,750,12.5 × 40,G40,0.045,0.22,3260,4610
63,1000,16 × 31.5,J31,0.049,0.2,3050,3860
63,1300,16 × 35.5,J35,0.039,0.15,3420,4590
63,1300,18 × 31.5,K31,0.041,0.15,3220,4080
63,1500,16 × 40,J40,0.036,0.14,3670,5190
63,1800,18 × 35.5,K35,0.032,0.12,3690,5220
63,2000,18 × 40,K40,0.031,0.11,3820,5660
80,290,12.5 × 25,G25,0.076,0.39,2050,2520
80,420,12.5 × 30,G30,0.061,0.3,2630,3110
80,490,12.5 × 35,G35,0.051,0.25,2970,3760
80,570,12.5 × 40,G40,0.045,0.22,3260,4610
80,750,16 × 31.5,J31,0.049,0.2,3050,3860
80,820,16 × 35.5,J35,0.039,0.15,3420,4590
80,820,18 × 31.5,K31,0.041,0.15,3220,4080
80,950,16 × 40,J40,0.036,0.14,3670,5190
80,1200,18 × 35.5,K35,0.032,0.12,3690,5220
80,1300,18 × 40,K40,0.031,0.11,3820,5660
