Rated voltage (V),Rated capacitance (μF),Case φD × L (mm),Size code,"ESR (Ω max.) 20℃, 100kHz","Rated ripple current (mArms) 125℃, 100kHz"
10,1000,12.5×15,G15,0.059,1380
10,2200,12.5×25,G25,0.032,2400
10,2200,16×20,J20,0.032,2280
10,2200,18×16,K16,0.041,2170
10,3300,16×25,J25,0.024,3100
10,3300,18×20,K20,0.029,2490
10,4700,16×31.5,J31,0.02,3160
10,4700,18×25,K25,0.022,3200
16,470,12.5×20,G20,0.04,1820
16,1000,12.5×20,G20,0.04,1820
16,1000,16×16,J16,0.044,1930
16,2200,12.5×25,G25,0.032,2400
16,2200,16×25,J25,0.024,3100
16,2200,18×20,K20,0.029,2490
16,3300,16×31.5,J31,0.02,3160
16,3300,18×25,K25,0.022,3200
16,3900,16×35.5,J35,0.019,3590
16,3900,18×31.5,K31,0.018,3410
25,470,12.5×20,G20,0.04,1820
25,1000,12.5×25,G25,0.032,2400
25,1000,16×16,J16,0.044,1930
25,1200,12.5×20,G20,0.04,1820
25,1800,12.5×25,G25,0.032,2400
25,1800,16×20,J20,0.032,2280
25,2200,12.5×30,G30,0.029,2560
25,2200,16×25,J25,0.024,3100
25,2200,18×20,K20,0.029,2490
25,2700,12.5×35,G35,0.023,2970
25,2700,16×25,J25,0.024,3100
25,2700,18×20,K20,0.029,2490
25,3300,12.5×40,G40,0.02,3600
25,3300,16×31.5,J31,0.02,3160
25,3900,16×35.5,J35,0.019,3590
25,3900,18×25,K25,0.022,3200
25,4700,18×35.5,K35,0.017,4200
25,5600,16×40,J40,0.017,4300
25,5600,18×35.5,K35,0.017,4200
25,6800,18×40,K40,0.016,4600
35,470,12.5×20,G20,0.04,1820
35,470,12.5×25,G25,0.032,2400
35,1000,16×25,J25,0.024,3100
35,1000,18×20,K20,0.029,2490
35,1200,12.5×30,G30,0.029,2560
35,1200,16×20,J20,0.032,2280
35,1500,12.5×35,G35,0.023,2970
35,1500,16×31.5,J31,0.02,3160
35,1500,18×25,K25,0.022,3200
35,1800,12.5×40,G40,0.02,3600
35,1800,16×25,J25,0.024,3100
35,2200,16×31.5,J31,0.02,3160
35,2200,16×35.5,J35,0.019,3590
35,2200,18×25,K25,0.022,3200
35,2700,16×35.5,J35,0.019,3590
35,2700,18×31.5,K31,0.018,3410
35,3300,16×40,J40,0.017,4300
35,3300,18×35.5,K35,0.017,4200
35,4700,18×40,K40,0.016,4600
50,470,12.5×20,G20,0.07,1500
50,560,12.5×30,G30,0.038,2150
50,820,12.5×30,G30,0.038,2150
50,1000,16×25,J25,0.031,2620
50,1800,18×31.5,K31,0.025,3140
50,2200,18×35.5,K35,0.022,3510
63,820,16×31.5,J31,0.08,1910
63,1000,16×35.5,J35,0.066,2110
80,470,16×25,J25,0.116,1500
80,560,18×25,K25,0.1,1600
80,820,18×35.5,K35,0.062,2180
80,1000,18×40,K40,0.051,2470
