Rated voltage (V),Rated capacitance (µF),Case øD×L (mm),Size code,Rated ripple current (mArms)
16,100,-,-,-
16,220,6.3×11.5,D11,190
16,330,6.3×11.5,D11,225
16,470,8×12,E12,323
16,1000,10×12.5,F12,500
16,2200,10×20,F20,710
16,3300,12.5×25,G25,1200
16,3300,16×20,J20,1250
16,4700,16×25,J25,1500
16,4700,18×20,K20,1460
16,6800,16×25,J25,1600
16,6800,18×20,K20,1560
16,10000,16×35.5,J35,1930
16,15000,18×40,K40,2210
25,100,5×11.5,C11,125
25,220,6.3×11.5,D11,200
25,330,8×12,E12,310
25,470,10×12.5,F12,429
25,1000,10×16,F16,610
25,2200,12.5×25,G25,1180
25,2200,16×20,J20,1230
25,3300,16×16,J16,1200
25,3300,16×25,J25,1440
25,4700,18×20,K20,1400
25,4700,16×25,J25,1570
25,6800,18×20,K20,1530
25,6800,16×35.5,J35,1850
25,10000,18×31.5,K31,1870
25,15000,18×40,K40,2000
