Rated voltage (V),Rated capacitance (µF),Case φD×L (mm),"Rated ripple current (mArms) 105°C, 120Hz"
6.3,22.0,4×5.8,21
6.3,33.0,5×5.8,29
6.3,47.0,5×5.8,35
6.3,100.0,6.3×5.8,60
6.3,220.0,8×10.5,127
6.3,330.0,8×10.5,156
6.3,470.0,10×10.5,215
10.0,10.0,4×5.8,15
10.0,22.0,5×5.8,26
10.0,33.0,5×5.8,32
10.0,47.0,6.3×5.8,44
10.0,100.0,8×6.5,79
10.0,220.0,8×10.5,137
10.0,330.0,10×10.5,194
10.0,470.0,10×10.5,232
16.0,4.7,4×5.8,11
16.0,10.0,4×5.8,17
16.0,22.0,5×5.8,28
16.0,33.0,6.3×5.8,41
16.0,47.0,6.3×5.8,48
16.0,100.0,8×6.5,86
16.0,220.0,8×10.5,150
16.0,330.0,10×10.5,213
16.0,470.0,10×10.5,254
25.0,4.7,4×5.8,13
25.0,10.0,5×5.8,21
25.0,22.0,6.3×5.8,37
25.0,33.0,6.3×5.8,45
25.0,47.0,8×6.5,66
25.0,100.0,8×10.5,113
25.0,220.0,10×10.5,194
35.0,4.7,4×5.8,14
35.0,10.0,5×5.8,24
35.0,22.0,6.3×5.8,41
35.0,33.0,8×6.5,62
35.0,47.0,8×10.5,86
35.0,100.0,10×10.5,145
35.0,220.0,10×10.5,216
50.0,1.0,4×5.8,7
50.0,2.2,4×5.8,10
50.0,3.3,4×5.8,12
50.0,4.7,5×5.8,17
50.0,10.0,6.3×5.8,29
50.0,22.0,8×6.5,52
50.0,33.0,8×10.5,75
50.0,47.0,8×10.5,90
50.0,100.0,10×10.5,151
