VDC,VDC Surge,Rated Capacitance,Case Size,DF,RC,LC,Part Number
6.3,8,47,5 x 11,26,60,3.0,ESE476M6R3AC3(1)
6.3,8,68,5 x 11,26,75,4.3,ESE686M6R3AC3(1)
6.3,8,100,5 x 11,26,100,6.3,ESE107M6R3AC3(1)
6.3,8,150,5 x 11,26,120,9.5,ESE157M6R3AC3(1)
6.3,8,220,5 x 11,26,140,13.9,ESE227M6R3AC3(1)
6.3,8,220,6.3 x 11,26,165,13.9,ESE227M6R3AE3(1)
6.3,8,330,6.3 x 11,26,160,20.8,ESE337M6R3AE3(1)
6.3,8,470,6.3 x 11,26,220,29.6,ESE477M6R3AE3(1)
6.3,8,680,8 x 11,26,255,42.8,ESE687M6R3AG3(1)
6.3,8,1000,8 x 11,26,370,63.0,ESE108M6R3AG3(1)
6.3,8,1000,10 x 12.5,26,470,63.0,ESE108M6R3AH9(1)
6.3,8,1500,10 x 15,26,600,94.5,ESE158M6R3AH2(1)
6.3,8,2200,10 x 20,26,740,138.6,ESE228M6R3AH4(1)
6.3,8,3300,13 x 20,26,1100,207.9,ESE338M6R3AL3(1)
6.3,8,4700,13 x 25,26,1100,296.1,ESE478M6R3AL4(1)
6.3,8,6800,13 x 25,26,1250,428.4,ESE688M6R3AL4(1)
6.3,8,10000,16 x 25,26,1560,630.0,ESE109M6R3AM7(1)
6.3,8,15000,18 x 32,26,2100,945.0,ESE159M6R3AN1(1)
10,13,22,5 x 11,22,45,3.0,ESE226M010AC3(1)
10,13,33,5 x 11,22,60,3.3,ESE336M010AC3(1)
10,13,47,5 x 11,22,75,4.7,ESE476M010AC3(1)
10,13,68,5 x 11,22,80,6.8,ESE686M010AC3(1)
10,13,100,5 x 11,22,110,10.0,ESE107M010AC3(1)
10,13,150,5 x 11,22,110,15.0,ESE157M010AC3(1)
10,13,220,6.3 x 11,22,180,22.0,ESE227M010AE3(1)
10,13,330,6.3 x 11,22,205,33.0,ESE337M010AE3(1)
10,13,470,6.3 x 11,22,245,47.0,ESE477M010AE3(1)
10,13,470,8 x 11,22,305,47.0,ESE477M010AG3(1)
10,13,680,8 x 11,22,335,68.0,ESE687M010AG3(1)
10,13,680,10 x 12.5,22,420,68.0,ESE687M010AH9(1)
10,13,1000,8 x 15,22,450,100.0,ESE108M010AG4(1)
10,13,1000,10 x 12.5,22,490,100.0,ESE108M010AH9(1)
10,13,1500,10 x 20,22,750,150.0,ESE158M010AH4(1)
10,13,2200,10 x 20,22,800,220.0,ESE228M010AH4(1)
10,13,3300,10 x 25,22,950,330.0,ESE338M010AH5(1)
10,13,3300,13 x 20,22,1050,330.0,ESE338M010AL3(1)
10,13,4700,13 x 25,22,1190,470.0,ESE478M010AL4(1)
10,13,6800,16 x 25,22,1370,680.0,ESE688M010AM7(1)
10,13,10000,16 x 36,22,1760,1000.0,ESE109M010AM3(1)
10,13,15000,18 x 36,22,2150,1500.0,ESE159M010AN2(1)
16,20,10,5 x 11,18,25,3.0,ESE106M016AC3(1)
16,20,15,5 x 11,18,40,3.0,ESE156M016AC3(1)
16,20,22,5 x 11,18,55,3.5,ESE226M016AC3(1)
16,20,33,5 x 11,18,70,5.3,ESE336M016AC3(1)
16,20,47,5 x 11,18,85,7.5,ESE476M016AC3(1)
16,20,68,5 x 11,18,100,10.9,ESE686M016AC3(1)
16,20,100,5 x 11,18,110,16.0,ESE107M016AC3(1)
16,20,150,6.3 x 11,18,175,24.0,ESE157M016AE3(1)
16,20,220,6.3 x 11,18,180,35.2,ESE227M016AE3(1)
16,20,330,8 x 11,18,285,52.8,ESE337M016AG3(1)
16,20,470,8 x 11,18,310,75.2,ESE477M016AG3(1)
16,20,680,10 x 12.5,18,455,108.8,ESE687M016AH9(1)
16,20,1000,8 x 20,18,600,160.0,ESE108M016AG6(1)
16,20,1000,10 x 15,18,590,160.0,ESE108M016AH2(1)
16,20,1500,10 x 20,18,680,240.0,ESE158M016AH4(1)
16,20,2200,13 x 20,18,990,352.0,ESE228M016AL3(1)
16,20,3300,13 x 25,18,1140,528.0,ESE338M016AL4(1)
16,20,4700,16 x 25,18,1330,752.0,ESE478M016AM7(1)
16,20,6800,16 x 32,18,1580,1088.0,ESE688M016AM2(1)
16,20,10000,18 x 36,18,2150,1600.0,ESE109M016AN2(1)
25,32,4.7,5 x 11,16,20,3.0,ESE475M025AC3(1)
25,32,6.8,5 x 11,16,25,3.0,ESE685M025AC3(1)
25,32,10,5 x 11,16,30,3.0,ESE106M025AC3(1)
25,32,15,5 x 11,16,45,3.8,ESE156M025AC3(1)
25,32,22,5 x 11,16,60,5.5,ESE226M025AC3(1)
25,32,33,5 x 11,16,75,8.3,ESE336M025AC3(1)
25,32,47,5 x 11,16,90,11.8,ESE476M025AC3(1)
25,32,68,6.3 x 11,16,125,17.0,ESE686M025AE3(1)
25,32,100,6.3 x 11,16,145,25.0,ESE107M025AE3(1)
25,32,150,8 x 11,16,200,37.5,ESE157M025AG3(1)
25,32,220,8 x 11,16,200,55.0,ESE227M025AG3(1)
25,32,330,8 x 11,16,265,82.5,ESE337M025AG3(1)
25,32,330,8 x 15,16,320,82.5,ESE337M025AG4(1)
25,32,470,8 x 15,16,365,117.5,ESE477M025AG4(1)
25,32,680,10 x 15,16,650,170.0,ESE687M025AH2(1)
