Rated Voltage,Surge Voltage,Rated Capacitance,Case Size,DF,RC,LC,Part Number
6.3,8,100.0,5 x 11,26,100,6.3,ESH107M6R3AC3(1)
6.3,8,150.0,5 x 11,26,120,9.5,ESH157M6R3AC3(1)
6.3,8,220.0,6.3 x 11,26,165,13.9,ESH227M6R3AE3(1)
6.3,8,330.0,6.3 x 11,26,200,20.8,ESH337M6R3AE3(1)
6.3,8,470.0,6.3 x 11,26,230,29.6,ESH477M6R3AE3(1)
6.3,8,470.0,8 x 11,26,280,29.6,ESH477M6R3AG3(1)
6.3,8,680.0,8 x 11,26,350,42.8,ESH687M6R3AG3(1)
6.3,8,680.0,10 x 12,26,320,42.8,ESH687M6R3AH1(1)
6.3,8,1000.0,8 x 15,26,445,63.0,ESH108M6R3AG4(1)
6.3,8,1000.0,10 x 12,26,470,63.0,ESH108M6R3AH1(1)
6.3,8,1000.0,10 x 12.5,26,470,63.0,ESH108M6R3AH9(1)
6.3,8,1500.0,10 x 15,26,600,94.5,ESH158M6R3AH2(1)
6.3,8,1800.0,10 x 16,26,600,113.4,ESH188M6R3AH2(1)
6.3,8,2200.0,10 x 20,26,800,138.6,ESH228M6R3AH4(1)
6.3,8,2200.0,13 x 20,26,930,138.6,ESH228M6R3AL3(1)
6.3,8,3300.0,13 x 20,26,1100,207.9,ESH338M6R3AL3(1)
6.3,8,4700.0,13 x 20,26,1180,296.1,ESH478M6R3AL3(1)
6.3,8,4700.0,16 x 25,26,1320,296.1,ESH478M6R3AM7(1)
6.3,8,6800.0,16 x 25,26,1490,428.4,ESH688M6R3AM7(1)
6.3,8,10000.0,16 x 32,26,1830,630.0,ESH109M6R3AM2(1)
6.3,8,15000.0,16 x 36,26,2090,945.0,ESH159M6R3AM3(1)
6.3,8,22000.0,18 x 40,26,2350,1386.0,ESH229M6R3AN3(1)
10,13,47.0,5 x 11,22,75,4.7,ESH476M010AC3(1)
10,13,68.0,5 x 11,22,80,6.8,ESH686M010AC3(1)
10,13,100.0,5 x 11,22,110,10.0,ESH107M010AC3(1)
10,13,150.0,5 x 11,22,120,15.0,ESH157M010AC3(1)
10,13,150.0,6 x 11,22,130,15.0,ESH157M010AE3(1)
10,13,220.0,6.3 x 11,22,180,22.0,ESH227M010AE3(1)
10,13,330.0,6.3 x 11,22,235,33.0,ESH337M010AE3(1)
10,13,330.0,8 x 11,22,255,33.0,ESH337M010AG3(1)
10,13,470.0,6.3 x 11,22,250,47.0,ESH477M010AE3(1)
10,13,470.0,8 x 11,22,305,47.0,ESH477M010AG3(1)
10,13,680.0,8 x 11,22,365,68.0,ESH687M010AG3(1)
10,13,680.0,10 x 12,22,420,68.0,ESH687M010AH1(1)
10,13,680.0,10 x 12.5,22,420,68.0,ESH687M010AH9(1)
10,13,1000.0,8 x 15,22,480,100.0,ESH108M010AG4(1)
10,13,1000.0,10 x 16,22,570,100.0,ESH108M010AH2(1)
10,13,1000.0,10 x 12.5,22,540,100.0,ESH108M010AH9(1)
10,13,1500.0,10 x 20,22,800,150.0,ESH158M010AH4(1)
10,13,1800.0,10 x 20,22,800,180.0,ESH188M010AH4(1)
10,13,2200.0,10 x 20,22,870,220.0,ESH228M010AH4(1)
10,13,2200.0,13 x 20,22,1010,220.0,ESH228M010AL3(1)
10,13,3300.0,13 x 20,22,1100,330.0,ESH338M010AL3(1)
10,13,3300.0,13 x 25,22,1220,330.0,ESH338M010AL4(1)
10,13,4700.0,13 x 25,22,1380,470.0,ESH478M010AL4(1)
10,13,4700.0,16 x 25,22,1410,470.0,ESH478M010AM7(1)
10,13,6800.0,16 x 32,22,1610,680.0,ESH688M010AM2(1)
10,13,6800.0,16 x 25,22,1700,680.0,ESH688M010AM7(1)
10,13,10000.0,16 x 36,22,1950,1000.0,ESH109M010AM3(1)
10,13,10000.0,18 x 36,22,1980,1000.0,ESH109M010AN2(1)
10,13,15000.0,18 x 36,22,2180,1500.0,ESH159M010AN2(1)
16,20,33.0,5 x 11,18,70,5.3,ESH336M016AC3(1)
16,20,47.0,5 x 11,18,85,7.5,ESH476M016AC3(1)
16,20,68.0,5 x 11,18,100,10.9,ESH686M016AC3(1)
16,20,100.0,5 x 11,18,130,16.0,ESH107M016AC3(1)
16,20,100.0,6 x 11,18,135,16.0,ESH107M016AE3(1)
16,20,150.0,6.3 x 11,18,175,24.0,ESH157M016AE3(1)
16,20,150.0,8 x 11,18,180,24.0,ESH157M016AG3(1)
16,20,220.0,6.3 x 11,18,220,35.2,ESH227M016AE3(1)
16,20,220.0,8 x 11,18,235,35.2,ESH227M016AG3(1)
16,20,330.0,8 x 11,18,280,52.8,ESH337M016AG3(1)
16,20,330.0,10 x 12,18,285,52.8,ESH337M016AH1(1)
16,20,470.0,8 x 11,18,375,75.2,ESH477M016AG3(1)
16,20,470.0,10 x 12,18,395,75.2,ESH477M016AH1(1)
16,20,680.0,8 x 15,18,450,108.8,ESH687M016AG4(1)
16,20,680.0,10 x 16,18,530,108.8,ESH687M016AH2(1)
16,20,680.0,10 x 12.5,18,480,108.8,ESH687M016AH9(1)
16,20,1000.0,10 x 15,18,640,160.0,ESH108M016AH2(1)
16,20,1500.0,10 x 20,18,830,240.0,ESH158M016AH4(1)
16,20,1500.0,13 x 20,18,860,240.0,ESH158M016AL3(1)
16,20,2200.0,13 x 20,18,1050,352.0,ESH228M016AL3(1)
16,20,3300.0,13 x 25,18,1250,528.0,ESH338M016AL4(1)
16,20,3300.0,16 x 25,18,1350,528.0,ESH338M016AM7(1)
16,20,4700.0,16 x 25,18,1650,752.0,ESH478M016AM7(1)
16,20,6800.0,16 x 32,18,1900,1088.0,ESH688M016AM2(1)
16,20,6800.0,18 x 36,18,1790,1088.0,ESH688M016AN2(1)
16,20,10000.0,18 x 36,18,1900,1600.0,ESH109M016AN2(1)
25,32,22.0,5 x 11,16,60,5.5,ESH226M025AC3(1)
25,32,33.0,5 x 11,16,75,8.3,ESH336M025AC3(1)
25,32,47.0,5 x 11,16,90,11.8,ESH476M025AC3(1)
25,32,68.0,6.3 x 11,16,125,17.0,ESH686M025AE3(1)
25,32,100.0,6.3 x 11,16,145,25.0,ESH107M025AE3(1)
25,32,150.0,8 x 11,16,200,37.5,ESH157M025AG3(1)
25,32,220.0,8 x 11,16,240,55.0,ESH227M025AG3(1)
25,32,220.0,10 x 12,16,250,55.0,ESH227M025AH1(1)
25,32,330.0,8 x 11,16,300,82.5,ESH337M025AG3(1)
25,32,330.0,10 x 12,16,355,82.5,ESH337M025AH1(1)
25,32,330.0,10 x 12.5,16,355,82.5,ESH337M025AH9(1)
25,32,470.0,8 x 15,16,420,117.5,ESH477M025AG4(1)
25,32,470.0,10 x 16,16,470,117.5,ESH477M025AH2(1)
25,32,470.0,10 x 12.5,16,440,117.5,ESH477M025AH9(1)
25,32,680.0,10 x 15,16,560,170.0,ESH687M025AH2(1)
