VDC,VDC Surge Voltage,Rated Capacitance 120 Hz 20°C (µF),Case Size D x L (mm),DF 120 Hz 20°C (tan δ %),RC 120 Hz 105°C (mA),LC 20°C 2 minutes (µA),Part Number
4.0,5,33.0,4 x 7,35,30,3.0,ESS336M004AB2(1)
4.0,5,47.0,4 x 7,35,35,3.0,ESS476M004AB2(1)
4.0,5,100.0,5 x 7,35,55,4.0,ESS107M004AC2(1)
4.0,5,220.0,6.3 x 7,35,95,8.8,ESS227M004AE2(1)
6.3,8,22.0,4 x 7,24,37,3.0,ESS226M6R3AB2(1)
6.3,8,33.0,5 x 7,24,42,3.0,ESS336M6R3AC2(1)
6.3,8,47.0,4 x 7,24,46,3.0,ESS476M6R3AB2(1)
6.3,8,47.0,5 x 7,24,55,3.0,ESS476M6R3AC2(1)
6.3,8,100.0,5 x 7,24,75,6.3,ESS107M6R3AC2(1)
6.3,8,100.0,6.3 x 7,24,90,6.3,ESS107M6R3AE2(1)
6.3,8,220.0,6.3 x 7,24,130,13.9,ESS227M6R3AE2(1)
6.3,8,330.0,8 x 7,24,140,20.8,ESS337M6R3AG1(1)
10.0,13,22.0,4 x 7,20,31,3.0,ESS226M010AB2(1)
10.0,13,22.0,5 x 7,20,38,3.0,ESS226M010AC2(1)
10.0,13,33.0,4 x 7,20,39,3.3,ESS336M010AB2(1)
10.0,13,33.0,5 x 7,20,47,3.3,ESS336M010AC2(1)
10.0,13,47.0,4 x 7,20,50,4.7,ESS476M010AB2(1)
10.0,13,47.0,5 x 7,20,60,4.7,ESS476M010AC2(1)
10.0,13,47.0,6.3 x 7,20,60,4.7,ESS476M010AE2(1)
10.0,13,100.0,5 x 7,20,85,10.0,ESS107M010AC2(1)
10.0,13,100.0,6.3 x 7,20,100,10.0,ESS107M010AE2(1)
10.0,13,220.0,6.3 x 7,20,135,22.0,ESS227M010AE2(1)
10.0,13,470.0,8 x 9,20,165,47.0,ESS477M010AG2(1)
16.0,20,2.2,4 x 7,17,7,3.0,ESS225M016AB2(1)
16.0,20,3.3,4 x 7,17,13,3.0,ESS335M016AB2(1)
16.0,20,4.7,4 x 7,17,19,3.0,ESS475M016AB2(1)
16.0,20,10.0,4 x 7,17,29,3.0,ESS106M016AB2(1)
16.0,20,22.0,4 x 7,17,36,3.5,ESS226M016AB2(1)
16.0,20,22.0,5 x 7,17,44,3.5,ESS226M016AC2(1)
16.0,20,33.0,4 x 7,17,50,5.3,ESS336M016AB2(1)
16.0,20,33.0,5 x 7,17,57,5.3,ESS336M016AC2(1)
16.0,20,47.0,5 x 7,17,75,7.5,ESS476M016AC2(1)
16.0,20,47.0,6.3 x 7,17,77,7.5,ESS476M016AE2(1)
16.0,20,68.0,5 x 7,17,84,10.9,ESS686M016AC2(1)
16.0,20,100.0,5 x 7,17,94,16.0,ESS107M016AC2(1)
16.0,20,100.0,6.3 x 7,17,110,16.0,ESS107M016AE2(1)
16.0,20,150.0,6.3 x 7,17,120,24.0,ESS157M016AE2(1)
16.0,20,220.0,8 x 7,17,140,35.2,ESS227M016AG1(1)
16.0,20,220.0,8 x 9,17,140,35.2,ESS227M016AG2(1)
16.0,20,330.0,8 x 9,17,155,52.8,ESS337M016AG2(1)
16.0,20,470.0,8 x 9,17,165,75.2,ESS477M016AG2(1)
25.0,30,4.7,4 x 7,15,24,3.0,ESS475M025AB2(1)
25.0,30,10.0,4 x 7,15,33,3.0,ESS106M025AB2(1)
25.0,30,10.0,5 x 7,15,35,3.0,ESS106M025AC2(1)
25.0,30,10.0,6.3 x 7,15,35,3.0,ESS106M025AE2(1)
25.0,30,22.0,4 x 7,15,43,5.5,ESS226M025AB2(1)
25.0,30,22.0,5 x 7,15,51,5.5,ESS226M025AC2(1)
25.0,30,22.0,6.3 x 7,15,53,5.5,ESS226M025AE2(1)
25.0,30,33.0,5 x 7,15,55,8.3,ESS336M025AC2(1)
25.0,30,33.0,6.3 x 7,15,65,8.3,ESS336M025AE2(1)
25.0,30,47.0,5 x 7,15,67,11.8,ESS476M025AC2(1)
25.0,30,47.0,6.3 x 7,15,79,11.8,ESS476M025AE2(1)
25.0,30,100.0,6.3 x 7,15,120,25.0,ESS107M025AE2(1)
25.0,30,100.0,8 x 7,15,120,25.0,ESS107M025AG1(1)
35.0,44,4.7,4 x 7,12,24,3.0,ESS475M035AB2(1)
35.0,44,4.7,5 x 7,12,24,3.0,ESS475M035AC2(1)
35.0,44,10.0,4 x 7,12,34,3.5,ESS106M035AB2(1)
35.0,44,10.0,5 x 7,12,36,3.5,ESS106M035AC2(1)
35.0,44,22.0,5 x 7,12,48,7.7,ESS226M035AC2(1)
35.0,44,22.0,6.3 x 7,12,57,7.7,ESS226M035AE2(1)
35.0,44,33.0,6.3 x 7,12,70,11.6,ESS336M035AE2(1)
35.0,44,47.0,6.3 x 7,12,81,16.5,ESS476M035AE2(1)
50.0,63,1.0,4 x 7,10,10,3.0,ESS105M050AB2(1)
50.0,63,2.2,4 x 7,10,19,3.0,ESS225M050AB2(1)
50.0,63,3.3,4 x 7,10,24,3.0,ESS335M050AB2(1)
50.0,63,4.7,4 x 7,10,29,3.0,ESS475M050AB2(1)
50.0,63,4.7,5 x 7,10,31,3.0,ESS475M050AC2(1)
50.0,63,10.0,4 x 7,10,37,5.0,ESS106M050AB2(1)
50.0,63,10.0,5 x 7,10,45,5.0,ESS106M050AC2(1)
50.0,63,10.0,6.3 x 7,10,45,5.0,ESS106M050AE2(1)
50.0,63,22.0,6.3 x 7,10,65,11.0,ESS226M050AE2(1)
63.0,79,1.0,4 x 7,8,13,3.0,ESS105M063AB2(1)
63.0,79,2.2,4 x 7,8,21,3.0,ESS225M063AB2(1)
63.0,79,3.3,4 x 7,8,26,3.0,ESS335M063AB2(1)
63.0,79,4.7,4 x 7,8,26,3.0,ESS475M063AB2(1)
63.0,79,4.7,6.3 x 7,8,33,3.0,ESS475M063AE2(1)
63.0,79,10.0,5 x 7,8,42,6.3,ESS106M063AC2(1)
63.0,79,10.0,6.3 x 7,8,50,6.3,ESS106M063AE2(1)
