VDC,VDC Surge,Rated Capacitance,Case Size,DF,RC,LC,Part Number
6.3,8,150,5 x 11,22,210,9.5,ESW157M6R3AC3(1)
6.3,8,330,6.3 x 11,22,340,20.8,ESW337M6R3AE3(1)
6.3,8,470,6.3 x 11,22,510,29.6,ESW477M6R3AE3(1)
6.3,8,680,8 x 11,22,640,42.8,ESW687M6R3AG3(1)
6.3,8,820,10 x 12.5,22,865,51.7,ESW827M6R3AH9(1)
6.3,8,1000,8 x 15,22,840,63.0,ESW108M6R3AG4(1)
6.3,8,1200,8 x 20,22,1050,75.6,ESW128M6R3AG6(1)
6.3,8,1200,10 x 16,22,1210,75.6,ESW128M6R3AH8(1)
6.3,8,1500,8 x 20,22,1050,94.5,ESW158M6R3AG6(1)
6.3,8,1500,*10 x 16,22,1210,94.5,ESW158M6R3AH8(1)
6.3,8,1500,10 x 20,22,1400,94.5,ESW158M6R3AH4(1)
6.3,8,1800,13 x 16,22,1450,113.4,ESW188M6R3AL2(1)
6.3,8,2200,*10 x 20,22,1400,138.6,ESW228M6R3AH4(1)
6.3,8,2200,10 x 25,22,1650,138.6,ESW228M6R3AH5(1)
6.3,8,2700,10 x 30,22,1910,170.1,ESW278M6R3AH6(1)
6.3,8,2700,16 x 16,22,1940,170.1,ESW278M6R3AM8(1)
6.3,8,3300,10 x 25,22,1650,207.9,ESW338M6R3AH5(1)
6.3,8,3300,13 x 20,22,1900,207.9,ESW338M6R3AL3(1)
6.3,8,3900,13 x 25,22,2230,245.7,ESW398M6R3AL4(1)
6.3,8,3900,18 x 16,22,2210,245.7,ESW398M6R3AN6(1)
6.3,8,4700,13 x 30,22,2650,296.1,ESW478M6R3AL8(1)
6.3,8,5600,13 x 35,22,2880,352.8,ESW568M6R3AL6(1)
6.3,8,5600,16 x 20,22,2530,352.8,ESW568M6R3AM5(1)
6.3,8,6800,13 x 40,22,3350,428.4,ESW688M6R3AL7(1)
6.3,8,6800,16 x 25,22,2930,428.4,ESW688M6R3AM7(1)
6.3,8,6800,18 x 20,22,2860,428.4,ESW688M6R3AN4(1)
6.3,8,8200,16 x 32,22,3450,516.6,ESW828M6R3AM2(1)
6.3,8,10000,16 x 36,22,3610,630.0,ESW109M6R3AM3(1)
6.3,8,10000,18 x 25,22,3140,630.0,ESW109M6R3AN5(1)
6.3,8,12000,18 x 32,22,4170,756.0,ESW129M6R3AN1(1)
6.3,8,15000,18 x 36,22,4220,945.0,ESW159M6R3AN2(1)
10,13,100,5 x 11,19,210,10.0,ESW107M010AC3(1)
10,13,220,6.3 x 11,19,340,22.0,ESW227M010AE3(1)
10,13,470,8 x 11,19,640,47.0,ESW477M010AG3(1)
10,13,680,8 x 15,19,840,68.0,ESW687M010AG4(1)
10,13,820,10 x 12.5,19,865,82.0,ESW827M010AH9(1)
10,13,1000,8 x 20,19,1050,100.0,ESW108M010AG6(1)
10,13,1000,10 x 16,19,1210,100.0,ESW108M010AH8(1)
10,13,1200,10 x 20,19,1400,120.0,ESW128M010AH4(1)
10,13,1500,10 x 25,19,1650,150.0,ESW158M010AH5(1)
10,13,1500,13 x 16,19,1450,150.0,ESW158M010AL2(1)
10,13,2200,10 x 30,19,1910,220.0,ESW228M010AH6(1)
10,13,2200,13 x 20,19,1900,220.0,ESW228M010AL3(1)
10,13,2200,16 x 16,19,1940,220.0,ESW228M010AM8(1)
10,13,2700,18 x 16,19,2210,270.0,ESW278M010AN6(1)
10,13,3300,10 x 30,19,1910,330.0,ESW338M010AH6(1)
10,13,3300,13 x 25,19,2230,330.0,ESW338M010AL4(1)
10,13,3900,13 x 30,19,2650,390.0,ESW398M010AL8(1)
10,13,3900,16 x 20,19,2530,390.0,ESW398M010AM5(1)
10,13,4700,13 x 35,19,2880,470.0,ESW478M010AL6(1)
10,13,5600,13 x 40,19,3350,560.0,ESW568M010AL7(1)
10,13,5600,16 x 25,19,2930,560.0,ESW568M010AM7(1)
10,13,5600,18 x 20,19,2860,560.0,ESW568M010AN4(1)
10,13,6800,16 x 32,19,2450,680.0,ESW688M010AM2(1)
10,13,6800,18 x 25,19,3140,680.0,ESW688M010AN5(1)
10,13,8200,16 x 36,19,3610,820.0,ESW828M010AM3(1)
10,13,8200,18 x 32,19,4170,820.0,ESW828M010AN1(1)
10,13,10000,16 x 40,19,4080,1000.0,ESW109M010AM4(1)
10,13,10000,18 x 36,19,4220,1000.0,ESW109M010AN2(1)
10,13,15000,18 x 40,19,4280,1500.0,ESW159M010AN3(1)
16,20,56,5 x 11,16,210,9.0,ESW566M016AC3(1)
16,20,100,6.3 x 11,16,250,16.0,ESW107M016AE3(1)
16,20,120,6.3 x 11,16,340,19.2,ESW127M016AE3(1)
16,20,220,6.3 x 11,16,469,35.2,ESW227M016AE3(1)
16,20,220,8 x 11,16,582,35.2,ESW227M016AG3(1)
16,20,330,8 x 11,16,640,52.8,ESW337M016AG3(1)
16,20,470,*8 x 15,16,840,75.2,ESW477M016AG4(1)
16,20,470,8 x 20,16,950,75.2,ESW477M016AG6(1)
16,20,470,*10 x 12.5,16,865,75.2,ESW477M016AH9(1)
16,20,470,10 x 16,16,1210,75.2,ESW477M016AH8(1)
16,20,680,8 x 20,16,1050,108.8,ESW687M016AG6(1)
16,20,680,10 x 16,16,1210,108.8,ESW687M016AH8(1)
16,20,1000,8 x 20,16,1050,160.0,ESW108M016AG6(1)
16,20,1000,*10 x 16,16,1210,160.0,ESW108M016AH8(1)
16,20,1000,10 x 20,16,1400,160.0,ESW108M016AH4(1)
16,20,1000,13 x 16,16,1450,160.0,ESW108M016AL2(1)
16,20,1200,10 x 25,16,1650,192.0,ESW128M016AH5(1)
16,20,1500,10 x 30,16,1910,240.0,ESW158M016AH6(1)
16,20,1500,13 x 20,16,1900,240.0,ESW158M016AL3(1)
16,20,1500,16 x 16,16,1940,240.0,ESW158M016AM8(1)
16,20,2200,13 x 25,16,2230,352.0,ESW228M016AL4(1)
16,20,2200,18 x 16,16,2210,352.0,ESW228M016AN6(1)
16,20,2700,13 x 30,16,2650,432.0,ESW278M016AL8(1)
16,20,2700,16 x 20,16,2530,432.0,ESW278M016AM5(1)
16,20,3300,13 x 35,16,2880,528.0,ESW338M016AL6(1)
16,20,3900,13 x 40,16,3350,624.0,ESW398M016AL7(1)
16,20,3900,16 x 25,16,2930,624.0,ESW398M016AM7(1)
16,20,3900,18 x 20,16,2860,624.0,ESW398M016AN4(1)
16,20,4700,16 x 32,16,3450,752.0,ESW478M016AM2(1)
16,20,4700,18 x 25,16,3140,752.0,ESW478M016AN5(1)
16,20,5600,16 x 36,16,3610,896.0,ESW568M016AM3(1)
16,20,5600,18 x 32,16,4170,896.0,ESW568M016AN1(1)
