VDC,VDC Surge,Rated Capacitance,Case Size,DF,Z 20°C@100kHz,RC 105°C@100kHz,LC,Part Number
10,13,2700,13 x 25,19,0.020,2510,270.0,ESY278M010AL4(1)
10,13,3300,13 x 25,19,0.018,2770,330.0,ESY338M010AL4(1)
10,13,3900,13 x 30,19,0.016,3290,390.0,ESY398M010AL8(1)
10,13,3900,16 x 20,19,0.018,3140,390.0,ESY398M010AM5(1)
10,13,4700,13 x 35,19,0.015,3400,470.0,ESY478M010AL6(1)
10,13,5600,16 x 25,19,0.016,3460,560.0,ESY568M010AM7(1)
16,20,18,4 x 7,16,0.920,130,3.0,ESY186M016AB2(1)
16,20,27,5 x 7,16,0.610,190,4.3,ESY276M016AC2(1)
16,20,33,5 x 7,16,0.450,210,5.3,ESY336M016AC2(1)
16,20,39,5 x 11,16,0.430,220,6.2,ESY396M016AC3(1)
16,20,47,5 x 11,16,0.360,230,7.5,ESY476M016AC3(1)
16,20,56,5 x 11,16,0.300,250,9.0,ESY566M016AC3(1)
16,20,68,6.3 x 7,16,0.240,300,10.9,ESY686M016AE2(1)
16,20,100,6.3 x 11,16,0.160,370,16.0,ESY107M016AE3(1)
16,20,100,8 x 7,16,0.180,350,16.0,ESY107M016AG1(1)
16,20,120,6.3 x 11,16,0.130,410,19.2,ESY127M016AE3(1)
16,20,120,8 x 7,16,0.150,380,19.2,ESY127M016AG1(1)
16,20,150,8 x 11,16,0.120,510,24.0,ESY157M016AG3(1)
16,20,180,8 x 11,16,0.110,560,28.8,ESY187M016AG3(1)
16,20,220,8 x 11,16,0.100,620,35.2,ESY227M016AG3(1)
16,20,270,8 x 11,16,0.088,690,43.2,ESY277M016AG3(1)
16,20,330,8 x 11,16,0.072,760,52.8,ESY337M016AG3(1)
16,20,470,8 x 16,16,0.056,1000,75.2,ESY477M016AG8(1)
16,20,470,10 x 12.5,16,0.053,1030,75.2,ESY477M016AH9(1)
16,20,560,8 x 20,16,0.049,1140,89.6,ESY567M016AG6(1)
16,20,560,10 x 16,16,0.046,1300,89.6,ESY567M016AH8(1)
16,20,680,8 x 20,16,0.041,1250,108.8,ESY687M016AG6(1)
16,20,680,10 x 16,16,0.038,1430,108.8,ESY687M016AH8(1)
16,20,820,10 x 20,16,0.032,1650,131.2,ESY827M016AH4(1)
16,20,1000,10 x 20,16,0.026,1820,160.0,ESY108M016AH4(1)
16,20,1200,10 x 25,16,0.023,2150,192.0,ESY128M016AH5(1)
16,20,1500,13 x 20,16,0.021,2360,240.0,ESY158M016AL3(1)
16,20,1800,13 x 25,16,0.020,2510,288.0,ESY188M016AL4(1)
16,20,2200,13 x 25,16,0.018,2770,352.0,ESY228M016AL4(1)
16,20,2700,13 x 30,16,0.016,3290,432.0,ESY278M016AL8(1)
16,20,2700,16 x 20,16,0.018,3140,432.0,ESY278M016AM5(1)
16,20,3300,13 x 35,16,0.015,3400,528.0,ESY338M016AL6(1)
16,20,3900,16 x 25,16,0.016,3460,624.0,ESY398M016AM7(1)
25,32,15,4 x 7,14,0.940,130,3.8,ESY156M025AB2(1)
25,32,18,5 x 7,14,0.690,170,4.5,ESY186M025AC2(1)
25,32,27,5 x 7,14,0.460,210,6.8,ESY276M025AC2(1)
25,32,33,5 x 11,14,0.420,220,8.3,ESY336M025AC3(1)
25,32,39,5 x 11,14,0.360,230,9.8,ESY396M025AC3(1)
25,32,47,5 x 11,14,0.300,250,11.8,ESY476M025AC3(1)
25,32,56,6.3 x 7,14,0.240,300,14.0,ESY566M025AE2(1)
25,32,68,6.3 x 11,14,0.190,340,17.0,ESY686M025AE3(1)
25,32,68,8 x 7,14,0.220,310,17.0,ESY686M025AG1(1)
25,32,100,6.3 x 11,14,0.130,410,25.0,ESY107M025AE3(1)
25,32,100,8 x 7,14,0.150,380,25.0,ESY107M025AG1(1)
25,32,120,8 x 11,14,0.120,560,30.0,ESY127M025AG3(1)
25,32,150,8 x 11,14,0.105,630,37.5,ESY157M025AG3(1)
25,32,180,8 x 11,14,0.088,690,45.0,ESY187M025AG3(1)
25,32,220,8 x 11,14,0.072,760,55.0,ESY227M025AG3(1)
25,32,270,8 x 15,14,0.068,900,67.5,ESY277M025AG4(1)
25,32,270,10 x 12.5,14,0.065,930,67.5,ESY277M025AH9(1)
25,32,330,10 x 12.5,14,0.053,1030,82.5,ESY337M025AH9(1)
25,32,330,8 x 16,14,0.056,1000,82.5,ESY337M025AG8(1)
25,32,470,8 x 20,14,0.041,1250,117.5,ESY477M025AG6(1)
25,32,470,10 x 16,14,0.038,1430,117.5,ESY477M025AH8(1)
25,32,560,10 x 20,14,0.032,1650,140.0,ESY567M025AH4(1)
25,32,680,10 x 20,14,0.026,1820,170.0,ESY687M025AH4(1)
25,32,820,10 x 25,14,0.023,2150,205.0,ESY827M025AH5(1)
25,32,1000,13 x 20,14,0.021,2360,250.0,ESY108M025AL3(1)
25,32,1200,13 x 25,14,0.020,2510,300.0,ESY128M025AL4(1)
25,32,1500,13 x 25,14,0.018,2770,375.0,ESY158M025AL4(1)
25,32,1800,13 x 30,14,0.016,3290,450.0,ESY188M025AL8(1)
25,32,1800,16 x 20,14,0.018,3140,450.0,ESY188M025AM5(1)
25,32,2200,13 x 35,14,0.015,3400,550.0,ESY228M025AL6(1)
25,32,2700,16 x 25,14,0.016,3460,675.0,ESY278M025AM7(1)
35,44,10,4 x 7,12,0.960,130,3.5,ESY106M035AB2(1)
35,44,15,5 x 7,12,0.570,190,5.3,ESY156M035AC2(1)
35,44,18,5 x 7,12,0.470,210,6.3,ESY186M035AC2(1)
35,44,27,5 x 11,12,0.370,230,9.5,ESY276M035AC3(1)
35,44,33,5 x 11,12,0.300,250,11.6,ESY336M035AC3(1)
35,44,39,6.3 x 7,12,0.250,300,13.7,ESY396M035AE2(1)
35,44,47,6.3 x 11,12,0.150,380,16.5,ESY476M035AE3(1)
35,44,47,8 x 7,12,0.190,350,16.5,ESY476M035AG1(1)
35,44,56,6.3 x 11,12,0.130,410,19.6,ESY566M035AE3(1)
35,44,56,8 x 7,12,0.160,380,19.6,ESY566M035AG1(1)
35,44,68,8 x 11,12,0.120,510,23.8,ESY686M035AG3(1)
35,44,100,8 x 11,12,0.105,620,35.0,ESY107M035AG3(1)
35,44,120,8 x 11,12,0.088,680,42.0,ESY127M035AG3(1)
35,44,150,8 x 11,12,0.072,760,52.5,ESY157M035AG3(1)
35,44,180,8 x 15,12,0.068,910,63.0,ESY187M035AG4(1)
35,44,180,10 x 12.5,12,0.065,930,63.0,ESY187M035AH9(1)
35,44,220,10 x 12.5,12,0.053,1030,77.0,ESY227M035AH9(1)
35,44,220,8 x 16,12,0.056,1000,77.0,ESY227M035AG8(1)
35,44,270,8 x 20,12,0.041,1250,94.5,ESY277M035AG6(1)
35,44,330,10 x 16,12,0.038,1430,115.5,ESY337M035AH8(1)
35,44,470,10 x 20,12,0.026,1820,164.5,ESY477M035AH4(1)
35,44,560,10 x 25,12,0.023,2150,196.0,ESY567M035AH5(1)
35,44,680,13 x 20,12,0.021,2360,238.0,ESY687M035AL3(1)
35,44,820,13 x 25,12,0.020,2510,287.0,ESY827M035AL4(1)
35,44,1000,13 x 25,12,0.018,2770,350.0,ESY108M035AL4(1)
35,44,1200,13 x 30,12,0.016,3290,420.0,ESY128M035AL8(1)
35,44,1200,16 x 20,12,0.018,3140,420.0,ESY128M035AM5(1)
35,44,1500,13 x 35,12,0.015,3400,525.0,ESY158M035AL6(1)
35,44,1800,16 x 25,12,0.016,3460,630.0,ESY188M035AM7(1)
50,63,5.6,4 x 7,10,1.000,130,3.0,ESY565M050AB2(1)
50,63,6.8,5 x 7,10,0.740,170,3.4,ESY685M050AC2(1)
50,63,10,5 x 7,10,0.500,210,5.0,ESY106M050AC2(1)
50,63,15,5 x 11,10,0.480,215,7.5,ESY156M050AC3(1)
50,63,15,6.3 x 7,10,0.380,220,7.5,ESY156M050AE2(1)
50,63,22,5 x 11,10,0.340,240,11.0,ESY226M050AC3(1)
50,63,22,6.3 x 7,10,0.260,300,11.0,ESY226M050AE2(1)
50,63,27,8 x 7,10,0.210,340,13.5,ESY276M050AG1(1)
50,63,33,8 x 7,10,0.170,380,16.5,ESY336M050AG1(1)
50,63,39,6.3 x 11,10,0.160,330,19.5,ESY396M050AE3(1)
50,63,47,6.3 x 11,10,0.150,360,23.5,ESY476M050AE3(1)
50,63,56,6.3 x 11,10,0.140,390,28.0,ESY566M050AE3(1)
50,63,68,8 x 11,10,0.110,600,34.0,ESY686M050AG3(1)
50,63,82,8 x 11,10,0.090,660,41.0,ESY826M050AG3(1)
50,63,100,8 x 11,10,0.074,730,50.0,ESY107M050AG3(1)
50,63,120,8 x 15,10,0.065,950,60.0,ESY127M050AG4(1)
50,63,150,10 x 12.5,10,0.061,980,75.0,ESY157M050AH9(1)
50,63,180,8 x 20,10,0.046,1190,90.0,ESY187M050AG6(1)
50,63,220,10 x 16,10,0.042,1370,110.0,ESY227M050AH8(1)
50,63,270,10 x 20,10,0.030,1580,135.0,ESY277M050AH4(1)
50,63,330,10 x 25,10,0.028,1870,165.0,ESY337M050AH5(1)
50,63,390,13 x 20,10,0.028,1870,195.0,ESY397M050AL3(1)
50,63,470,13 x 20,10,0.027,2050,235.0,ESY477M050AL3(1)
50,63,560,13 x 25,10,0.023,2410,280.0,ESY567M050AL4(1)
50,63,680,13 x 30,10,0.021,2860,340.0,ESY687M050AL8(1)
50,63,820,13 x 35,10,0.019,2960,410.0,ESY827M050AL6(1)
50,63,820,16 x 20,10,0.023,2730,410.0,ESY827M050AM5(1)
50,63,1000,16 x 32,10,0.021,3350,500.0,ESY108M050AM2(1)
63,79,15,5 x 11,9,1.190,136,9.5,ESY156M063AC3(1)
63,79,22,6.3 x 11,9,0.880,176,13.9,ESY226M063AE3(1)
63,79,27,6.3 x 11,9,0.580,192,17.0,ESY276M063AE3(1)
63,79,33,6.3 x 11,9,0.470,216,20.8,ESY336M063AE3(1)
63,79,39,8 x 11,9,0.420,308,24.6,ESY396M063AG3(1)
63,79,47,8 x 11,9,0.350,336,29.6,ESY476M063AG3(1)
63,79,56,8 x 11,9,0.350,400,35.3,ESY566M063AG3(1)
63,79,68,8 x 15,9,0.260,488,42.8,ESY686M063AG4(1)
63,79,68,10 x 12.5,9,0.240,500,42.8,ESY686M063AH9(1)
63,79,82,8 x 15,9,0.220,536,51.7,ESY826M063AG4(1)
63,79,82,10 x 12.5,9,0.200,552,51.7,ESY826M063AH9(1)
63,79,100,10 x 16,9,0.160,640,63.0,ESY107M063AH8(1)
63,79,120,8 x 20,9,0.160,656,75.6,ESY127M063AG6(1)
63,79,120,10 x 16,9,0.150,760,75.6,ESY127M063AH8(1)
63,79,150,10 x 20,9,0.130,808,94.5,ESY157M063AH4(1)
63,79,150,13 x 16,9,0.130,832,94.5,ESY157M063AL2(1)
63,79,180,10 x 20,9,0.110,880,113.4,ESY187M063AH4(1)
63,79,180,13 x 16,9,0.110,912,113.4,ESY187M063AL2(1)
63,79,220,10 x 25,9,0.099,1040,138.6,ESY227M063AH5(1)
63,79,270,13 x 20,9,0.810,1200,170.1,ESY277M063AL3(1)
63,79,330,13 x 25,9,0.058,1480,207.9,ESY337M063AL4(1)
63,79,390,13 x 30,9,0.063,1640,245.7,ESY397M063AL8(1)
63,79,390,16 x 20,9,0.073,1448,245.7,ESY397M063AM5(1)
63,79,470,13 x 30,9,0.061,1800,296.1,ESY477M063AL8(1)
63,79,470,16 x 20,9,0.061,1592,296.1,ESY477M063AM5(1)
63,79,560,13 x 35,9,0.047,1960,352.8,ESY567M063AL6(1)
63,79,560,16 x 25,9,0.043,2040,352.8,ESY567M063AM7(1)
63,79,680,13 x 40,9,0.039,2224,428.4,ESY687M063AL7(1)
63,79,680,18 x 20,9,0.051,1960,428.4,ESY687M063AN4(1)
63,79,820,16 x 32,9,0.035,2248,516.6,ESY827M063AM2(1)
63,79,820,18 x 25,9,0.042,2224,516.6,ESY827M063AN5(1)
63,79,1000,16 x 36,9,0.028,2272,630.0,ESY108M063AM3(1)
63,79,1000,18 x 32,9,0.034,2616,630.0,ESY108M063AN1(1)
63,79,1200,16 x 40,9,0.026,2672,756.0,ESY128M063AM4(1)
63,79,1200,18 x 36,9,0.027,2648,756.0,ESY128M063AN2(1)
63,79,1500,18 x 40,9,0.024,2736,945.0,ESY158M063AN3(1)
100,125,6.8,5 x 11,8,1.400,125,6.8,ESY685M100AC3(1)
100,125,10,6.3 x 11,8,0.950,170,10.0,ESY106M100AE3(1)
100,125,15,6.3 x 11,8,0.570,210,15.0,ESY156M100AE3(1)
100,125,22,8 x 11,8,0.440,330,22.0,ESY226M100AG3(1)
100,125,27,8 x 11,8,0.360,360,27.0,ESY276M100AG3(1)
100,125,33,8 x 15,8,0.300,375,33.0,ESY336M100AG4(1)
100,125,39,8 x 15,8,0.250,450,39.0,ESY396M100AG4(1)
100,125,47,10 x 12.5,8,0.240,450,47.0,ESY476M100AH9(1)
100,125,56,8 x 20,8,0.190,570,56.0,ESY566M100AG6(1)
100,125,68,10 x 16,8,0.180,580,68.0,ESY686M100AH8(1)
100,125,82,10 x 20,8,0.130,750,82.0,ESY826M100AH4(1)
100,125,82,13 x 16,8,0.130,740,82.0,ESY826M100AL2(1)
100,125,100,10 x 25,8,0.120,880,100.0,ESY107M100AH5(1)
100,125,120,13 x 20,8,0.094,1050,120.0,ESY127M100AL3(1)
100,125,150,13 x 25,8,0.085,1100,150.0,ESY157M100AL4(1)
100,125,180,13 x 25,8,0.071,1200,180.0,ESY187M100AL4(1)
100,125,220,13 x 30,8,0.063,1410,220.0,ESY227M100AL8(1)
100,125,220,16 x 20,8,0.071,1300,220.0,ESY227M100AM5(1)
100,125,270,13 x 35,8,0.052,1560,270.0,ESY277M100AL6(1)
100,125,270,16 x 25,8,0.053,1600,270.0,ESY277M100AM7(1)
100,125,270,18 x 20,8,0.069,1470,270.0,ESY277M100AN4(1)
100,125,330,13 x 40,8,0.046,1700,330.0,ESY337M100AL7(1)
100,125,390,16 x 32,8,0.041,1750,390.0,ESY397M100AM2(1)
100,125,390,18 x 25,8,0.049,1620,390.0,ESY397M100AN5(1)
100,125,470,16 x 36,8,0.033,1890,470.0,ESY477M100AM3(1)
100,125,470,18 x 32,8,0.039,1780,470.0,ESY477M100AN1(1)
100,125,560,16 x 40,8,0.030,2080,560.0,ESY567M100AM4(1)
100,125,560,18 x 36,8,0.031,2060,560.0,ESY567M100AN2(1)
100,125,680,18 x 40,8,0.028,2570,680.0,ESY687M100AN3(1)
