VDC,VDC Surge,Rated Capacitance,Case Size,DF,RC 105°C@100kHz,Z 20°C@100kHz,LC,Part Number
6.3,8,150,5 x 11,22,210,0.58,9.5,ETA157M6R3AC3(1)
6.3,8,330,6.3 x 11,22,340,0.22,20.8,ETA337M6R3AE3(1)
6.3,8,680,8 x 11,22,640,0.13,42.8,ETA687M6R3AG3(1)
6.3,8,820,10 x 12.5,22,865,0.080,51.7,ETA827M6R3AH9(1)
6.3,8,1000,8 x 15,22,840,0.087,63.0,ETA108M6R3AG4(1)
6.3,8,1200,8 x 20,22,1050,0.069,75.6,ETA128M6R3AG6(1)
6.3,8,1200,10 x 15,22,1210,0.060,75.6,ETA128M6R3AH2(1)
6.3,8,1500,10 x 20,22,1400,0.046,94.5,ETA158M6R3AH4(1)
6.3,8,1800,13 x 16,22,1450,0.049,113.4,ETA188M6R3AL2(1)
6.3,8,2200,10 x 25,22,1650,0.042,138.6,ETA228M6R3AH5(1)
6.3,8,2700,10 x 30,22,1910,0.031,170.1,ETA278M6R3AH6(1)
6.3,8,3300,13 x 20,22,1900,0.035,207.9,ETA338M6R3AL3(1)
6.3,8,3900,13 x 25,22,2230,0.027,245.7,ETA398M6R3AL4(1)
6.3,8,4700,13 x 30,22,2650,0.024,296.1,ETA478M6R3AL8(1)
6.3,8,5600,13 x 35,22,2880,0.020,352.8,ETA568M6R3AL6(1)
6.3,8,5600,16 x 20,22,2530,0.027,352.8,ETA568M6R3AM5(1)
6.3,8,6800,13 x 40,22,3350,0.017,428.4,ETA688M6R3AL7(1)
6.3,8,6800,16 x 25,22,2930,0.021,428.4,ETA688M6R3AM7(1)
6.3,8,6800,18 x 20,22,2860,0.026,428.4,ETA688M6R3AN4(1)
6.3,8,8200,16 x 32,22,3450,0.017,516.6,ETA828M6R3AM2(1)
10,13,100,5 x 11,19,210,0.58,10.0,ETA107M010AC3(1)
10,13,220,6.3 x 11,19,340,0.220,22.0,ETA227M010AE3(1)
10,13,470,8 x 11,19,640,0.130,47.0,ETA477M010AG3(1)
10,13,680,8 x 15,19,840,0.087,68.0,ETA687M010AG4(1)
10,13,680,10 x 12.5,19,865,0.080,68.0,ETA687M010AH9(1)
10,13,1000,8 x 20,19,1050,0.069,100.0,ETA108M010AG6(1)
10,13,1000,10 x 15,19,1210,0.060,100.0,ETA108M010AH2(1)
10,13,1200,10 x 20,19,1400,0.046,120.0,ETA128M010AH4(1)
10,13,1500,10 x 25,19,1650,0.042,150.0,ETA158M010AH5(1)
10,13,1500,13 x 16,19,1450,0.049,150.0,ETA158M010AL2(1)
10,13,2200,10 x 30,19,1910,0.031,220.0,ETA228M010AH6(1)
10,13,2200,13 x 20,19,1900,0.035,220.0,ETA228M010AL3(1)
10,13,3300,13 x 25,19,2230,0.027,330.0,ETA338M010AL4(1)
10,13,3900,13 x 30,19,2650,0.024,390.0,ETA398M010AL8(1)
10,13,3900,16 x 20,19,2530,0.027,390.0,ETA398M010AM5(1)
10,13,4700,13 x 35,19,2880,0.020,470.0,ETA478M010AL6(1)
10,13,5600,13 x 40,19,3350,0.017,560.0,ETA568M010AL7(1)
10,13,5600,16 x 25,19,2930,0.021,560.0,ETA568M010AM7(1)
10,13,5600,18 x 20,19,2860,0.026,560.0,ETA568M010AN4(1)
10,13,6800,16 x 32,19,3450,0.017,680.0,ETA688M010AM2(1)
10,13,6800,18 x 25,19,3140,0.019,680.0,ETA688M010AN5(1)
10,13,8200,16 x 36,19,3610,0.015,820.0,ETA828M010AM3(1)
10,13,8200,18 x 32,19,4170,0.015,820.0,ETA828M010AN1(1)
16,20,56,5 x 11,16,210,0.58,9.0,ETA566M016AC3(1)
16,20,120,6.3 x 11,16,340,0.22,19.2,ETA127M016AE3(1)
16,20,330,8 x 11,16,640,0.130,52.8,ETA337M016AG3(1)
16,20,470,8 x 15,16,840,0.087,75.2,ETA477M016AG4(1)
16,20,470,10 x 12.5,16,865,0.080,75.2,ETA477M016AH9(1)
16,20,680,8 x 20,16,1050,0.069,108.8,ETA687M016AG6(1)
16,20,680,10 x 15,16,1210,0.060,108.8,ETA687M016AH2(1)
16,20,1000,10 x 20,16,1400,0.046,160.0,ETA108M016AH4(1)
16,20,1000,13 x 16,16,1450,0.049,160.0,ETA108M016AL2(1)
16,20,1200,10 x 25,16,1650,0.042,192.0,ETA128M016AH5(1)
16,20,1500,10 x 30,16,1910,0.031,240.0,ETA158M016AH6(1)
16,20,1500,13 x 20,16,1900,0.035,240.0,ETA158M016AL3(1)
16,20,2200,13 x 25,16,2230,0.027,352.0,ETA228M016AL4(1)
16,20,2700,13 x 30,16,2650,0.024,432.0,ETA278M016AL8(1)
16,20,2700,16 x 20,16,2530,0.027,432.0,ETA278M016AM5(1)
16,20,3300,13 x 35,16,2880,0.020,528.0,ETA338M016AL6(1)
16,20,3900,13 x 40,16,3350,0.017,624.0,ETA398M016AL7(1)
16,20,3900,16 x 25,16,2930,0.021,624.0,ETA398M016AM7(1)
16,20,3900,18 x 20,16,2860,0.026,624.0,ETA398M016AN4(1)
16,20,4700,16 x 32,16,3450,0.017,752.0,ETA478M016AM2(1)
16,20,4700,18 x 25,16,3140,0.019,752.0,ETA478M016AN5(1)
