Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/100kHz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
RS60E391MCN1,MP,2.5,390.00,6.3,5.0,-55,105,2000,0.50,0.10,500,3500,,0.012,,,,,,4000,Radial Lead,Minitualized Hi-Cap.,Uni-Polar,Normal
RS60E561MCN1,MP,2.5,560.00,6.3,5.0,-55,105,2000,0.50,0.12,700,3600,,0.013,,,,,,4000,Radial Lead,Minitualized Hi-Cap.,Uni-Polar,Normal
RS60E561MCNASQ,MP,2.5,560.00,6.3,5.0,-55,105,5000,0.50,0.12,700,3600,,0.013,,,,,,4000,Radial Lead,Minitualized Hi-Cap.,Uni-Polar,Normal
RS60J221MCN1,MP,6.3,220.00,6.3,5.0,-55,105,2000,0.50,0.12,500,3200,,0.015,,,,,,4000,Radial Lead,Minitualized Hi-Cap.,Uni-Polar,Normal
RS61A151MCN1,MP,10.0,150.00,6.3,5.0,-55,105,2000,0.50,0.10,450,2500,,0.025,,,,,,4000,Radial Lead,Minitualized Hi-Cap.,Uni-Polar,Normal
RS61C101MCS1,MP,16.0,100.00,6.3,6.0,-55,105,2000,0.42,0.10,500,2490,,0.024,,,,,,4000,Radial Lead,Minitualized Hi-Cap.,Uni-Polar,Normal
RS61C101MDS1,MP,16.0,100.00,6.3,6.0,-55,105,2000,0.42,0.10,500,2490,,0.024,,,,,,4000,Radial Lead,Minitualized Hi-Cap.,Uni-Polar,Normal
RS61C181MCN1,MP,16.0,180.00,6.3,5.0,-55,105,2000,0.50,0.10,576,3200,,0.02,,,,,,4000,Radial Lead,Minitualized Hi-Cap.,Uni-Polar,Normal
RS61E330MCN1,MP,25.0,33.00,6.3,5.0,-55,105,2000,0.50,0.10,165,1700,,0.06,,,,,,4000,Radial Lead,Minitualized Hi-Cap.,Uni-Polar,Normal
RS61E470MCN1,MP,25.0,47.00,6.3,5.0,-55,105,2000,0.50,0.10,235,2800,,0.03,,,,,,4000,Radial Lead,Minitualized Hi-Cap.,Uni-Polar,Normal
RS61E560MCN1,MP,25.0,56.00,6.3,5.0,-55,105,2000,0.50,0.10,280,2800,,0.03,,,,,,4000,Radial Lead,Minitualized Hi-Cap.,Uni-Polar,Normal
