Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(mΩ)（20℃/100kHz）,ESR(mΩ) (-40℃/100kHz）,ESR(mΩ) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (mΩ)(-10℃/100kHz),Impedance (mΩ)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UAS2D330MPD,MP,200.0,33.00,10.0,20.0,-40,105,2000,2.34,0.15,364,160,,,,,,,,1400,Radial Lead,Miniature sized Permissible Abnormal Volt.,Uni-Polar,Normal
UAS2D470MPD,MP,200.0,47.00,10.0,25.0,-40,105,2000,3.07,0.15,476,195,,,,,,,,1200,Radial Lead,Miniature sized Permissible Abnormal Volt.,Uni-Polar,Normal
UAS2D470MHD6,MP,200.0,47.00,12.5,20.0,-40,105,2000,3.43,0.15,476,195,,,,,,,,1000,Radial Lead,Miniature sized Permissible Abnormal Volt.,Uni-Polar,Normal
UAS2D560MHD,MP,200.0,56.00,12.5,20.0,-40,105,2000,3.43,0.15,548,210,,,,,,,,1000,Radial Lead,Miniature sized Permissible Abnormal Volt.,Uni-Polar,Normal
UAS2D680MHD,MP,200.0,68.00,12.5,25.0,-40,105,2000,4.56,0.15,644,320,,,,,,,,800,Radial Lead,Miniature sized Permissible Abnormal Volt.,Uni-Polar,Normal
UAS2D820MHD,MP,200.0,82.00,12.5,25.0,-40,105,2000,4.56,0.15,756,360,,,,,,,,800,Radial Lead,Miniature sized Permissible Abnormal Volt.,Uni-Polar,Normal
UAS2D101MHD,MP,200.0,100.00,12.5,30.5,-40,105,2000,6.01,0.15,900,430,,,,,,,,600,Radial Lead,Miniature sized Permissible Abnormal Volt.,Uni-Polar,Normal
UAS2D101MHD6,MP,200.0,100.00,16.0,20.0,-40,105,2000,6.60,0.15,900,430,,,,,,,,600,Radial Lead,Miniature sized Permissible Abnormal Volt.,Uni-Polar,Normal
UAS2D151MHD,MP,200.0,150.00,16.0,25.0,-40,105,2000,8.20,0.15,1300,460,,,,,,,,400,Radial Lead,Miniature sized Permissible Abnormal Volt.,Uni-Polar,Normal
UAS2D151MHD6,MP,200.0,150.00,18.0,20.0,-40,105,2000,9.00,0.15,1300,460,,,,,,,,400,Radial Lead,Miniature sized Permissible Abnormal Volt.,Uni-Polar,Normal
UAS2D181MHD,MP,200.0,180.00,16.0,30.5,-40,105,2000,9.60,0.15,1540,600,,,,,,,,300,Radial Lead,Miniature sized Permissible Abnormal Volt.,Uni-Polar,Normal
UAS2D181MHD6,MP,200.0,180.00,18.0,25.0,-40,105,2000,10.60,0.15,1540,600,,,,,,,,300,Radial Lead,Miniature sized Permissible Abnormal Volt.,Uni-Polar,Normal
UAS2D221MHD,MP,200.0,220.00,18.0,30.5,-40,105,2000,13.10,0.15,1860,710,,,,,,,,300,Radial Lead,Miniature sized Permissible Abnormal Volt.,Uni-Polar,Normal
UAS2D271MHD,MP,200.0,270.00,18.0,35.5,-40,105,2000,14.20,0.15,2260,890,,,,,,,,250,Radial Lead,Miniature sized Permissible Abnormal Volt.,Uni-Polar,Normal
