Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(mΩ)（20℃/100kHz）,ESR(mΩ) (-40℃/100kHz）,ESR(mΩ) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (mΩ)(-10℃/100kHz),Impedance (mΩ)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UBW1A221MPD,MP,10.0,220.00,8.0,11.5,-55,135,1000,1.19,0.20,66,340,,,,,,,260,3000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1A331MPD,MP,10.0,330.00,10.0,12.5,-55,135,2000,1.49,0.20,99,620,,,,,,,150,2000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1A471MPD,MP,10.0,470.00,10.0,12.5,-55,135,2000,1.49,0.20,141,680,,,,,,,100,2000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1A102MPD,MP,10.0,1000.00,10.0,20.0,-55,135,2000,2.34,0.20,300,1100,,,,,,,57,1400,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1A222MHD,MP,10.0,2200.00,12.5,25.0,-55,135,3000,4.56,0.22,660,1750,,,,,,,33,800,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1A332MHD,MP,10.0,3300.00,16.0,25.0,-55,135,3000,8.20,0.24,990,2300,,,,,,,24,400,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1A472MHD,MP,10.0,4700.00,16.0,30.5,-55,135,3000,9.60,0.26,1410,2710,,,,,,,20,300,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1C101MPD,MP,16.0,100.00,8.0,11.5,-55,135,1000,1.19,0.16,48,340,,,,,,,320,3000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1C221MPD,MP,16.0,220.00,10.0,12.5,-55,135,2000,1.49,0.16,106,620,,,,,,,150,2000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1C331MPD,MP,16.0,330.00,10.0,12.5,-55,135,2000,1.49,0.16,158,680,,,,,,,100,2000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1C471MPD,MP,16.0,470.00,10.0,16.0,-55,135,2000,1.77,0.16,226,945,,,,,,,75,1800,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1C102MHD,MP,16.0,1000.00,12.5,20.0,-55,135,3000,3.43,0.16,480,1490,,,,,,,42,1000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1C222MHD,MP,16.0,2200.00,16.0,25.0,-55,135,3000,8.20,0.18,1056,2300,,,,,,,24,400,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1C332MHD,MP,16.0,3300.00,16.0,30.5,-55,135,3000,9.60,0.20,1584,2710,,,,,,,20,300,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1E101MPD,MP,25.0,100.00,8.0,11.5,-55,135,1000,1.19,0.14,75,500,,,,,,,130,3000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1E221MPD,MP,25.0,220.00,10.0,12.5,-55,135,2000,1.49,0.14,165,680,,,,,,,100,2000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1E331MPD,MP,25.0,330.00,10.0,16.0,-55,135,2000,1.77,0.14,248,945,,,,,,,75,1800,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1E471MPD,MP,25.0,470.00,10.0,20.0,-55,135,2000,2.34,0.14,353,1100,,,,,,,57,1400,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1E102MHD,MP,25.0,1000.00,12.5,25.0,-55,135,3000,4.56,0.14,750,1750,,,,,,,33,800,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1E222MHD,MP,25.0,2200.00,16.0,30.5,-55,135,3000,9.60,0.16,1650,2710,,,,,,,20,300,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1V101MPD,MP,35.0,100.00,10.0,12.5,-55,135,2000,1.49,0.12,105,620,,,,,,,150,2000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1V221MPD,MP,35.0,220.00,10.0,16.0,-55,135,2000,1.77,0.12,231,790,,,,,,,94,1800,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1V331MPD,MP,35.0,330.00,10.0,20.0,-55,135,2000,2.34,0.12,347,950,,,,,,,75,1400,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1V471MHD,MP,35.0,470.00,12.5,20.0,-55,135,3000,3.43,0.12,494,1330,,,,,,,58,1000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1V102MHD,MP,35.0,1000.00,16.0,25.0,-55,135,3000,8.20,0.12,1050,2010,,,,,,,31,400,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1H4R7MPD,MP,50.0,4.70,8.0,11.5,-55,135,1000,1.19,0.10,7,85,,,,,,,1150,3000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1H100MPD,MP,50.0,10.00,8.0,11.5,-55,135,1000,1.19,0.10,15,180,,,,,,,750,3000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1H220MPD,MP,50.0,22.00,8.0,11.5,-55,135,1000,1.19,0.10,33,250,,,,,,,500,3000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1H330MPD,MP,50.0,33.00,8.0,11.5,-55,135,1000,1.19,0.10,50,300,,,,,,,450,3000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1H470MPD,MP,50.0,47.00,8.0,11.5,-55,135,1000,1.19,0.10,71,440,,,,,,,350,3000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1H101MPD,MP,50.0,100.00,10.0,12.5,-55,135,2000,1.49,0.10,150,555,,,,,,,180,2000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1H221MPD,MP,50.0,220.00,10.0,20.0,-55,135,2000,2.34,0.10,330,930,,,,,,,98,1400,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1H331MHD,MP,50.0,330.00,12.5,20.0,-55,135,3000,3.43,0.10,495,1330,,,,,,,70,1000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1H471MHD,MP,50.0,470.00,12.5,25.0,-55,135,3000,4.56,0.10,705,1650,,,,,,,55,800,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1H102MHD,MP,50.0,1000.00,16.0,30.5,-55,135,3000,9.60,0.10,1500,2430,,,,,,,31,300,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1J220MPD,MP,63.0,22.00,8.0,11.5,-55,135,1000,1.19,0.10,42,130,,,,,,,2000,3000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1J330MPD,MP,63.0,33.00,8.0,11.5,-55,135,1000,1.19,0.10,62,150,,,,,,,1500,3000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1J470MPD,MP,63.0,47.00,10.0,12.5,-55,135,2000,1.49,0.10,89,530,,,,,,,590,2000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1J101MPD,MP,63.0,100.00,10.0,16.0,-55,135,2000,1.77,0.10,189,690,,,,,,,410,1800,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1J221MHD,MP,63.0,220.00,12.5,20.0,-55,135,3000,3.43,0.10,416,1050,,,,,,,160,1000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1J331MHD,MP,63.0,330.00,12.5,25.0,-55,135,3000,4.56,0.10,624,1290,,,,,,,120,800,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1J471MHD,MP,63.0,470.00,12.5,30.5,-55,135,3000,6.01,0.10,888,1460,,,,,,,97,600,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1J102MHD,MP,63.0,1000.00,16.0,30.5,-55,135,3000,9.60,0.10,1890,1900,,,,,,,55,300,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1K220MPD,MP,80.0,22.00,8.0,11.5,-55,135,1000,1.19,0.08,53,150,,,,,,,1500,3000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1K330MPD,MP,80.0,33.00,10.0,12.5,-55,135,2000,1.49,0.08,79,480,,,,,,,800,2000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1K470MPD,MP,80.0,47.00,10.0,12.5,-55,135,2000,1.49,0.08,113,480,,,,,,,800,2000,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
UBW1K101MPD,MP,80.0,100.00,10.0,20.0,-55,135,2000,2.34,0.08,240,790,,,,,,,390,1400,Radial Lead,Hi-Temp.(125/135degC) For Automotive,Uni-Polar,Normal
