Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UES0J330MDM,EOL,6.3,33.00,5.0,11.0,-40,85,1000,0.44,0.24,6,,,,,,,,,6000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES0J470MEM,EOL,6.3,47.00,6.3,11.0,-40,85,1000,0.59,0.24,9,,,,,,,,,4000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES0J101MPM,LTB,6.3,100.00,8.0,11.5,-40,85,1000,1.19,0.24,19,,,,,,,,,3000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES0J221MPM,LTB,6.3,220.00,10.0,12.5,-40,85,1000,1.49,0.24,42,,,,,,,,,2000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES0J331MPM,LTB,6.3,330.00,10.0,16.0,-40,85,1000,1.77,0.24,62,,,,,,,,,1800,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES0J471MPM,LTB,6.3,470.00,10.0,20.0,-40,85,1000,2.34,0.24,89,,,,,,,,,1400,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES0J102MHM,LTB,6.3,1000.00,12.5,25.0,-40,85,1000,4.56,0.24,189,,,,,,,,,800,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1A220MDM,EOL,10.0,22.00,5.0,11.0,-40,85,1000,0.44,0.20,7,,,,,,,,,6000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1A330MEM,EOL,10.0,33.00,6.3,11.0,-40,85,1000,0.59,0.20,10,,,,,,,,,4000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1A470MEM,EOL,10.0,47.00,6.3,11.0,-40,85,1000,0.59,0.20,14,,,,,,,,,4000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1A101MPM,LTB,10.0,100.00,10.0,12.5,-40,85,1000,1.49,0.20,30,,,,,,,,,2000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1A221MPM,LTB,10.0,220.00,10.0,16.0,-40,85,1000,1.77,0.20,66,,,,,,,,,1800,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1A331MPM,LTB,10.0,330.00,10.0,20.0,-40,85,1000,2.34,0.20,99,,,,,,,,,1400,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1A471MHM,LTB,10.0,470.00,12.5,20.0,-40,85,1000,3.43,0.20,141,,,,,,,,,1000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1A102MHM,LTB,10.0,1000.00,16.0,25.0,-40,85,1000,8.20,0.20,300,,,,,,,,,400,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1C100MDM,EOL,16.0,10.00,5.0,11.0,-40,85,1000,0.44,0.16,5,,,,,,,,,6000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1C220MEM,EOL,16.0,22.00,6.3,11.0,-40,85,1000,0.59,0.16,11,,,,,,,,,4000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1C330MEM,EOL,16.0,33.00,6.3,11.0,-40,85,1000,0.59,0.16,16,,,,,,,,,4000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1C470MPM,MP,16.0,47.00,8.0,11.5,-40,85,1000,1.19,0.16,23,,,,,,,,,3000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1C101MPM,MP,16.0,100.00,10.0,12.5,-40,85,1000,1.49,0.16,48,,,,,,,,,2000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1C221MPM,MP,16.0,220.00,10.0,20.0,-40,85,1000,2.34,0.16,106,,,,,,,,,1400,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1C331MHM,MP,16.0,330.00,12.5,20.0,-40,85,1000,3.43,0.16,158,,,,,,,,,1000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1C471MHM,MP,16.0,470.00,12.5,25.0,-40,85,1000,4.56,0.16,226,,,,,,,,,800,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1C102MHM,MP,16.0,1000.00,16.0,25.0,-40,85,1000,8.20,0.16,480,,,,,,,,,400,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1E4R7MDM,EOL,25.0,4.70,5.0,11.0,-40,85,1000,0.44,0.16,4,,,,,,,,,6000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1E100MDM,EOL,25.0,10.00,5.0,11.0,-40,85,1000,0.44,0.16,8,,,,,,,,,6000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1E220MEM,EOL,25.0,22.00,6.3,11.0,-40,85,1000,0.59,0.16,17,,,,,,,,,4000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1E330MPM,MP,25.0,33.00,8.0,11.5,-40,85,1000,1.19,0.16,25,,,,,,,,,3000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
