Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/100kHz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UHD0J151MDD,EOL,6.3,150.00,5.0,11.0,-40,105,2000,0.44,0.22,9,250,,,,,,1.0,0.3,6000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD0J331MED,EOL,6.3,330.00,6.3,11.0,-40,105,2000,0.59,0.22,21,405,,,,,,0.41,0.13,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD0J561MPD,MP,6.3,560.00,8.0,11.5,-40,105,3000,1.19,0.22,35,760,,,,,,0.22,0.072,3000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD0J821MPD,MP,6.3,820.00,8.0,15.0,-40,105,3000,1.36,0.22,52,995,,,,,,0.17,0.056,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD0J102MPD,MP,6.3,1000.00,10.0,12.5,-40,105,4000,1.49,0.22,63,1030,,,,,,0.16,0.053,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD0J122MPD,MP,6.3,1200.00,8.0,20.0,-40,105,3000,1.66,0.22,76,1250,,,,,,0.13,0.041,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD0J122MPD6,MP,6.3,1200.00,10.0,16.0,-40,105,4000,1.77,0.22,76,1430,,,,,,0.12,0.038,1800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD0J152MPD,MP,6.3,1500.00,10.0,20.0,-40,105,4000,2.34,0.22,95,1820,,,,,,0.069,0.023,1400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD0J222MPD,MP,6.3,2200.00,10.0,25.0,-40,105,4000,3.07,0.24,139,2150,,,,,,0.066,0.022,1200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD0J332MHD,MP,6.3,3300.00,12.5,20.0,-40,105,5000,3.43,0.26,208,2360,,,,,,0.053,0.021,1000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD0J392MHD,MP,6.3,3900.00,12.5,25.0,-40,105,5000,4.56,0.26,246,2770,,,,,,0.045,0.018,800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD0J472MHD,MP,6.3,4700.00,12.5,30.5,-40,105,5000,6.01,0.28,296,3290,,,,,,0.041,0.016,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD0J562MHD,MP,6.3,5600.00,12.5,35.5,-40,105,5000,7.06,0.30,353,3400,,,,,,0.039,0.015,500,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD0J562MHD6,MP,6.3,5600.00,16.0,20.0,-40,105,5000,6.60,0.30,353,3140,,,,,,0.045,0.018,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD0J682MHD,MP,6.3,6800.00,16.0,25.0,-40,105,5000,8.20,0.32,428,3460,,,,,,0.043,0.016,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
