Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(mΩ)（20℃/100kHz）,ESR(mΩ) (-40℃/100kHz）,ESR(mΩ) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (mΩ)(-10℃/100kHz),Impedance (mΩ)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UHE0J151MDD,EOL,6.3,150.00,5.0,11.0,-40,105,4000,0.44,0.22,9,210,,,,,,2300,580,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE0J331MED,EOL,6.3,330.00,6.3,11.0,-40,105,4000,0.59,0.22,21,340,,,,,,870,220,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE0J681MPD,MP,6.3,680.00,8.0,11.5,-40,105,6000,1.19,0.22,43,640,,,,,,520,130,3000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE0J821MPD,MP,6.3,820.00,10.0,12.5,-40,105,6000,1.49,0.22,52,865,,,,,,320,80,2000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE0J102MPD,MP,6.3,1000.00,8.0,15.0,-40,105,6000,1.36,0.22,63,840,,,,,,350,87,2000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE0J122MPD,MP,6.3,1200.00,8.0,20.0,-40,105,6000,1.66,0.22,76,1050,,,,,,270,69,2000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE0J122MPD6,MP,6.3,1200.00,10.0,16.0,-40,105,6000,1.77,0.22,76,1210,,,,,,240,60,1800,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE0J152MPD,MP,6.3,1500.00,10.0,20.0,-40,105,6000,2.34,0.22,95,1400,,,,,,180,46,1400,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE0J182MHD,MP,6.3,1800.00,12.5,15.0,-40,105,8000,2.96,0.22,113,1450,,,,,,160,49,1200,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE0J222MPD,MP,6.3,2200.00,10.0,25.0,-40,105,6000,3.07,0.24,139,1650,,,,,,170,42,1200,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
