Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/100kHz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UHV0J221MDD,EOL,6.3,220.00,5.0,11.0,-40,105,5000,0.44,0.21,14,360,,,,,,0.76,0.23,6000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV0J331MED,EOL,6.3,330.00,6.3,11.0,-40,105,5000,0.59,0.21,21,460,,,,,,0.33,0.1,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV0J471MED,EOL,6.3,470.00,6.3,11.0,-40,105,5000,0.59,0.21,30,550,,,,,,0.33,0.1,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV0J681MPD,MP,6.3,680.00,8.0,11.5,-40,105,6000,1.19,0.21,43,900,,,,,,0.181,0.059,3000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV0J821MPD,MP,6.3,820.00,8.0,11.5,-40,105,6000,1.19,0.21,52,990,,,,,,0.181,0.059,3000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV0J102MPD,MP,6.3,1000.00,10.0,12.5,-40,105,6000,1.49,0.21,63,1250,,,,,,0.133,0.043,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV0J122MPD6,MP,6.3,1200.00,8.0,15.0,-40,105,6000,1.36,0.21,76,1330,,,,,,0.143,0.046,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV0J122MPD,MP,6.3,1200.00,10.0,12.5,-40,105,6000,1.49,0.21,76,1360,,,,,,0.133,0.043,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV0J152MPD,MP,6.3,1500.00,8.0,20.0,-40,105,6000,1.66,0.21,95,1550,,,,,,0.105,0.031,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV0J182MPD,MP,6.3,1800.00,10.0,16.0,-40,105,6000,1.77,0.21,113,1815,,,,,,0.095,0.03,1800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV0J222MPD,MP,6.3,2200.00,10.0,20.0,-40,105,6000,2.34,0.23,139,2160,,,,,,0.057,0.019,1400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV0J272MPD,MP,6.3,2700.00,10.0,25.0,-40,105,6000,3.07,0.23,170,2475,,,,,,0.051,0.017,1200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV0J332MHD,MP,6.3,3300.00,12.5,20.0,-40,105,6000,3.43,0.25,208,2500,,,,,,0.041,0.016,1000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV0J392MHD,MP,6.3,3900.00,12.5,20.0,-40,105,6000,3.43,0.25,246,2725,,,,,,0.041,0.016,1000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV0J472MHD,MP,6.3,4700.00,12.5,25.0,-40,105,6000,4.56,0.27,296,3190,,,,,,0.036,0.014,800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV0J562MHD,MP,6.3,5600.00,12.5,30.5,-40,105,6000,6.01,0.29,353,3795,,,,,,0.031,0.012,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV0J682MHD,MP,6.3,6800.00,12.5,35.5,-40,105,6000,7.06,0.31,428,3925,,,,,,0.029,0.011,500,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV0J682MHD6,MP,6.3,6800.00,16.0,20.0,-40,105,6000,6.60,0.31,428,3575,,,,,,0.036,0.014,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV0J822MHD,MP,6.3,8200.00,16.0,25.0,-40,105,6000,8.20,0.35,517,3990,,,,,,0.033,0.012,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1A151MDD,EOL,10.0,150.00,5.0,11.0,-40,105,5000,0.44,0.18,15,360,,,,,,0.76,0.23,6000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1A221MED,EOL,10.0,220.00,6.3,11.0,-40,105,5000,0.59,0.18,22,450,,,,,,0.33,0.1,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1A331MED,EOL,10.0,330.00,6.3,11.0,-40,105,5000,0.59,0.18,33,550,,,,,,0.33,0.1,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1A471MPD,MP,10.0,470.00,8.0,11.5,-40,105,6000,1.19,0.18,47,820,,,,,,0.181,0.059,3000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1A681MPD,MP,10.0,680.00,8.0,11.5,-40,105,6000,1.19,0.18,68,990,,,,,,0.181,0.059,3000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1A821MPD,MP,10.0,820.00,10.0,12.5,-40,105,6000,1.49,0.18,82,1250,,,,,,0.133,0.043,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1A102MPD6,MP,10.0,1000.00,8.0,15.0,-40,105,6000,1.36,0.18,100,1330,,,,,,0.143,0.046,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1A102MPD,MP,10.0,1000.00,10.0,12.5,-40,105,6000,1.49,0.18,100,1360,,,,,,0.133,0.043,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1A122MPD,MP,10.0,1200.00,10.0,16.0,-40,105,6000,1.77,0.18,120,1650,,,,,,0.095,0.03,1800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1A152MPD6,MP,10.0,1500.00,8.0,20.0,-40,105,6000,1.66,0.18,150,1550,,,,,,0.105,0.031,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1A152MPD,MP,10.0,1500.00,10.0,16.0,-40,105,6000,1.77,0.18,150,1815,,,,,,0.095,0.03,1800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1A182MPD,MP,10.0,1800.00,10.0,20.0,-40,105,6000,2.34,0.18,180,2160,,,,,,0.057,0.019,1400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1A222MPD,MP,10.0,2200.00,10.0,25.0,-40,105,6000,3.07,0.20,220,2475,,,,,,0.051,0.017,1200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1A272MHD,MP,10.0,2700.00,12.5,20.0,-40,105,6000,3.43,0.20,270,2475,,,,,,0.041,0.016,1000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1A332MHD,MP,10.0,3300.00,12.5,20.0,-40,105,6000,3.43,0.22,330,2725,,,,,,0.041,0.016,1000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1A392MHD,MP,10.0,3900.00,12.5,25.0,-40,105,6000,4.56,0.22,390,3190,,,,,,0.036,0.014,800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1A472MHD,MP,10.0,4700.00,12.5,30.5,-40,105,6000,6.01,0.24,470,3795,,,,,,0.031,0.012,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
