Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(mΩ)（20℃/100kHz）,ESR(mΩ) (-40℃/100kHz）,ESR(mΩ) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (mΩ)(-10℃/100kHz),Impedance (mΩ)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UKT0J220MDD,EOL,6.3,22.00,5.0,11.0,-55,105,1000,0.44,0.30,4,45,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT0J330MDD,EOL,6.3,33.00,5.0,11.0,-55,105,1000,0.44,0.30,6,55,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT0J470MDD,EOL,6.3,47.00,5.0,11.0,-55,105,1000,0.44,0.30,9,65,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT0J101MDD,EOL,6.3,100.00,5.0,11.0,-55,105,1000,0.44,0.30,19,95,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT0J221MED,EOL,6.3,220.00,6.3,11.0,-55,105,1000,0.59,0.30,42,160,,,,,,,,4000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT0J331MED,EOL,6.3,330.00,6.3,11.0,-55,105,1000,0.59,0.30,62,195,,,,,,,,4000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT0J471MPD,LTB,6.3,470.00,8.0,11.5,-55,105,1000,1.19,0.30,89,270,,,,,,,,3000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT0J102MPD,LTB,6.3,1000.00,10.0,12.5,-55,105,1000,1.49,0.30,189,420,,,,,,,,2000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT0J222MPD,LTB,6.3,2200.00,10.0,20.0,-55,105,1000,2.34,0.32,416,710,,,,,,,,1400,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT0J332MHD,LTB,6.3,3300.00,12.5,20.0,-55,105,1000,3.43,0.34,624,910,,,,,,,,1000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT0J472MHD,LTB,6.3,4700.00,12.5,25.0,-55,105,1000,4.56,0.36,888,1120,,,,,,,,800,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT0J682MHD,LTB,6.3,6800.00,12.5,35.5,-55,105,1000,7.06,0.40,1285,1360,,,,,,,,500,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT0J103MHD,LTB,6.3,10000.00,12.5,40.0,-55,105,1000,7.57,0.48,1890,1650,,,,,,,,400,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT0J153MHD,LTB,6.3,15000.00,16.0,35.5,-55,105,1000,11.80,0.58,2835,2010,,,,,,,,300,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT0J223MHD,LTB,6.3,22000.00,18.0,40.0,-55,105,1000,17.70,0.72,4158,2350,,,,,,,,200,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT0J333MRD,EOL,6.3,33000.00,22.0,50.0,-55,105,1000,27.40,0.94,6237,2800,,,,,,,,250,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1A220MDD,EOL,10.0,22.00,5.0,11.0,-55,105,1000,0.44,0.26,7,45,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1A330MDD,EOL,10.0,33.00,5.0,11.0,-55,105,1000,0.44,0.26,10,58,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1A470MDD,EOL,10.0,47.00,5.0,11.0,-55,105,1000,0.44,0.26,14,68,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1A101MDD,EOL,10.0,100.00,5.0,11.0,-55,105,1000,0.44,0.26,30,105,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1A221MED,EOL,10.0,220.00,6.3,11.0,-55,105,1000,0.59,0.26,66,175,,,,,,,,4000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1A331MPD,LTB,10.0,330.00,8.0,11.5,-55,105,1000,1.19,0.26,99,240,,,,,,,,3000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1A471MPD,LTB,10.0,470.00,8.0,11.5,-55,105,1000,1.19,0.26,141,280,,,,,,,,3000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1A102MPD,LTB,10.0,1000.00,10.0,16.0,-55,105,1000,1.77,0.26,300,500,,,,,,,,1800,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1A222MHD,LTB,10.0,2200.00,12.5,20.0,-55,105,1000,3.43,0.28,660,810,,,,,,,,1000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1A332MHD,LTB,10.0,3300.00,12.5,25.0,-55,105,1000,4.56,0.30,990,1050,,,,,,,,800,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1A472MHD,LTB,10.0,4700.00,12.5,35.5,-55,105,1000,7.06,0.32,1410,1300,,,,,,,,500,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1A682MHD,LTB,10.0,6800.00,12.5,40.0,-55,105,1000,7.57,0.36,2040,1570,,,,,,,,400,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1A103MHD,LTB,10.0,10000.00,16.0,35.5,-55,105,1000,11.80,0.44,3000,1890,,,,,,,,300,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1A153MHD,LTB,10.0,15000.00,18.0,40.0,-55,105,1000,17.70,0.54,4500,2400,,,,,,,,200,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1A223MRD,EOL,10.0,22000.00,22.0,40.0,-55,105,1000,23.80,0.68,6600,2650,,,,,,,,250,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1A333MRD,EOL,10.0,33000.00,25.0,50.0,-55,105,1000,38.80,0.90,9900,2880,,,,,,,,140,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C100MDD,EOL,16.0,10.00,5.0,11.0,-55,105,1000,0.44,0.22,5,35,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C220MDD,EOL,16.0,22.00,5.0,11.0,-55,105,1000,0.44,0.22,11,54,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C330MDD,EOL,16.0,33.00,5.0,11.0,-55,105,1000,0.44,0.22,16,65,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C470MDD,EOL,16.0,47.00,5.0,11.0,-55,105,1000,0.44,0.22,23,79,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C101MDD,EOL,16.0,100.00,5.0,11.0,-55,105,1000,0.44,0.22,48,115,,,,,,,,6000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C221MED,EOL,16.0,220.00,6.3,11.0,-55,105,1000,0.59,0.22,106,190,,,,,,,,4000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C331MPD,MP,16.0,330.00,8.0,11.5,-55,105,1000,1.19,0.22,158,265,,,,,,,,3000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C471MPD,MP,16.0,470.00,8.0,11.5,-55,105,1000,1.19,0.22,226,315,,,,,,,,3000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C102MPD,MP,16.0,1000.00,10.0,16.0,-55,105,1000,1.77,0.22,480,560,,,,,,,,1800,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C222MHD,MP,16.0,2200.00,12.5,20.0,-55,105,1000,3.43,0.24,1056,920,,,,,,,,1000,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C332MHD,MP,16.0,3300.00,12.5,30.5,-55,105,1000,6.01,0.26,1584,1270,,,,,,,,600,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C472MHD,MP,16.0,4700.00,12.5,35.5,-55,105,1000,7.06,0.28,2256,1480,,,,,,,,500,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C682MHD,MP,16.0,6800.00,16.0,30.5,-55,105,1000,9.60,0.32,3264,1780,,,,,,,,300,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C103MHD,MP,16.0,10000.00,18.0,35.5,-55,105,1000,14.20,0.40,4800,2060,,,,,,,,250,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C153MRD,EOL,16.0,15000.00,20.0,40.0,-55,105,1000,19.60,0.50,7200,2430,,,,,,,,150,Radial Lead,105degC Standard,Uni-Polar,Normal
UKT1C223MRD,EOL,16.0,22000.00,22.0,50.0,-55,105,1000,27.40,0.64,10560,3000,,,,,,,,250,Radial Lead,105degC Standard,Uni-Polar,Normal
