Capacitance (μF),Voltage Rating,120Hz,300Hz,1kHz,10kHz or more 
10,6.3 to 100,0.50,0.60,0.80,1.0
15,6.3 to 100,0.52,0.62,0.81,1.0
22,6.3 to 100,0.54,0.64,0.82,1.0
33,6.3 to 100,0.57,0.66,0.84,1.0
47,6.3 to 100,0.60,0.68,0.85,1.0
68,6.3 to 100,0.63,0.70,0.87,1.0
100,6.3 to 100,0.65,0.73,0.88,1.0
150,6.3 to 100,0.68,0.75,0.90,1.0
220,6.3 to 100,0.71,0.78,0.91,1.0
330,6.3 to 100,0.74,0.81,0.93,1.0
470,6.3 to 100,0.77,0.83,0.94,1.0
680,6.3 to 100,0.80,0.86,0.96,1.0
1000,6.3 to 100,0.83,0.89,0.97,1.0
1500,6.3 to 100,0.90,0.95,0.98,1.0
2200,6.3 to 100,0.90,0.95,0.98,1.0
3300,6.3 to 100,0.90,0.95,0.98,1.0
4700,6.3 to 100,0.90,0.95,0.98,1.0
6800,6.3 to 100,0.90,0.95,0.98,1.0
10000,6.3 to 100,0.90,0.95,0.98,1.0
15000,6.3 to 100,0.90,0.95,0.98,1.0
