Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(mΩ)（20℃/100kHz）,ESR(mΩ) (-40℃/100kHz）,ESR(mΩ) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (mΩ)(-10℃/100kHz),Impedance (mΩ)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UPV0J101MFD,EOL,6.3,100.00,5.0,11.0,-55,105,5000,0.44,0.22,19,150,,,,,,,1500,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV0J121MFD,EOL,6.3,120.00,5.0,11.0,-55,105,5000,0.44,0.22,23,175,,,,,,,1100,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV0J151MGD,EOL,6.3,150.00,6.3,11.0,-55,105,5000,0.59,0.22,28,225,,,,,,,830,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV0J181MGD,EOL,6.3,180.00,6.3,11.0,-55,105,5000,0.59,0.22,34,250,,,,,,,660,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV0J221MGD,EOL,6.3,220.00,6.3,11.0,-55,105,5000,0.59,0.22,42,285,,,,,,,510,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV0J271MGD,LTB,6.3,270.00,8.0,11.5,-55,105,5000,1.19,0.22,51,370,,,,,,,410,3000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV0J331MGD,LTB,6.3,330.00,8.0,11.5,-55,105,5000,1.19,0.22,62,405,,,,,,,340,3000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV0J391MGD,LTB,6.3,390.00,8.0,11.5,-55,105,5000,1.19,0.22,74,445,,,,,,,290,3000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1A680MFD,EOL,10.0,68.00,5.0,11.0,-55,105,5000,0.44,0.19,20,155,,,,,,,1400,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1A820MFD,EOL,10.0,82.00,5.0,11.0,-55,105,5000,0.44,0.19,25,175,,,,,,,1100,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
