Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/120Hz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UPZ2D820MPD,MP,200.0,82.00,10.0,30.5,-40,105,2000,3.21,0.12,756,400,,,,,,,,1000,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2D121MND9,LTB,200.0,120.00,10.0,40.0,-40,105,2000,5.24,0.12,1060,680,,,,,,,,500,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2D151MND9,LTB,200.0,150.00,10.0,50.0,-40,105,2000,6.45,0.12,1300,830,,,,,,,,300,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2D151MHD,MP,200.0,150.00,12.5,30.5,-40,105,2000,6.01,0.12,1300,620,,,,,,,,600,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2D181MHD,MP,200.0,180.00,12.5,35.5,-40,105,2000,7.06,0.12,1540,700,,,,,,,,500,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2D221MHD,MP,200.0,220.00,12.5,40.0,-40,105,2000,7.57,0.12,1860,800,,,,,,,,400,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2D271MNY9,LTB,200.0,270.00,12.5,50.0,-40,105,2000,10.40,0.12,2260,1265,,,,,,,,400,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2D271MHD,MP,200.0,270.00,16.0,30.5,-40,105,2000,9.60,0.12,2260,870,,,,,,,,300,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2D331MHD,MP,200.0,330.00,16.0,35.5,-40,105,2000,11.80,0.12,2740,1010,,,,,,,,300,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2D331MHD6,MP,200.0,330.00,18.0,30.5,-40,105,2000,13.10,0.12,2740,1010,,,,,,,,300,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2D391MHD,MP,200.0,390.00,16.0,40.0,-40,105,2000,14.10,0.12,3220,1130,,,,,,,,300,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2D391MHD6,MP,200.0,390.00,18.0,35.5,-40,105,2000,14.20,0.12,3220,1120,,,,,,,,250,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2D471MHD,MP,200.0,470.00,18.0,40.0,-40,105,2000,17.70,0.12,3860,1270,,,,,,,,200,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2E820MND9,LTB,250.0,82.00,10.0,40.0,-40,105,2000,5.24,0.15,920,610,,,,,,,,500,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2E121MND9,LTB,250.0,120.00,10.0,50.0,-40,105,2000,6.45,0.15,1300,740,,,,,,,,300,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2E221MNY9,LTB,250.0,220.00,12.5,50.0,-40,105,2000,10.40,0.15,2300,1140,,,,,,,,400,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2G270MPD,MP,400.0,27.00,10.0,30.5,-40,105,2000,3.21,0.15,532,240,,,,,,,,1000,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2G470MND9,LTB,400.0,47.00,10.0,40.0,-40,105,2000,5.24,0.15,852,435,,,,,,,,500,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2G470MHD,MP,400.0,47.00,12.5,30.5,-40,105,2000,6.01,0.15,852,370,,,,,,,,600,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2G560MND9,LTB,400.0,56.00,10.0,50.0,-40,105,2000,6.45,0.15,996,520,,,,,,,,300,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2G560MHD,MP,400.0,56.00,12.5,35.5,-40,105,2000,7.06,0.15,996,420,,,,,,,,500,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2G680MHD,MP,400.0,68.00,12.5,40.0,-40,105,2000,7.57,0.15,1188,480,,,,,,,,400,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2G101MNY9,LTB,400.0,100.00,12.5,50.0,-40,105,2000,10.40,0.15,1700,770,,,,,,,,400,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2G101MHD,MP,400.0,100.00,16.0,30.5,-40,105,2000,9.60,0.15,1700,580,,,,,,,,300,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2G121MHD,MP,400.0,120.00,16.0,35.5,-40,105,2000,11.80,0.15,2020,670,,,,,,,,300,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2G121MHD6,MP,400.0,120.00,18.0,30.5,-40,105,2000,13.10,0.15,2020,670,,,,,,,,300,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2G151MHD,MP,400.0,150.00,16.0,40.0,-40,105,2000,14.10,0.15,2500,770,,,,,,,,300,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2G151MHD6,MP,400.0,150.00,18.0,35.5,-40,105,2000,14.20,0.15,2500,770,,,,,,,,250,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2G181MHD,MP,400.0,180.00,18.0,40.0,-40,105,2000,17.70,0.15,2980,880,,,,,,,,200,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
