Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/120Hz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
URZ0J222MHD,LTB,6.3,2200.00,12.5,15.0,-55,105,1000,2.96,0.30,416,635,,,,,,,,1200,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ0J332MHD,LTB,6.3,3300.00,16.0,15.0,-55,105,1000,4.74,0.32,624,860,,,,,,,,700,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ0J472MHD,LTB,6.3,4700.00,16.0,15.0,-55,105,1000,4.74,0.34,888,1010,,,,,,,,700,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ0J682MHD,LTB,6.3,6800.00,18.0,15.0,-55,105,1000,6.31,0.38,1285,1200,,,,,,,,400,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ0J103MHD,LTB,6.3,10000.00,18.0,20.0,-55,105,1000,9.00,0.46,1890,1450,,,,,,,,400,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ1A102MPD,LTB,10.0,1000.00,10.0,12.5,-55,105,1000,1.49,0.24,300,450,,,,,,,,2000,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ1A222MHD,LTB,10.0,2200.00,12.5,15.0,-55,105,1000,2.96,0.26,660,690,,,,,,,,1200,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ1A332MHD,LTB,10.0,3300.00,16.0,15.0,-55,105,1000,4.74,0.28,990,940,,,,,,,,700,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ1A472MHD,LTB,10.0,4700.00,18.0,15.0,-55,105,1000,6.31,0.30,1410,1120,,,,,,,,400,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ1A682MHD,LTB,10.0,6800.00,18.0,20.0,-55,105,1000,9.00,0.34,2040,1330,,,,,,,,400,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ1A103MHD,LTB,10.0,10000.00,18.0,25.0,-55,105,1000,10.60,0.42,3000,1700,,,,,,,,300,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ1C102MHD,MP,16.0,1000.00,12.5,12.5,-55,105,1000,2.80,0.20,480,520,,,,,,,,1500,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ1C222MHD,MP,16.0,2200.00,16.0,15.0,-55,105,1000,4.74,0.22,1056,830,,,,,,,,700,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ1C332MHD,MP,16.0,3300.00,18.0,15.0,-55,105,1000,6.31,0.24,1584,1050,,,,,,,,400,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ1C472MHD,MP,16.0,4700.00,18.0,20.0,-55,105,1000,9.00,0.26,2256,1260,,,,,,,,400,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ1C682MHD,MP,16.0,6800.00,18.0,25.0,-55,105,1000,10.60,0.30,3264,1560,,,,,,,,300,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ1E471MPD,MP,25.0,470.00,10.0,12.5,-55,105,1000,1.49,0.16,353,370,,,,,,,,2000,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
URZ1E102MHD,MP,25.0,1000.00,12.5,15.0,-55,105,1000,2.96,0.16,750,590,,,,,,,,1200,Radial Lead,Lo-Profile Wide Temp. Range,Uni-Polar,Normal
