Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(mΩ)（20℃/100kHz）,ESR(mΩ) (-40℃/100kHz）,ESR(mΩ) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (mΩ)(-10℃/100kHz),Impedance (mΩ)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UVY0J102MPD,MP,6.3,1000.00,8.0,11.5,-55,105,1000,1.19,0.28,189,390,,,,,,,,3000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY0J222MPD,MP,6.3,2200.00,10.0,16.0,-55,105,2000,1.77,0.30,416,635,,,,,,,,1800,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY0J332MPD,MP,6.3,3300.00,10.0,20.0,-55,105,2000,2.34,0.32,624,840,,,,,,,,1400,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY0J472MHD,MP,6.3,4700.00,12.5,20.0,-55,105,2000,3.43,0.34,888,1090,,,,,,,,1000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY0J682MHD,MP,6.3,6800.00,12.5,25.0,-55,105,2000,4.56,0.38,1285,1350,,,,,,,,800,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY0J103MHD,MP,6.3,10000.00,16.0,25.0,-55,105,2000,8.20,0.46,1890,1650,,,,,,,,400,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY0J153MHD,MP,6.3,15000.00,16.0,30.5,-55,105,2000,9.60,0.56,2835,1820,,,,,,,,300,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY0J223MHD,MP,6.3,22000.00,18.0,35.5,-55,105,2000,14.20,0.70,4158,2280,,,,,,,,250,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY0J333MRD,EOL,6.3,33000.00,20.0,40.0,-55,105,2000,19.60,0.92,6237,2500,,,,,,,,150,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1A221MDD,EOL,10.0,220.00,5.0,11.0,-55,105,1000,0.44,0.24,66,155,,,,,,,,6000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1A331MED,EOL,10.0,330.00,6.3,11.0,-55,105,1000,0.59,0.24,99,210,,,,,,,,4000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1A471MED,EOL,10.0,470.00,6.3,11.0,-55,105,1000,0.59,0.24,141,250,,,,,,,,4000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1A102MPD,MP,10.0,1000.00,10.0,12.5,-55,105,2000,1.49,0.24,300,460,,,,,,,,2000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1A222MPD,MP,10.0,2200.00,10.0,16.0,-55,105,2000,1.77,0.26,660,705,,,,,,,,1800,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1A332MHD,MP,10.0,3300.00,12.5,20.0,-55,105,2000,3.43,0.28,990,1000,,,,,,,,1000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1A472MHD,MP,10.0,4700.00,12.5,25.0,-55,105,2000,4.56,0.30,1410,1260,,,,,,,,800,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
