Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/120Hz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UVZ0J220MDD,EOL,6.3,22.00,5.0,11.0,-55,105,1000,0.44,0.28,4,45,,,,,,,,6000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ0J330MDD,EOL,6.3,33.00,5.0,11.0,-55,105,1000,0.44,0.28,6,55,,,,,,,,6000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ0J470MDD,EOL,6.3,47.00,5.0,11.0,-55,105,1000,0.44,0.28,9,65,,,,,,,,6000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ0J101MDD,EOL,6.3,100.00,5.0,11.0,-55,105,1000,0.44,0.28,19,95,,,,,,,,6000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ0J221MDD,EOL,6.3,220.00,5.0,11.0,-55,105,1000,0.44,0.28,42,145,,,,,,,,6000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ0J331MED,EOL,6.3,330.00,6.3,11.0,-55,105,1000,0.59,0.28,62,195,,,,,,,,4000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ0J471MED,EOL,6.3,470.00,6.3,11.0,-55,105,1000,0.59,0.28,89,230,,,,,,,,4000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ0J102MPD,MP,6.3,1000.00,8.0,11.5,-55,105,1000,1.19,0.28,189,390,,,,,,,,3000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ0J222MPD,MP,6.3,2200.00,10.0,20.0,-55,105,2000,2.34,0.30,416,710,,,,,,,,1400,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ0J332MPD,MP,6.3,3300.00,10.0,20.0,-55,105,2000,2.34,0.32,624,840,,,,,,,,1400,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ0J472MHD,MP,6.3,4700.00,12.5,20.0,-55,105,2000,3.43,0.34,888,1090,,,,,,,,1000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ0J682MHD,MP,6.3,6800.00,12.5,25.0,-55,105,2000,4.56,0.38,1285,1350,,,,,,,,800,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ0J103MHD,MP,6.3,10000.00,16.0,25.0,-55,105,2000,8.20,0.46,1890,1650,,,,,,,,400,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ0J153MHD,MP,6.3,15000.00,16.0,35.5,-55,105,2000,11.80,0.56,2835,2010,,,,,,,,300,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ0J223MHD,MP,6.3,22000.00,18.0,40.0,-55,105,2000,17.70,0.70,4158,2350,,,,,,,,200,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ0J333MRD,EOL,6.3,33000.00,22.0,50.0,-55,105,2000,27.40,0.92,6237,2800,,,,,,,,250,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1A220MDD,EOL,10.0,22.00,5.0,11.0,-55,105,1000,0.44,0.24,7,45,,,,,,,,6000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1A330MDD,EOL,10.0,33.00,5.0,11.0,-55,105,1000,0.44,0.24,10,58,,,,,,,,6000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1A470MDD,EOL,10.0,47.00,5.0,11.0,-55,105,1000,0.44,0.24,14,68,,,,,,,,6000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1A101MDD,EOL,10.0,100.00,5.0,11.0,-55,105,1000,0.44,0.24,30,105,,,,,,,,6000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1A221MED,EOL,10.0,220.00,6.3,11.0,-55,105,1000,0.59,0.24,66,175,,,,,,,,4000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1A331MED,EOL,10.0,330.00,6.3,11.0,-55,105,1000,0.59,0.24,99,210,,,,,,,,4000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1A471MED,EOL,10.0,470.00,6.3,11.0,-55,105,1000,0.59,0.24,141,250,,,,,,,,4000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1A102MPD,MP,10.0,1000.00,10.0,12.5,-55,105,2000,1.49,0.24,300,460,,,,,,,,2000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1A222MPD,MP,10.0,2200.00,10.0,20.0,-55,105,2000,2.34,0.26,660,760,,,,,,,,1400,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1A332MHD,MP,10.0,3300.00,12.5,20.0,-55,105,2000,3.43,0.28,990,1000,,,,,,,,1000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1A472MHD,MP,10.0,4700.00,12.5,25.0,-55,105,2000,4.56,0.30,1410,1260,,,,,,,,800,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1A682MHD,MP,10.0,6800.00,16.0,25.0,-55,105,2000,8.20,0.34,2040,1570,,,,,,,,400,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1A103MHD,MP,10.0,10000.00,16.0,35.5,-55,105,2000,11.80,0.42,3000,1890,,,,,,,,300,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1A153MHD,MP,10.0,15000.00,18.0,35.5,-55,105,2000,14.20,0.52,4500,2180,,,,,,,,250,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1A223MRD,EOL,10.0,22000.00,20.0,40.0,-55,105,2000,19.60,0.66,6600,2650,,,,,,,,150,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1A333MRD,EOL,10.0,33000.00,22.0,50.0,-55,105,2000,27.40,0.88,9900,3250,,,,,,,,250,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1C100MDD,EOL,16.0,10.00,5.0,11.0,-55,105,1000,0.44,0.20,5,35,,,,,,,,6000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1C220MDD,EOL,16.0,22.00,5.0,11.0,-55,105,1000,0.44,0.20,11,54,,,,,,,,6000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1C330MDD,EOL,16.0,33.00,5.0,11.0,-55,105,1000,0.44,0.20,16,65,,,,,,,,6000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
