Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/120Hz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UCY2C330MPD,MP,160.0,33.00,10.0,16.0,-40,105,10000,1.77,0.20,311,260,,,,,,,,1800,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C390MPD,MP,160.0,39.00,10.0,16.0,-40,105,10000,1.77,0.20,350,295,,,,,,,,1800,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C470MPD,MP,160.0,47.00,10.0,20.0,-40,105,10000,2.34,0.20,401,375,,,,,,,,1400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C560MPD,MP,160.0,56.00,10.0,20.0,-40,105,10000,2.34,0.20,458,380,,,,,,,,1400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C680MPD,MP,160.0,68.00,10.0,25.0,-40,105,12000,3.07,0.20,535,455,,,,,,,,1200,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C680MHD3,MP,160.0,68.00,12.5,20.0,-40,105,10000,3.43,0.20,535,590,,,,,,,,1000,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C820MPD9,MP,160.0,82.00,10.0,25.0,-40,105,12000,3.07,0.20,625,455,,,,,,,,1200,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C820MPD,MP,160.0,82.00,10.0,30.5,-40,105,12000,3.21,0.20,625,534,,,,,,,,1000,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C820MHD3,MP,160.0,82.00,12.5,20.0,-40,105,10000,3.43,0.20,625,640,,,,,,,,1000,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C101MHD,MP,160.0,100.00,12.5,20.0,-40,105,10000,3.43,0.20,740,645,,,,,,,,1000,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C121MHD,MP,160.0,120.00,12.5,25.0,-40,105,12000,4.56,0.20,868,760,,,,,,,,800,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C151MHD9,MP,160.0,150.00,12.5,25.0,-40,105,12000,4.56,0.20,1060,760,,,,,,,,800,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C151MHD,MP,160.0,150.00,12.5,30.5,-40,105,12000,6.01,0.20,1060,905,,,,,,,,600,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C151MHD3,MP,160.0,150.00,16.0,20.0,-40,105,10000,6.60,0.20,1060,945,,,,,,,,600,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C181MHD9,MP,160.0,180.00,12.5,30.5,-40,105,12000,6.01,0.20,1252,905,,,,,,,,600,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C181MHD6,MP,160.0,180.00,12.5,35.5,-40,105,12000,7.06,0.20,1252,1050,,,,,,,,500,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C181MHD,MP,160.0,180.00,16.0,20.0,-40,105,10000,6.60,0.20,1252,1000,,,,,,,,600,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C221MHD9,MP,160.0,220.00,12.5,35.5,-40,105,12000,7.06,0.20,1508,1050,,,,,,,,500,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C221MHD,MP,160.0,220.00,12.5,40.0,-40,105,12000,7.57,0.20,1508,1200,,,,,,,,400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C221MHD3,MP,160.0,220.00,16.0,25.0,-40,105,12000,8.20,0.20,1508,1185,,,,,,,,400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C221MHD6,MP,160.0,220.00,18.0,20.0,-40,105,10000,9.00,0.20,1508,1105,,,,,,,,400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C271MHD6,MP,160.0,270.00,12.5,40.0,-40,105,12000,7.57,0.20,1828,1300,,,,,,,,400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C271MHD,MP,160.0,270.00,18.0,25.0,-40,105,12000,10.60,0.20,1828,1235,,,,,,,,300,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C331MHD,MP,160.0,330.00,16.0,30.5,-40,105,12000,9.60,0.20,2212,1510,,,,,,,,300,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C331MHD6,MP,160.0,330.00,18.0,25.0,-40,105,12000,10.60,0.20,2212,1445,,,,,,,,300,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C391MHD9,MP,160.0,390.00,16.0,35.5,-40,105,12000,11.80,0.20,2596,1510,,,,,,,,300,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C391MHD,MP,160.0,390.00,16.0,40.0,-40,105,12000,14.10,0.20,2596,1730,,,,,,,,300,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C391MHD6,MP,160.0,390.00,18.0,30.5,-40,105,12000,13.10,0.20,2596,1695,,,,,,,,300,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C471MHD6,MP,160.0,470.00,16.0,40.0,-40,105,12000,14.10,0.20,3108,1730,,,,,,,,300,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C471MHD,MP,160.0,470.00,18.0,35.5,-40,105,12000,14.20,0.20,3108,1920,,,,,,,,250,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C561MHD,MP,160.0,560.00,18.0,40.0,-40,105,12000,17.70,0.20,3684,2130,,,,,,,,200,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2C681MHD,MP,160.0,680.00,18.0,46.0,-40,105,12000,20.90,0.20,4452,2300,,,,,,,,200,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D220MPD,MP,200.0,22.00,10.0,16.0,-40,105,10000,1.77,0.20,276,225,,,,,,,,1800,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D270MPD,MP,200.0,27.00,10.0,16.0,-40,105,10000,1.77,0.20,316,235,,,,,,,,1800,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D330MPD,MP,200.0,33.00,10.0,20.0,-40,105,10000,2.34,0.20,364,305,,,,,,,,1400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D390MPD,MP,200.0,39.00,10.0,20.0,-40,105,10000,2.34,0.20,412,325,,,,,,,,1400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D470MPD,MP,200.0,47.00,10.0,20.0,-40,105,10000,2.34,0.20,476,360,,,,,,,,1400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D470MHD3,MP,200.0,47.00,12.5,20.0,-40,105,10000,3.43,0.20,476,490,,,,,,,,1000,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D560MPD,MP,200.0,56.00,10.0,25.0,-40,105,12000,3.07,0.20,548,415,,,,,,,,1200,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D680MPD,MP,200.0,68.00,10.0,30.5,-40,105,12000,3.21,0.20,644,485,,,,,,,,1000,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D680MHD3,MP,200.0,68.00,12.5,20.0,-40,105,10000,3.43,0.20,644,650,,,,,,,,1000,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D820MHD9,MP,200.0,82.00,12.5,20.0,-40,105,10000,3.43,0.20,756,645,,,,,,,,1000,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D820MHD,MP,200.0,82.00,12.5,25.0,-40,105,12000,4.56,0.20,756,645,,,,,,,,800,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D820MHD3,MP,200.0,82.00,16.0,20.0,-40,105,10000,6.60,0.20,756,690,,,,,,,,600,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D101MHD,MP,200.0,100.00,12.5,25.0,-40,105,12000,4.56,0.20,900,695,,,,,,,,800,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D101MHD3,MP,200.0,100.00,16.0,20.0,-40,105,10000,6.60,0.20,900,710,,,,,,,,600,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D121MHD6,MP,200.0,120.00,12.5,30.5,-40,105,12000,6.01,0.20,1060,810,,,,,,,,600,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D121MHD,MP,200.0,120.00,16.0,20.0,-40,105,10000,6.60,0.20,1060,775,,,,,,,,600,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D151MHD,MP,200.0,150.00,12.5,35.5,-40,105,12000,7.06,0.20,1300,965,,,,,,,,500,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D151MHD3,MP,200.0,150.00,16.0,25.0,-40,105,12000,8.20,0.20,1300,945,,,,,,,,400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D151MHD6,MP,200.0,150.00,18.0,20.0,-40,105,10000,9.00,0.20,1300,910,,,,,,,,400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D181MHD,MP,200.0,180.00,12.5,40.0,-40,105,12000,7.57,0.20,1540,1090,,,,,,,,400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D181MHD6,MP,200.0,180.00,16.0,25.0,-40,105,12000,8.20,0.20,1540,1035,,,,,,,,400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D181MHD3,MP,200.0,180.00,18.0,20.0,-40,105,10000,9.00,0.20,1540,910,,,,,,,,400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D221MHD6,MP,200.0,220.00,12.5,40.0,-40,105,12000,7.57,0.20,1860,1090,,,,,,,,400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D221MHD,MP,200.0,220.00,16.0,30.5,-40,105,12000,9.60,0.20,1860,1230,,,,,,,,300,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D221MHD3,MP,200.0,220.00,18.0,25.0,-40,105,12000,10.60,0.20,1860,1185,,,,,,,,300,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D271MHD,MP,200.0,270.00,16.0,35.5,-40,105,12000,11.80,0.20,2260,1400,,,,,,,,300,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D271MHD6,MP,200.0,270.00,18.0,30.5,-40,105,12000,13.10,0.20,2260,1410,,,,,,,,300,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D331MHD,MP,200.0,330.00,16.0,40.0,-40,105,12000,14.10,0.20,2740,1595,,,,,,,,300,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D331MHD6,MP,200.0,330.00,18.0,30.5,-40,105,12000,13.10,0.20,2740,1560,,,,,,,,300,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D391MHD9,MP,200.0,390.00,18.0,35.5,-40,105,12000,14.20,0.20,3220,1690,,,,,,,,250,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D391MHD,MP,200.0,390.00,18.0,40.0,-40,105,12000,17.70,0.20,3220,1780,,,,,,,,200,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D471MHD,MP,200.0,470.00,18.0,40.0,-40,105,12000,17.70,0.20,3860,1850,,,,,,,,200,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2D471MHD6,MP,200.0,470.00,18.0,46.0,-40,105,12000,20.90,0.20,3860,1900,,,,,,,,200,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2E220MPD,MP,250.0,22.00,10.0,16.0,-40,105,10000,1.77,0.20,320,225,,,,,,,,1800,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2E270MPD,MP,250.0,27.00,10.0,20.0,-40,105,10000,2.34,0.20,370,255,,,,,,,,1400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2E330MPD,MP,250.0,33.00,10.0,20.0,-40,105,10000,2.34,0.20,430,305,,,,,,,,1400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2E330MHD3,MP,250.0,33.00,12.5,20.0,-40,105,10000,3.43,0.20,430,400,,,,,,,,1000,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2E390MPD,MP,250.0,39.00,10.0,25.0,-40,105,12000,3.07,0.20,490,345,,,,,,,,1200,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2E470MPD9,MP,250.0,47.00,10.0,25.0,-40,105,12000,3.07,0.20,570,345,,,,,,,,1200,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2E470MPD,MP,250.0,47.00,10.0,30.5,-40,105,12000,3.21,0.20,570,405,,,,,,,,1000,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2E470MHD3,MP,250.0,47.00,12.5,20.0,-40,105,10000,3.43,0.20,570,490,,,,,,,,1000,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2E560MHD,MP,250.0,56.00,12.5,20.0,-40,105,10000,3.43,0.20,660,515,,,,,,,,1000,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2E680MHD,MP,250.0,68.00,12.5,25.0,-40,105,12000,4.56,0.20,780,615,,,,,,,,800,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2E680MHD3,MP,250.0,68.00,16.0,20.0,-40,105,10000,6.60,0.20,780,650,,,,,,,,600,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2E820MHD9,MP,250.0,82.00,12.5,25.0,-40,105,12000,4.56,0.20,920,615,,,,,,,,800,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2E820MHD,MP,250.0,82.00,12.5,30.5,-40,105,12000,6.01,0.20,920,715,,,,,,,,600,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2E820MHD3,MP,250.0,82.00,16.0,20.0,-40,105,10000,6.60,0.20,920,690,,,,,,,,600,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2E101MHD6,MP,250.0,100.00,12.5,35.5,-40,105,12000,7.06,0.20,1100,785,,,,,,,,500,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2E101MHD,MP,250.0,100.00,16.0,20.0,-40,105,10000,6.60,0.20,1100,715,,,,,,,,600,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2E121MHD9,MP,250.0,120.00,12.5,35.5,-40,105,12000,7.06,0.20,1300,785,,,,,,,,500,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2E121MHD3,MP,250.0,120.00,12.5,40.0,-40,105,12000,7.57,0.20,1300,890,,,,,,,,400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2E121MHD,MP,250.0,120.00,16.0,25.0,-40,105,12000,8.20,0.20,1300,845,,,,,,,,400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
