Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/100kHz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UPA0J561MPD,MP,6.3,560.00,8.0,11.5,-55,105,3000,1.19,0.22,106,630,,,,,,0.18,0.09,3000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA0J681MPD,MP,6.3,680.00,8.0,11.5,-55,105,3000,1.19,0.22,129,630,,,,,,0.18,0.09,3000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA0J102MPD,MP,6.3,1000.00,8.0,15.0,-55,105,3000,1.36,0.22,189,860,,,,,,0.124,0.062,2000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA0J102MPD6,MP,6.3,1000.00,10.0,12.5,-55,105,4000,1.49,0.22,189,900,,,,,,0.126,0.063,2000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA0J122MPD,MP,6.3,1200.00,10.0,12.5,-55,105,4000,1.49,0.22,227,900,,,,,,0.126,0.063,2000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA0J122MPD3,MP,6.3,1200.00,10.0,16.0,-55,105,4000,1.77,0.22,227,1240,,,,,,0.098,0.049,1800,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA0J152MPD,MP,6.3,1500.00,8.0,20.0,-55,105,3000,1.66,0.22,284,1220,,,,,,0.088,0.044,2000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA0J152MPD6,MP,6.3,1500.00,10.0,16.0,-55,105,4000,1.77,0.22,284,1240,,,,,,0.098,0.049,1800,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA0J152MPD3,MP,6.3,1500.00,10.0,20.0,-55,105,4000,2.34,0.22,284,1490,,,,,,0.07,0.035,1400,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA0J222MPD,MP,6.3,2200.00,10.0,20.0,-55,105,4000,2.34,0.24,416,1490,,,,,,0.07,0.035,1400,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA0J222MPD3,MP,6.3,2200.00,10.0,25.0,-55,105,4000,3.07,0.24,416,1680,,,,,,0.066,0.033,1200,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA0J272MPD,MP,6.3,2700.00,10.0,25.0,-55,105,4000,3.07,0.24,510,1680,,,,,,0.066,0.033,1200,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA0J332MHD,MP,6.3,3300.00,12.5,20.0,-55,105,5000,3.43,0.26,624,1890,,,,,,0.058,0.029,1000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA0J392MHD,MP,6.3,3900.00,12.5,25.0,-55,105,5000,4.56,0.26,737,2280,,,,,,0.044,0.022,800,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA0J472MHD,MP,6.3,4700.00,12.5,25.0,-55,105,5000,4.56,0.28,888,2280,,,,,,0.044,0.022,800,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA0J562MHD,MP,6.3,5600.00,12.5,30.5,-55,105,5000,6.01,0.30,1058,2720,,,,,,0.036,0.018,600,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA0J562MHD6,MP,6.3,5600.00,16.0,20.0,-55,105,5000,6.60,0.30,1058,2330,,,,,,0.052,0.026,600,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
