Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/100kHz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UPV0J101MFD,EOL,6.3,100.00,5.0,11.0,-55,105,5000,0.44,0.22,19,150,,,,,,,1.5,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV0J121MFD,EOL,6.3,120.00,5.0,11.0,-55,105,5000,0.44,0.22,23,175,,,,,,,1.1,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV0J151MGD,EOL,6.3,150.00,6.3,11.0,-55,105,5000,0.59,0.22,28,225,,,,,,,0.83,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV0J181MGD,EOL,6.3,180.00,6.3,11.0,-55,105,5000,0.59,0.22,34,250,,,,,,,0.66,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV0J221MGD,EOL,6.3,220.00,6.3,11.0,-55,105,5000,0.59,0.22,42,285,,,,,,,0.51,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV0J271MGD,LTB,6.3,270.00,8.0,11.5,-55,105,5000,1.19,0.22,51,370,,,,,,,0.41,3000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV0J331MGD,LTB,6.3,330.00,8.0,11.5,-55,105,5000,1.19,0.22,62,405,,,,,,,0.34,3000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV0J391MGD,LTB,6.3,390.00,8.0,11.5,-55,105,5000,1.19,0.22,74,445,,,,,,,0.29,3000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1A680MFD,EOL,10.0,68.00,5.0,11.0,-55,105,5000,0.44,0.19,20,155,,,,,,,1.4,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1A820MFD,EOL,10.0,82.00,5.0,11.0,-55,105,5000,0.44,0.19,25,175,,,,,,,1.1,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1A101MGD,EOL,10.0,100.00,6.3,11.0,-55,105,5000,0.59,0.19,30,210,,,,,,,0.94,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1A121MGD,EOL,10.0,120.00,6.3,11.0,-55,105,5000,0.59,0.19,36,235,,,,,,,0.75,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1A151MGD,EOL,10.0,150.00,6.3,11.0,-55,105,5000,0.59,0.19,45,265,,,,,,,0.6,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1A181MGD,EOL,10.0,180.00,6.3,11.0,-55,105,5000,0.59,0.19,54,290,,,,,,,0.49,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1A221MGD,LTB,10.0,220.00,8.0,11.5,-55,105,5000,1.19,0.19,66,370,,,,,,,0.41,3000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1A271MGD,LTB,10.0,270.00,8.0,11.5,-55,105,5000,1.19,0.19,81,405,,,,,,,0.34,3000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1A331MGD,LTB,10.0,330.00,8.0,11.5,-55,105,5000,1.19,0.19,99,460,,,,,,,0.27,3000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1C470MFD,EOL,16.0,47.00,5.0,11.0,-55,105,5000,0.44,0.16,23,155,,,,,,,1.4,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1C560MFD,EOL,16.0,56.00,5.0,11.0,-55,105,5000,0.44,0.16,27,175,,,,,,,1.1,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1C680MGD,EOL,16.0,68.00,6.3,11.0,-55,105,5000,0.59,0.16,33,220,,,,,,,0.85,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1C820MGD,EOL,16.0,82.00,6.3,11.0,-55,105,5000,0.59,0.16,39,240,,,,,,,0.71,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1C101MGD,EOL,16.0,100.00,6.3,11.0,-55,105,5000,0.59,0.16,48,265,,,,,,,0.6,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1C121MGD,EOL,16.0,120.00,6.3,11.0,-55,105,5000,0.59,0.16,58,290,,,,,,,0.49,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1C151MGD,MP,16.0,150.00,8.0,11.5,-55,105,5000,1.19,0.16,72,375,,,,,,,0.39,3000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1C181MGD,MP,16.0,180.00,8.0,11.5,-55,105,5000,1.19,0.16,86,405,,,,,,,0.34,3000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1C221MGD,MP,16.0,220.00,8.0,11.5,-55,105,5000,1.19,0.16,106,460,,,,,,,0.27,3000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1E330MFD,EOL,25.0,33.00,5.0,11.0,-55,105,5000,0.44,0.14,25,155,,,,,,,1.4,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1E390MFD,EOL,25.0,39.00,5.0,11.0,-55,105,5000,0.44,0.14,29,175,,,,,,,1.1,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1E470MGD,EOL,25.0,47.00,6.3,11.0,-55,105,5000,0.59,0.14,35,210,,,,,,,0.94,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1E560MGD,EOL,25.0,56.00,6.3,11.0,-55,105,5000,0.59,0.14,42,235,,,,,,,0.75,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1E680MGD,EOL,25.0,68.00,6.3,11.0,-55,105,5000,0.59,0.14,51,260,,,,,,,0.61,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
