Rated voltage (V),Capacitance (μF),Case size øD (mm),Case size L (mm),Ripple current (mA rms) 105°C@120Hz,tan δ,Endurance (h),Lead dia. (ød),Lead space Straight,Lead space Taping ✽B,Lead space Taping ✽H,Part No.,Straight leads,Taping
10,100,5.0,11.0,66,0.3,5000,0.5,2.0,5.0,2.5,EEUEB1A101S(),200,2000
10,220,6.3,11.2,100,0.3,5000,0.5,2.5,5.0,2.5,EEUEB1A221S(),200,2000
10,470,8.0,15.0,278,0.3,10000,0.6,3.5,5.0,—,EEUEB1A471(),200,1000
10,470,8.0,11.5,180,0.3,5000,0.6,3.5,5.0,—,EEUEB1A471S(),200,1000
10,2200,12.5,20.0,540,0.32,10000,0.6,5.0,5.0,—,EEUEB1A222(),200,500
10,3300,12.5,25.0,802,0.34,10000,0.6,5.0,5.0,—,EEUEB1A332(),200,500
16,1000,10.0,20.0,430,0.25,10000,0.6,5.0,5.0,—,EEUEB1C102(),200,500
16,2200,12.5,25.0,706,0.27,10000,0.6,5.0,5.0,—,EEUEB1C222(),200,500
25,47,5.0,11.0,55,0.22,5000,0.5,2.0,5.0,2.5,EEUEB1E470S(),200,2000
25,100,6.3,11.2,95,0.22,5000,0.5,2.5,5.0,2.5,EEUEB1E101S(),200,2000
25,220,8.0,11.5,125,0.22,5000,0.6,3.5,5.0,—,EEUEB1E221S(),200,1000
25,330.0,8.0,15.0,255.0,0.22,10000,0.6,3.5,5.0,—,EEUEB1E331(),200,1000
25,470.0,10.0,16.0,321.0,0.22,10000,0.6,5.0,5.0,—,EEUEB1E471(),200,500
25,1000.0,12.5,20.0,498.0,0.22,10000,0.6,5.0,5.0,—,EEUEB1E102(),200,500
35,33.0,5.0,11.0,46.0,0.18,5000,0.5,2.0,5.0,2.5,EEUEB1V330S(),200,2000
35,220.0,8.0,15.0,197.0,0.18,10000,0.6,3.5,5.0,—,EEUEB1V221(),200,1000
35,330.0,10.0,16.0,278.0,0.18,10000,0.6,5.0,5.0,—,EEUEB1V331(),200,500
35,470.0,10.0,20.0,349.0,0.18,10000,0.6,5.0,5.0,—,EEUEB1V471(),200,500
35,1000.0,12.5,25.0,586.0,0.18,10000,0.6,5.0,5.0,—,EEUEB1V102(),200,500
50,2.2,5.0,11.0,15.0,0.15,5000,0.5,2.0,5.0,2.5,EEUEB1H2R2S(),200,2000
50,3.3,5.0,11.0,18.0,0.15,5000,0.5,2.0,5.0,2.5,EEUEB1H3R3S(),200,2000
50,4.7,5.0,11.0,18.0,0.15,5000,0.5,2.0,5.0,2.5,EEUEB1H4R7S(),200,2000
50,10.0,5.0,11.0,27.0,0.15,5000,0.5,2.0,5.0,2.5,EEUEB1H100S(),200,2000
50,22.0,5.0,11.0,39.0,0.15,5000,0.5,2.0,5.0,2.5,EEUEB1H220S(),200,2000
50,47.0,6.3,11.2,61.0,0.15,5000,0.5,2.5,5.0,2.5,EEUEB1H470S(),200,2000
50,100.0,8.0,11.5,99.0,0.15,5000,0.6,3.5,5.0,—,EEUEB1H101S(),200,1000
50,220.0,10.0,16.0,234.0,0.15,10000,0.6,5.0,5.0,—,EEUEB1H221(),200,500
50,330.0,10.0,20.0,293.0,0.15,10000,0.6,5.0,5.0,—,EEUEB1H331(),200,500
50,470.0,12.5,20.0,370.0,0.15,10000,0.6,5.0,5.0,—,EEUEB1H471(),200,500
63,2.2,5.0,11.0,16.5,0.12,5000,0.5,2.0,5.0,2.5,EEUEB1J2R2S(),200,2000
63,3.3,5.0,11.0,20.0,0.12,5000,0.5,2.0,5.0,2.5,EEUEB1J3R3S(),200,2000
63,4.7,5.0,11.0,23.0,0.12,5000,0.5,2.0,5.0,2.5,EEUEB1J4R7S(),200,2000
63,10.0,5.0,11.0,30.0,0.12,5000,0.5,2.0,5.0,2.5,EEUEB1J100S(),200,2000
63,22.0,6.3,11.2,40.0,0.12,5000,0.5,2.5,5.0,2.5,EEUEB1J220S(),200,2000
63,33.0,6.3,11.2,50.0,0.12,5000,0.5,2.5,5.0,2.5,EEUEB1J330S(),200,2000
63,47.0,8.0,15.0,94.0,0.12,10000,0.6,3.5,5.0,—,EEUEB1J470(),200,1000
63,47.0,8.0,11.5,80.0,0.12,5000,0.6,3.5,5.0,—,EEUEB1J470S(),200,1000
63,100.0,8.0,15.0,180.0,0.12,10000,0.6,3.5,5.0,—,EEUEB1J101(),200,1000
63,220.0,10.0,20.0,292.0,0.12,10000,0.6,5.0,5.0,—,EEUEB1J221(),200,500
