Rated voltage (V),Capacitance (μF),Case size (øD×L),Ripple current (mA rms) (105℃),tan δ,Endurance (h),Lead dia (ød),Lead space Straight,Lead space Taping,Part No.,Min Packaging Qty Straight leads,Min Packaging Qty Taping
160,22,10.0×20.0,700,0.15,8000,0.6,5.0,5.0,EEUEE2C220( ),200,500
160,33,10.0×20.0,810,0.15,8000,0.6,5.0,5.0,EEUEE2C330( ),200,500
160,47,10.0×20.0,1065,0.15,8000,0.6,5.0,5.0,EEUEE2C470( ),200,500
160,68,12.5×20.0,1350,0.15,10000,0.6,5.0,5.0,EEUEE2C680( ),200,500
160,82,12.5×25.0,1480,0.15,10000,0.6,5.0,5.0,EEUEE2C820( ),200,500
160,100,12.5×25.0,1660,0.15,10000,0.6,5.0,5.0,EEUEE2C101( ),200,500
160,100,16.0×20.0,1700,0.15,10000,0.8,7.5,7.5,EEUEE2C101S( ),100,250
160,150,16.0×25.0,1890,0.15,10000,0.8,7.5,7.5,EEUEE2C151( ),100,250
160,150,18.0×20.0,1820,0.15,10000,0.8,7.5,7.5,EEUEE2C151S( ),100,250
160,220,16.0×31.5,2280,0.15,10000,0.8,7.5,—,EEUEE2C221,100,—
160,220,18.0×25.0,1950,0.15,10000,0.8,7.5,7.5,EEUEE2C221S( ),100,250
160,330,18.0×31.5,2600,0.15,10000,0.8,7.5,—,EEUEE2C331,50,—
200,22,10.0×20.0,850,0.15,8000,0.6,5.0,5.0,EEUEE2D220( ),200,500
200,33,10.0×20.0,920,0.15,8000,0.6,5.0,5.0,EEUEE2D330( ),200,500
200,47,12.5×20.0,1100,0.15,10000,0.6,5.0,5.0,EEUEE2D470( ),200,500
200,68,12.5×25.0,1330,0.15,10000,0.6,5.0,5.0,EEUEE2D680( ),200,500
200,82,16.0×20.0,1460,0.15,10000,0.8,7.5,7.5,EEUEE2D820S( ),100,250
200,100,16.0×25.0,1730,0.15,10000,0.8,7.5,7.5,EEUEE2D101( ),100,250
200,150,16.0×25.0,1860,0.15,10000,0.8,7.5,7.5,EEUEE2D151( ),100,250
200,220,18.0×31.5,2600,0.15,10000,0.8,7.5,—,EEUEE2D221,50,—
200,330,18.0×40.0,3120,0.15,10000,0.8,7.5,—,EEUEE2D331,50,—
250,22,10.0×20.0,785,0.15,8000,0.6,5.0,5.0,EEUEE2E220( ),200,500
250,33,12.5×20.0,995,0.15,10000,0.6,5.0,5.0,EEUEE2E330( ),200,500
250,47,12.5×25.0,1290,0.15,10000,0.6,5.0,5.0,EEUEE2E470( ),200,500
250,68,16.0×20.0,1400,0.15,10000,0.8,7.5,7.5,EEUEE2E680S( ),100,250
250,82,16.0×25.0,1680,0.15,10000,0.8,7.5,7.5,EEUEE2E820( ),100,250
250,100,16.0×31.5,2100,0.15,10000,0.8,7.5,—,EEUEE2E101,100,—
250,100,18.0×25.0,2100,0.15,10000,0.8,7.5,7.5,EEUEE2E101S( ),100,250
250,150,18.0×31.5,2520,0.15,10000,0.8,7.5,—,EEUEE2E151,50,—
250,220,18.0×40.0,2940,0.15,10000,0.8,7.5,—,EEUEE2E221,50,—
350,15,10.0×20.0,480,0.2,8000,0.6,5.0,5.0,EEUEE2V150( ),200,500
350,22,12.5×20.0,660,0.2,10000,0.6,5.0,5.0,EEUEE2V220( ),200,500
350,33,12.5×25.0,790,0.2,10000,0.6,5.0,5.0,EEUEE2V330( ),200,500
350,47,16.0×25.0,1070,0.2,10000,0.8,7.5,7.5,EEUEE2V470( ),100,250
350,68,16.0×31.5,1530,0.2,10000,0.8,7.5,—,EEUEE2V680,100,—
350,82,18.0×25.0,1530,0.2,10000,0.8,7.5,7.5,EEUEE2V820S( ),100,250
400,10,10.0×20.0,430,0.24,8000,0.6,5.0,5.0,EEUEE2G100( ),200,500
400,15,12.5×20.0,590,0.24,10000,0.6,5.0,5.0,EEUEE2G150( ),200,500
400,22,12.5×25.0,760,0.24,10000,0.6,5.0,5.0,EEUEE2G220( ),200,500
400,33,16.0×20.0,1020,0.24,10000,0.8,7.5,7.5,EEUEE2G330S( ),100,250
400,47,16.0×25.0,1180,0.24,10000,0.8,7.5,7.5,EEUEE2G470( ),100,250
400,68,18.0×25.0,1470,0.24,10000,0.8,7.5,7.5,EEUEE2G680( ),100,250
400,82,18.0×31.5,1645,0.24,10000,0.8,7.5,—,EEUEE2G820,50,—
400,100,18.0×40.0,2060,0.24,10000,0.8,7.5,—,EEUEE2G101,50,—
450,10,10.0×20.0,330,0.24,8000,0.6,5.0,5.0,EEUEE2W100U( ),200,500
450,15,12.5×25.0,780,0.24,10000,0.6,5.0,5.0,EEUEE2W150( ),200,500
450,22,16.0×20.0,945,0.24,10000,0.8,7.5,7.5,EEUEE2W220S( ),100,250
450,33,16.0×25.0,1000,0.24,10000,0.8,7.5,7.5,EEUEE2W330( ),100,250
450,47,16.0×31.5,1200,0.24,10000,0.8,7.5,—,EEUEE2W470,100,—
450,56,18.0×31.5,1380,0.24,10000,0.8,7.5,—,EEUEE2W560,50,—
450,68,18.0×40.0,1800,0.24,10000,0.8,7.5,—,EEUEE2W680,50,—
