Rated voltage (V),Capacitance (μF),øD,L,Ripple current (mA rms) 105°C@100kHz,Impedance (Ω) 100kHz,Endurance (h),Lead dia (ød),Lead space Straight,Lead space Taping ✽B,Lead space Taping ✽H,Part No.,Straight leads,Taping
6.3,150,5.0,11.0,280,0.3,2000,0.5,2.0,5.0,2.5,EEUFM0J151( ),200,2000
6.3,330,6.3,11.2,455,0.13,2000,0.5,2.5,5.0,2.5,EEUFM0J331( ),200,2000
6.3,560,8.0,11.5,950,0.056,3000,0.6,3.5,5.0,—,EEUFM0J561( ),200,1000
6.3,820,8.0,15.0,1240,0.041,3000,0.6,3.5,5.0,—,EEUFM0J821L( ),200,1000
6.3,1000,10.0,12.5,1290,0.038,4000,0.6,5.0,5.0,—,EEUFM0J102( ),200,500
6.3,1200,8.0,20.0,1560,0.03,4000,0.6,3.5,5.0,—,EEUFM0J122L( ),200,1000
6.3,1200,10.0,16.0,1790,0.026,4000,0.6,5.0,5.0,—,EEUFM0J122( ),200,500
6.3,1500,10.0,20.0,2180,0.019,5000,0.6,5.0,5.0,—,EEUFM0J152( ),200,500
6.3,2200,10.0,25.0,2470,0.018,5000,0.6,5.0,5.0,—,EEUFM0J222L( ),200,500
6.3,3300,12.5,20.0,2600,0.018,5000,0.6,5.0,5.0,—,EEUFM0J332( ),200,500
6.3,3900,12.5,25.0,3190,0.015,7000,0.6,5.0,5.0,—,EEUFM0J392( ),200,500
6.3,4700,12.5,30.0,3630,0.013,7000,0.8,5.0,—,—,EEUFM0J472L,100,—
6.3,5600,12.5,35.0,3750,0.012,7000,0.8,5.0,—,—,EEUFM0J562L,100,—
6.3,5600,16.0,20.0,3300,0.017,5000,0.8,7.5,7.5,—,EEUFM0J562S( ),100,250
6.3,6800,16.0,25.0,3820,0.014,7000,0.8,7.5,7.5,—,EEUFM0J682( ),100,250
10.0,100,5.0,11.0,280,0.3,2000,0.5,2.0,5.0,2.5,EEUFM1A101( ),200,2000
10.0,220,6.3,11.2,455,0.13,2000,0.5,2.5,5.0,2.5,EEUFM1A221( ),200,2000
10.0,470,8.0,11.5,950,0.056,3000,0.6,3.5,5.0,—,EEUFM1A471( ),200,1000
10.0,680,8.0,15.0,1240,0.041,3000,0.6,3.5,5.0,—,EEUFM1A681L( ),200,1000
10.0,680,10.0,12.5,1290,0.038,4000,0.6,5.0,5.0,—,EEUFM1A681( ),200,500
10.0,1000,8.0,20.0,1560,0.03,4000,0.6,3.5,5.0,—,EEUFM1A102L( ),200,1000
10.0,1000,10.0,16.0,1790,0.026,4000,0.6,5.0,5.0,—,EEUFM1A102( ),200,500
10.0,1200,10.0,20.0,2180,0.019,5000,0.6,5.0,5.0,—,EEUFM1A122( ),200,500
10.0,1500,10.0,25.0,2470,0.018,5000,0.6,5.0,5.0,—,EEUFM1A152L( ),200,500
10.0,2200,12.5,20.0,2600,0.018,5000,0.6,5.0,5.0,—,EEUFM1A222( ),200,500
10.0,3300,12.5,25.0,3190,0.015,7000,0.6,5.0,5.0,—,EEUFM1A332( ),200,500
10.0,3900,12.5,30.0,3630,0.013,7000,0.8,5.0,—,—,EEUFM1A392L,100,—
10.0,3900,16.0,20.0,3300,0.017,5000,0.8,7.5,7.5,—,EEUFM1A392S( ),100,250
10.0,4700,12.5,35.0,3750,0.012,7000,0.8,5.0,—,—,EEUFM1A472L,100,—
10.0,5600,16.0,25.0,3820,0.014,7000,0.8,7.5,7.5,—,EEUFM1A562( ),100,250
16.0,68,5.0,11.0,280,0.3,2000,0.5,2.0,5.0,2.5,EEUFM1C680( ),200,2000
16.0,120,6.3,11.2,455,0.13,2000,0.5,2.5,5.0,2.5,EEUFM1C121( ),200,2000
16.0,330,8.0,11.5,950,0.056,3000,0.6,3.5,5.0,—,EEUFM1C331( ),200,1000
16.0,470,8.0,15.0,1240,0.041,3000,0.6,3.5,5.0,—,EEUFM1C471L( ),200,1000
16.0,470,10.0,12.5,1290,0.038,4000,0.6,5.0,5.0,—,EEUFM1C471( ),200,500
16.0,680,8.0,20.0,1560,0.03,4000,0.6,3.5,5.0,—,EEUFM1C681L( ),200,1000
16.0,680,10.0,16.0,1790,0.026,4000,0.6,5.0,5.0,—,EEUFM1C681( ),200,500
16.0,1000,10.0,20.0,2180,0.019,5000,0.6,5.0,5.0,—,EEUFM1C102( ),200,500
16.0,1200,10.0,25.0,2470,0.018,5000,0.6,5.0,5.0,—,EEUFM1C122L( ),200,500
16.0,1500,12.5,20.0,2600,0.018,5000,0.6,5.0,5.0,—,EEUFM1C152( ),200,500
16.0,2200,12.5,25.0,3190,0.015,7000,0.6,5.0,5.0,—,EEUFM1C222( ),200,500
16.0,2700,12.5,30.0,3630,0.013,7000,0.8,5.0,—,—,EEUFM1C272L,100,—
16.0,2700,16.0,20.0,3300,0.017,5000,0.8,7.5,7.5,—,EEUFM1C272S( ),100,250
16.0,3300,12.5,35.0,3750,0.012,7000,0.8,5.0,—,—,EEUFM1C332L,100,—
16.0,3900,16.0,25.0,3820,0.014,7000,0.8,7.5,7.5,—,EEUFM1C392( ),100,250
25.0,47,5.0,11.0,280,0.3,2000,0.5,2.0,5.0,2.5,EEUFM1E470( ),200,2000
25.0,100,6.3,11.2,455,0.13,2000,0.5,2.5,5.0,2.5,EEUFM1E101( ),200,2000
25.0,220,8.0,11.5,950,0.056,3000,0.6,3.5,5.0,—,EEUFM1E221( ),200,1000
25.0,330,8.0,15.0,1240,0.041,3000,0.6,3.5,5.0,—,EEUFM1E331L( ),200,1000
25.0,330,10.0,12.5,1290,0.038,4000,0.6,5.0,5.0,—,EEUFM1E331( ),200,500
25.0,470,8.0,20.0,1560,0.03,4000,0.6,3.5,5.0,—,EEUFM1E471L( ),200,1000
25.0,470,10.0,16.0,1790,0.026,4000,0.6,5.0,5.0,—,EEUFM1E471( ),200,500
25.0,680,10.0,20.0,2180,0.019,5000,0.6,5.0,5.0,—,EEUFM1E681( ),200,500
25.0,820,10.0,25.0,2470,0.018,5000,0.6,5.0,5.0,—,EEUFM1E821L( ),200,500
25.0,1000,12.5,20.0,2600,0.018,5000,0.6,5.0,5.0,—,EEUFM1E102( ),200,500
25.0,1500,12.5,25.0,3190,0.015,7000,0.6,5.0,5.0,—,EEUFM1E152( ),200,500
25.0,1800,12.5,30.0,3630,0.013,7000,0.8,5.0,—,—,EEUFM1E182L,100,—
25.0,1800,16.0,20.0,3300,0.017,5000,0.8,7.5,7.5,—,EEUFM1E182S( ),100,250
25.0,2200,12.5,35.0,3750,0.012,7000,0.8,5.0,—,—,EEUFM1E222L,100,—
