Rated voltage (V),Capacitance (μF),Case size øD,Case size L,Ripple current (mA rms) 105°C@100kHz,Impedance (Ω)  20°C@100kHz,Endurance (h),Lead dia (ød),Lead space Straight,Lead space Taping ✽B,Part No.,Straight leads,Taping
80,47,8.0,11.5,490,0.16,6000,0.6,3.5,5.0,EEUFS1K470( ),200,1000
80,56,8.0,11.5,490,0.16,6000,0.6,3.5,5.0,EEUFS1K560( ),200,1000
80,68,8.0,15.0,590,0.112,8000,0.6,3.5,5.0,EEUFS1K680( ),200,1000
80,82,8.0,15.0,590,0.112,8000,0.6,3.5,5.0,EEUFS1K820( ),200,1000
80,100,8.0,20.0,810,0.096,9000,0.6,3.5,5.0,EEUFS1K101L( ),200,1000
80,120,8.0,20.0,810,0.096,9000,0.6,3.5,5.0,EEUFS1K121L( ),200,1000
80,150,10.0,16.0,930,0.072,8000,0.6,5.0,5.0,EEUFS1K151( ),200,500
80,180,10.0,20.0,1120,0.054,10000,0.6,5.0,5.0,EEUFS1K181( ),200,500
80,220,10.0,20.0,1120,0.054,10000,0.6,5.0,5.0,EEUFS1K221( ),200,500
80,270,10.0,25.0,1200,0.044,10000,0.6,5.0,5.0,EEUFS1K271L( ),200,500
80,390,12.5,25.0,1800,0.034,10000,0.6,5.0,5.0,EEUFS1K391( ),200,500
80,470,16.0,20.0,1450,0.032,10000,0.8,7.5,7.5,EEUFS1K471S( ),100,250
80,560,12.5,35.0,2380,0.023,10000,0.8,5.0,--,EEUFS1K561L( ),100,--
80,680,16.0,25.0,2500,0.025,10000,0.8,7.5,7.5,EEUFS1K681( ),100,250
100,27,8.0,11.5,490,0.16,6000,0.6,3.5,5.0,EEUFS2A270( ),200,1000
100,33,8.0,11.5,490,0.16,6000,0.6,3.5,5.0,EEUFS2A330( ),200,1000
100,39,8.0,15.0,590,0.112,8000,0.6,3.5,5.0,EEUFS2A390( ),200,1000
100,47,8.0,15.0,590,0.112,8000,0.6,3.5,5.0,EEUFS2A470L( ),200,1000
100,56,8.0,20.0,810,0.096,9000,0.6,3.5,5.0,EEUFS2A560L( ),200,1000
100,68,8.0,20.0,810,0.096,9000,0.6,3.5,5.0,EEUFS2A680L( ),200,1000
100,120,10.0,20.0,1120,0.054,10000,0.6,5.0,5.0,EEUFS2A121( ),200,500
100,150,10.0,25.0,1200,0.044,10000,0.6,5.0,5.0,EEUFS2A151L( ),200,500
100,180,12.5,25.0,1800,0.034,10000,0.6,5.0,5.0,EEUFS2A181( ),200,500
100,220,12.5,25.0,1800,0.034,10000,0.6,5.0,5.0,EEUFS2A221( ),200,500
100,270,16.0,20.0,1450,0.032,10000,0.8,7.5,7.5,EEUFS2A271S( ),100,250
100,330,12.5,35.0,2380,0.023,10000,0.8,5.0,--,EEUFS2A331L( ),100,--
100,390,16.0,25.0,2500,0.025,10000,0.8,7.5,7.5,EEUFS2A391( ),100,250
