Rated voltage (V),Capacitance (±20%) (μF),Case size øD (mm),Case size L (mm),Ripple current (mA rms) 105°C@120Hz,tan δ,Endurance (h),Lead dia. (ød),Lead space Straight,Lead space Taping ✽B,Lead space Taping ✽H,Part No.,Min. Packaging Q'ty Straight leads,Min. Packaging Q'ty Taping
10,22.0,4.0,7.0,30,0.22,1000,0.45,1.5,5.0,2.5,EEAGA1A220( ),200,2000
10,33.0,5.0,7.0,50,0.22,1000,0.45,2.0,5.0,2.5,EEAGA1A330( ),200,2000
10,47.0,6.3,7.0,65,0.22,1000,0.45,2.5,5.0,2.5,EEAGA1A470( ),200,2000
10,68.0,6.3,7.0,75,0.22,1000,0.45,2.5,5.0,2.5,EEAGA1A680( ),200,2000
10,100.0,6.3,7.0,110,0.22,1000,0.45,2.5,5.0,2.5,EEAGA1A101( ),200,2000
10,220.0,8.0,7.0,160,0.22,1000,0.45,2.5,5.0,2.5,EEAGA1A221( ),200,1000
16,10.0,4.0,7.0,30,0.18,1000,0.45,1.5,5.0,2.5,EEAGA1C100( ),200,2000
16,15.0,4.0,7.0,33,0.18,1000,0.45,1.5,5.0,2.5,EEAGA1C150( ),200,2000
16,22.0,5.0,7.0,50,0.18,1000,0.45,2.0,5.0,2.5,EEAGA1C220( ),200,2000
16,33.0,6.3,7.0,65,0.18,1000,0.45,2.5,5.0,2.5,EEAGA1C330( ),200,2000
16,47.0,6.3,7.0,77,0.18,1000,0.45,2.5,5.0,2.5,EEAGA1C470( ),200,2000
16,100.0,8.0,7.0,120,0.18,1000,0.45,2.5,5.0,2.5,EEAGA1C101( ),200,1000
25,10.0,4.0,7.0,33,0.16,1000,0.45,1.5,5.0,2.5,EEAGA1E100( ),200,2000
25,15.0,5.0,7.0,45,0.16,1000,0.45,2.0,5.0,2.5,EEAGA1E150( ),200,2000
25,22.0,5.0,7.0,50,0.16,1000,0.45,2.0,5.0,2.5,EEAGA1E220( ),200,2000
25,33.0,6.3,7.0,75,0.16,1000,0.45,2.5,5.0,2.5,EEAGA1E330( ),200,2000
25,68.0,8.0,7.0,100,0.16,1000,0.45,2.5,5.0,2.5,EEAGA1E680( ),200,1000
35,6.8,4.0,7.0,33,0.13,1000,0.45,1.5,5.0,2.5,EEAGA1V6R8( ),200,2000
35,10.0,5.0,7.0,35,0.13,1000,0.45,2.0,5.0,2.5,EEAGA1V100( ),200,2000
35,15.0,6.3,7.0,50,0.13,1000,0.45,2.5,5.0,2.5,EEAGA1V150( ),200,2000
35,22.0,6.3,7.0,70,0.13,1000,0.45,2.5,5.0,2.5,EEAGA1V220( ),200,2000
35,47.0,8.0,7.0,96,0.13,1000,0.45,2.5,5.0,2.5,EEAGA1V470( ),200,1000
50,1.5,4.0,7.0,16,0.1,1000,0.45,1.5,5.0,2.5,EEAGA1H1R5( ),200,2000
50,2.2,4.0,7.0,18,0.1,1000,0.45,1.5,5.0,2.5,EEAGA1H2R2( ),200,2000
50,3.3,4.0,7.0,22,0.1,1000,0.45,1.5,5.0,2.5,EEAGA1H3R3( ),200,2000
50,4.7,4.0,7.0,26,0.1,1000,0.45,1.5,5.0,2.5,EEAGA1H4R7( ),200,2000
50,6.8,5.0,7.0,35,0.1,1000,0.45,2.0,5.0,2.5,EEAGA1H6R8( ),200,2000
50,10.0,6.3,7.0,39,0.1,1000,0.45,2.5,5.0,2.5,EEAGA1H100( ),200,2000
50,15.0,6.3,7.0,55,0.1,1000,0.45,2.5,5.0,2.5,EEAGA1H150( ),200,2000
50,22.0,8.0,7.0,70,0.1,1000,0.45,2.5,5.0,2.5,EEAGA1H220( ),200,1000
50,33.0,8.0,7.0,91,0.1,1000,0.45,2.5,5.0,2.5,EEAGA1H330( ),200,1000
