Rated voltage (V),Capacitance (±20 %) (μF),Case size (mm) øD,Case size (mm) L,Ripple current*1 (mA rms),tan δ*2,Lead dia. (ød),Lead space Straight,Lead space Taping ✽B,Lead space Taping ✽i,Part No.,Straight leads,Taping
4.0,100.0,6.3,7.0,61,0.35,0.45,2.5,5.0,2.5,ECEA0GKN101( ),200,2000
6.3,22.0,5.0,7.0,29,0.24,0.45,2.0,5.0,2.5,ECEA0JKN220( ),200,2000
6.3,33.0,5.0,7.0,38,0.24,0.45,2.0,5.0,2.5,ECEA0JKN330( ),200,2000
6.3,47.0,6.3,7.0,46,0.24,0.45,2.5,5.0,2.5,ECEA0JKN470( ),200,2000
10.0,10.0,4.0,7.0,25,0.2,0.45,1.5,5.0,2.5,ECEA1AKN100( ),200,2000
10.0,22.0,5.0,7.0,35,0.2,0.45,2.0,5.0,2.5,ECEA1AKN220( ),200,2000
10.0,33.0,6.3,7.0,43,0.2,0.45,2.5,5.0,2.5,ECEA1AKN330( ),200,2000
10.0,47.0,6.3,7.0,65,0.2,0.45,2.5,5.0,2.5,ECEA1AKN470( ),200,2000
16.0,4.7,4.0,7.0,20,0.16,0.45,1.5,5.0,2.5,ECEA1CKN4R7( ),200,2000
16.0,10.0,5.0,7.0,25,0.16,0.45,2.0,5.0,2.5,ECEA1CKN100( ),200,2000
16.0,22.0,6.3,7.0,39,0.16,0.45,2.5,5.0,2.5,ECEA1CKN220( ),200,2000
16.0,33.0,6.3,7.0,60,0.16,0.45,2.5,5.0,2.5,ECEA1CKN330( ),200,2000
25.0,3.3,4.0,7.0,16,0.16,0.45,1.5,5.0,2.5,ECEA1EKN3R3( ),200,2000
25.0,4.7,5.0,7.0,21,0.16,0.45,2.0,5.0,2.5,ECEA1EKN4R7( ),200,2000
25.0,10.0,6.3,7.0,28,0.16,0.45,2.5,5.0,2.5,ECEA1EKN100( ),200,2000
25.0,22.0,6.3,7.0,55,0.16,0.45,2.5,5.0,2.5,ECEA1EKN220( ),200,2000
35.0,2.2,4.0,7.0,12,0.14,0.45,1.5,5.0,2.5,ECEA1VKN2R2( ),200,2000
35.0,3.3,5.0,7.0,16,0.14,0.45,2.0,5.0,2.5,ECEA1VKN3R3( ),200,2000
35.0,4.7,5.0,7.0,22,0.14,0.45,2.0,5.0,2.5,ECEA1VKN4R7( ),200,2000
35.0,10.0,6.3,7.0,30,0.14,0.45,2.5,5.0,2.5,ECEA1VKN100( ),200,2000
50.0,2.2,5.0,7.0,16,0.12,0.45,2.0,5.0,2.5,ECEA1HKN2R2( ),200,2000
50.0,3.3,5.0,7.0,16,0.12,0.45,2.0,5.0,2.5,ECEA1HKN3R3( ),200,2000
50.0,4.7,6.3,7.0,23,0.12,0.45,2.5,5.0,2.5,ECEA1HKN4R7( ),200,2000
