Rated voltage (V),Capacitance (±20 %) (μF),Case size (mm) øD,Case size (mm) L,Ripple current (mA rms) 85C 120Hz,tan δ,Lead dia. (ød),Lead space Straight,Lead space Taping ✽B,Lead space Taping ✽i,Part No.,Min. Packaging Q'ty (PCS) Straight leads,Min. Packaging Q'ty (PCS) Taping
4.0,47.0,4.0,7.0,34,0.35,0.45,1.5,5.0,2.5,ECEA0GKA470( ),200,2000
4.0,100.0,5.0,7.0,61,0.35,0.45,2.0,5.0,2.5,ECEA0GKA101( ),200,2000
4.0,220.0,6.3,7.0,82,0.35,0.45,2.5,5.0,2.5,ECEA0GKA221( ),200,2000
4.0,330.0,8.0,7.0,110,0.35,0.45,2.5,—,2.5,ECEA0GKA331( ),200,1000
4.0,330.0,8.0,7.0,110,0.35,0.45,—,5.0,—,ECEA0GKA331Q,—,1000
4.0,470.0,8.0,7.0,140,0.35,0.45,2.5,—,2.5,ECEA0GKA471( ),200,1000
4.0,470.0,8.0,7.0,140,0.35,0.45,—,5.0,—,ECEA0GKA471Q,—,1000
6.3,47.0,4.0,7.0,46,0.24,0.45,1.5,5.0,2.5,ECEA0JKA470( ),200,2000
6.3,100.0,5.0,7.0,71,0.24,0.45,2.0,5.0,2.5,ECEA0JKA101( ),200,2000
6.3,220.0,6.3,7.0,103,0.24,0.45,2.5,5.0,2.5,ECEA0JKA221( ),200,2000
6.3,330.0,8.0,7.0,130,0.24,0.45,2.5,—,2.5,ECEA0JKA331( ),200,1000
6.3,330.0,8.0,7.0,130,0.24,0.45,—,5.0,—,ECEA0JKA331Q,—,1000
10.0,33.0,4.0,7.0,43,0.2,0.45,1.5,5.0,2.5,ECEA1AKA330( ),200,2000
10.0,100.0,6.3,7.0,80,0.2,0.45,2.5,5.0,2.5,ECEA1AKA101( ),200,2000
10.0,220.0,8.0,7.0,120,0.2,0.45,2.5,—,2.5,ECEA1AKA221( ),200,1000
10.0,220.0,8.0,7.0,120,0.2,0.45,—,5.0,—,ECEA1AKA221Q,—,1000
16.0,10.0,4.0,7.0,28,0.16,0.45,1.5,5.0,2.5,ECEA1CKA100( ),200,2000
16.0,22.0,4.0,7.0,39,0.16,0.45,1.5,5.0,2.5,ECEA1CKA220( ),200,2000
16.0,33.0,5.0,7.0,60,0.16,0.45,2.0,5.0,2.5,ECEA1CKA330( ),200,2000
16.0,47.0,5.0,7.0,70,0.16,0.45,2.0,5.0,2.5,ECEA1CKA470( ),200,2000
16.0,100.0,6.3,7.0,91,0.16,0.45,2.5,5.0,2.5,ECEA1CKA101( ),200,2000
25.0,10.0,4.0,7.0,28,0.14,0.45,1.5,5.0,2.5,ECEA1EKA100( ),200,2000
25.0,22.0,5.0,7.0,55,0.14,0.45,2.0,5.0,2.5,ECEA1EKA220( ),200,2000
25.0,33.0,6.3,7.0,65,0.14,0.45,2.5,5.0,2.5,ECEA1EKA330( ),200,2000
25.0,47.0,6.3,7.0,70,0.14,0.45,2.5,5.0,2.5,ECEA1EKA470( ),200,2000
35.0,10.0,5.0,7.0,30,0.12,0.45,2.0,5.0,2.5,ECEA1VKA100( ),200,2000
35.0,22.0,6.3,7.0,60,0.12,0.45,2.5,5.0,2.5,ECEA1VKA220( ),200,2000
35.0,33.0,6.3,7.0,65,0.12,0.45,2.5,5.0,2.5,ECEA1VKA330( ),200,2000
35.0,47.0,8.0,7.0,85,0.12,0.45,2.5,—,2.5,ECEA1VKA470( ),200,1000
35.0,47.0,8.0,7.0,85,0.12,0.45,—,5.0,—,ECEA1VKA470Q,—,1000
50.0,2.2,4.0,7.0,16,0.1,0.45,1.5,5.0,2.5,ECEA1HKA2R2( ),200,2000
50.0,3.3,4.0,7.0,18,0.1,0.45,1.5,5.0,2.5,ECEA1HKA3R3( ),200,2000
50.0,4.7,4.0,7.0,23,0.1,0.45,1.5,5.0,2.5,ECEA1HKA4R7( ),200,2000
50.0,10.0,5.0,7.0,35,0.1,0.45,2.0,5.0,2.5,ECEA1HKA100( ),200,2000
50.0,22.0,6.3,7.0,60,0.1,0.45,2.5,5.0,2.5,ECEA1HKA220( ),200,2000
50.0,33.0,8.0,7.0,75,0.1,0.45,2.5,—,2.5,ECEA1HKA330( ),200,1000
50.0,33.0,8.0,7.0,75,0.1,0.45,—,5.0,—,ECEA1HKA330Q,—,1000
