Rated voltage (V),Capacitance (μF),Case size øD (mm),Case size L (mm),Ripple current (mA rms),tan δ,Lead dia. (ød),Lead space Straight,Lead space Taping ✽B,Lead space Taping ✽i,Part No.,Straight leads,Taping
4.0,33,4.0,5.0,26,0.35,0.45,1.5,5.0,2.5,ECEA0GKS330( ),200,2000
4.0,47,4.0,5.0,34,0.35,0.45,1.5,5.0,2.5,ECEA0GKS470( ),200,2000
4.0,100,5.0,5.0,61,0.35,0.45,2.0,5.0,2.5,ECEA0GKS101( ),200,2000
4.0,220,6.3,5.0,82,0.35,0.45,2.5,5.0,2.5,ECEA0GKS221( ),200,2000
6.3,22,4.0,5.0,29,0.24,0.45,1.5,5.0,2.5,ECEA0JKS220( ),200,2000
6.3,33,5.0,5.0,38,0.24,0.45,2.0,5.0,2.5,ECEA0JKS330( ),200,2000
6.3,47,5.0,5.0,46,0.24,0.45,2.0,5.0,2.5,ECEA0JKS470( ),200,2000
6.3,100,6.3,5.0,71,0.24,0.45,2.5,5.0,2.5,ECEA0JKS101( ),200,2000
6.3,330,8.0,5.0,130,0.24,0.45,2.5,—,2.5,ECEA0JKS331( ),200,1000
6.3,330,8.0,5.0,130,0.24,0.45,—,5.0,—,ECEA0JKS331Q,—,1000
10.0,22,5.0,5.0,35,0.2,0.45,2.0,5.0,2.5,ECEA1AKS220( ),200,2000
10.0,33,5.0,5.0,43,0.2,0.45,2.0,5.0,2.5,ECEA1AKS330( ),200,2000
10.0,47,6.3,5.0,65,0.2,0.45,2.5,5.0,2.5,ECEA1AKS470( ),200,2000
10.0,100,6.3,5.0,80,0.2,0.45,2.5,5.0,2.5,ECEA1AKS101( ),200,2000
10.0,220,8.0,5.0,120,0.2,0.45,2.5,—,2.5,ECEA1AKS221( ),200,1000
10.0,220,8.0,5.0,120,0.2,0.45,—,5.0,—,ECEA1AKS221Q,—,1000
16,10.0,4.0,5.0,28,0.16,0.45,1.5,5.0,2.5,ECEA1CKS100( ),200,2000
16,22.0,5.0,5.0,39,0.16,0.45,2.0,5.0,2.5,ECEA1CKS220( ),200,2000
16,33.0,6.3,5.0,60,0.16,0.45,2.5,5.0,2.5,ECEA1CKS330( ),200,2000
16,47.0,6.3,5.0,70,0.16,0.45,2.5,5.0,2.5,ECEA1CKS470( ),200,2000
16,100.0,8.0,5.0,91,0.16,0.45,2.5,—,2.5,ECEA1CKS101( ),200,1000
16,100.0,8.0,5.0,91,0.16,0.45,—,5.0,—,ECEA1CKS101Q,—,1000
25,4.7,4.0,5.0,22,0.14,0.45,1.5,5.0,2.5,ECEA1EKS4R7( ),200,2000
25,10.0,5.0,5.0,28,0.14,0.45,2.0,5.0,2.5,ECEA1EKS100( ),200,2000
25,22.0,6.3,5.0,55,0.14,0.45,2.5,5.0,2.5,ECEA1EKS220( ),200,2000
25,33.0,6.3,5.0,65,0.14,0.45,2.5,5.0,2.5,ECEA1EKS330( ),200,2000
25,100.0,8.0,5.0,85,0.14,0.45,2.5,—,2.5,ECEA1EKS101( ),200,1000
25,100.0,8.0,5.0,85,0.14,0.45,—,5.0,—,ECEA1EKS101Q,—,1000
35,3.3,4.0,5.0,16,0.12,0.45,1.5,5.0,2.5,ECEA1VKS3R3( ),200,2000
35,4.7,4.0,5.0,22,0.12,0.45,1.5,5.0,2.5,ECEA1VKS4R7( ),200,2000
35,10.0,5.0,5.0,30,0.12,0.45,2.0,5.0,2.5,ECEA1VKS100( ),200,2000
35,22.0,6.3,5.0,60,0.12,0.45,2.5,5.0,2.5,ECEA1VKS220( ),200,2000
35,33.0,8.0,5.0,65,0.12,0.45,2.5,—,2.5,ECEA1VKS330( ),200,1000
35,33.0,8.0,5.0,65,0.12,0.45,—,5.0,—,ECEA1VKS330Q,—,1000
35,47.0,8.0,5.0,85,0.12,0.45,2.5,—,2.5,ECEA1VKS470( ),200,1000
35,47.0,8.0,5.0,85,0.12,0.45,—,5.0,—,ECEA1VKS470Q,—,1000
50,2.2,4.0,5.0,16,0.1,0.45,1.5,5.0,2.5,ECEA1HKS2R2( ),200,2000
50,3.3,4.0,5.0,16,0.1,0.45,1.5,5.0,2.5,ECEA1HKS3R3( ),200,2000
50,4.7,5.0,5.0,23,0.1,0.45,2.0,5.0,2.5,ECEA1HKS4R7( ),200,2000
50,10.0,6.3,5.0,35,0.1,0.45,2.5,5.0,2.5,ECEA1HKS100( ),200,2000
50,22.0,8.0,5.0,60,0.1,0.45,2.5,—,2.5,ECEA1HKS220( ),200,1000
50,22.0,8.0,5.0,60,0.1,0.45,—,5.0,—,ECEA1HKS220Q,—,1000
