Rated voltage (V),Capacitance (μF),tan δ (120 Hz / +20 ℃)
6.3,100.0,0.28
6.3,220.0,0.28
6.3,470.0,0.28
6.3,1000.0,0.28
6.3,2200.0,0.3
6.3,3300.0,0.32
6.3,4700.0,0.34
6.3,6800.0,0.38
6.3,10000.0,0.46
6.3,15000.0,0.56
6.3,22000.0,0.7
10.0,100.0,0.2
10.0,220.0,0.2
10.0,330.0,0.2
10.0,470.0,0.2
10.0,1000.0,0.2
10.0,2200.0,0.22
10.0,3300.0,0.24
10.0,4700.0,0.28
10.0,6800.0,0.28
10.0,10000.0,0.28
10.0,15000.0,0.3
16.0,47.0,0.16
16.0,100.0,0.16
16.0,220.0,0.16
16.0,330.0,0.16
16.0,470.0,0.16
16.0,1000.0,0.18
16.0,2200.0,0.2
16.0,3300.0,0.22
16.0,4700.0,0.26
16.0,6800.0,0.3
16.0,10000.0,0.38
25.0,47.0,0.16
25.0,100.0,0.16
25.0,220.0,0.16
25.0,330.0,0.16
25.0,470.0,0.16
25.0,1000.0,0.16
25.0,2200.0,0.18
25.0,3300.0,0.2
25.0,4700.0,0.22
25.0,6800.0,0.26
35.0,47.0,0.14
35.0,100.0,0.14
35.0,220.0,0.14
35.0,330.0,0.14
35.0,470.0,0.14
35.0,1000.0,0.14
35.0,2200.0,0.16
35.0,3300.0,0.18
35.0,4700.0,0.2
50.0,2.2,0.12
50.0,3.3,0.12
50.0,4.7,0.12
50.0,10.0,0.12
50.0,22.0,0.12
50.0,33.0,0.12
50.0,47.0,0.12
50.0,100.0,0.12
50.0,220.0,0.12
50.0,330.0,0.12
50.0,470.0,0.12
50.0,1000.0,0.12
50.0,2200.0,0.14
50.0,3300.0,0.16
63.0,10.0,0.1
63.0,22.0,0.1
63.0,33.0,0.1
63.0,47.0,0.1
63.0,100.0,0.1
63.0,220.0,0.1
63.0,330.0,0.1
63.0,470.0,0.1
63.0,1000.0,0.1
63.0,2200.0,0.12
100.0,2.2,0.08
100.0,3.3,0.08
100.0,4.7,0.08
100.0,10.0,0.08
100.0,22.0,0.08
100.0,33.0,0.08
100.0,47.0,0.08
100.0,100.0,0.08
100.0,220.0,0.08
100.0,330.0,0.08
100.0,470.0,0.08
100.0,1000.0,0.08
160.0,2.2,0.15
160.0,3.3,0.15
160.0,4.7,0.15
160.0,10.0,0.15
160.0,22.0,0.15
160.0,33.0,0.15
160.0,47.0,0.15
160.0,100.0,0.15
160.0,220.0,0.15
160.0,330.0,0.15
200.0,2.2,0.15
200.0,3.3,0.15
200.0,4.7,0.15
200.0,10.0,0.15
200.0,22.0,0.15
200.0,33.0,0.15
200.0,47.0,0.15
200.0,100.0,0.15
200.0,220.0,0.15
250.0,2.2,0.15
250.0,3.3,0.15
250.0,4.7,0.15
250.0,10.0,0.15
250.0,22.0,0.15
250.0,33.0,0.15
250.0,47.0,0.15
250.0,100.0,0.15
350.0,2.2,0.2
350.0,3.3,0.2
350.0,4.7,0.2
350.0,10.0,0.2
350.0,22.0,0.2
350.0,33.0,0.2
350.0,47.0,0.2
350.0,100.0,0.2
400.0,2.2,0.24
400.0,3.3,0.24
400.0,4.7,0.24
400.0,10.0,0.24
400.0,22.0,0.24
400.0,33.0,0.24
400.0,47.0,0.24
450.0,2.2,0.24
450.0,3.3,0.24
450.0,4.7,0.24
450.0,10.0,0.24
450.0,22.0,0.24
450.0,33.0,0.24
