Rated Voltage (Vdc),Capacitance (μF),Size φD×L (mm),Rated Ripple Current,Impedance
6.3,82.0,5×7,510,0.25
6.3,220.0,5×11,800,0.14
6.3,220.0,6.3×7,720,0.13
6.3,470.0,6.3×11,1140,0.067
6.3,470.0,8×7.5,1080,0.065
6.3,680.0,8×9,1360,0.049
6.3,820.0,8×10.8,1600,0.042
6.3,1000.0,8×16,2010,0.027
6.3,1000.0,10×9,1540,0.036
6.3,1200.0,10×12.5,1970,0.025
8.0,75.0,5×7,510,0.25
8.0,200.0,5×11,800,0.14
8.0,200.0,6.3×7,720,0.13
8.0,390.0,8×7.5,1080,0.065
8.0,430.0,6.3×11,1140,0.067
8.0,620.0,8×9,1360,0.049
8.0,750.0,8×10.8,1600,0.042
8.0,910.0,8×16,2010,0.027
8.0,910.0,10×9,1540,0.036
8.0,1100.0,10×12.5,1970,0.025
10.0,68.0,5×7,510,0.25
10.0,180.0,5×11,800,0.14
10.0,180.0,6.3×7,720,0.13
10.0,330.0,8×7.5,1080,0.065
10.0,390.0,6.3×11,1140,0.067
10.0,560.0,8×9,1360,0.049
10.0,680.0,8×10.8,1600,0.042
10.0,820.0,8×16,2010,0.027
10.0,820.0,10×9,1540,0.036
10.0,1000.0,10×12.5,1970,0.025
16.0,390.0,8×9,1360,0.049
16.0,470.0,8×10.8,1600,0.042
16.0,560.0,8×16,2010,0.027
16.0,560.0,10×9,1540,0.036
16.0,680.0,10×12.5,1970,0.025
16.0,1000.0,10×16,2480,0.019
25.0,220.0,8×9,1360,0.049
25.0,270.0,8×10.8,1600,0.042
25.0,390.0,8×16,2010,0.027
25.0,390.0,10×9,1540,0.036
25.0,470.0,10×12.5,1970,0.025
25.0,680.0,10×16,2480,0.019
35.0,150.0,8×9,1360,0.049
35.0,180.0,8×10.8,1600,0.042
35.0,220.0,8×16,2010,0.027
35.0,220.0,10×9,1540,0.036
35.0,270.0,10×12.5,1970,0.025
35.0,390.0,10×16,2480,0.019
400.0,4.7,8×9,50,
400.0,6.8,8×10.8,70,
400.0,7.5,8×10.8,75,
400.0,8.2,8×16,85,
400.0,8.2,10×9,85,
400.0,10.0,8×16,90,
400.0,10.0,10×12.5,100,
400.0,12.0,8×20,120,
400.0,12.0,10×12.5,110,
400.0,15.0,8×20,130,
400.0,15.0,10×16,150,
400.0,18.0,10×16,150,
400.0,22.0,12.5×16,180,
400.0,24.0,12.5×16,190,
