Rated Voltage (Vdc),Capacitance (μF),Size φD×L (mm),Rated Ripple Current (A r.m.s./105℃ 120Hz)
400,56,16×20,0.5
400,68,18×20,0.57
400,75,16×25,0.62
400,100,16×30,0.75
400,100,18×25,0.73
400,120,16×35,0.86
400,130,16×40,0.93
400,130,18×30,0.87
400,150,16×45,1.03
400,160,18×35,1.0
400,180,18×40,1.11
400,190,18×45,1.18
400,220,18×50,1.31
420,51,16×20,0.47
420,68,16×25,0.58
420,68,18×20,0.55
420,91,16×30,0.7
420,91,18×25,0.69
420,110,16×35,0.8
420,120,18×30,0.82
420,130,16×40,0.91
420,150,18×35,0.95
420,150,16×45,1.01
420,160,18×40,1.03
420,180,18×45,1.13
420,190,18×50,1.2
450,47,16×20,0.45
450,62,16×25,0.56
450,62,18×20,0.53
450,82,16×30,0.67
450,82,18×25,0.66
450,100,16×35,0.78
450,110,18×30,0.79
450,120,16×40,0.87
450,130,18×35,0.9
450,130,16×45,0.95
450,160,18×40,1.02
450,180,18×45,1.12
450,190,18×50,1.2
