Rated Voltage,Capacitance,Size,Rated Ripple Current 120Hz,Rated Ripple Current 100kHz
400,15.0,10×20,0.2,0.5
400,18.0,10×25,0.235,0.588
400,22.0,10×30,0.275,0.688
400,22.0,12.5×20,0.26,0.65
400,27.0,10×35,0.32,0.8
400,27.0,12.5×25,0.31,0.775
400,27.0,14.5×20,0.31,0.775
400,33.0,10×40,0.37,0.925
400,33.0,10×45,0.38,0.95
400,33.0,16×20,0.355,0.888
400,39.0,10×50,0.425,1.063
400,39.0,12.5×30,0.395,0.988
400,39.0,14.5×25,0.395,0.988
400,47.0,12.5×35,0.455,1.138
400,47.0,14.5×30,0.46,1.15
400,47.0,16×25,0.45,1.125
400,47.0,18×20,0.435,1.088
400,56.0,12.5×40,0.515,1.288
400,56.0,12.5×45,0.535,1.338
400,56.0,14.5×35,0.525,1.313
400,68.0,12.5×50,0.605,1.513
400,68.0,14.5×40,0.595,1.488
400,68.0,16×30,0.565,1.413
400,68.0,18×25,0.55,1.375
400,82.0,14.5×45,0.68,1.7
400,82.0,16×35,0.645,1.613
400,82.0,16×40,0.675,1.688
400,82.0,18×30,0.64,1.6
400,100.0,14.5×50,0.77,1.733
400,100.0,16×45,0.77,1.733
400,100.0,18×35,0.74,1.665
400,120.0,16×50,0.865,1.946
400,120.0,18×40,0.835,1.879
400,120.0,18×45,0.87,1.958
400,150.0,18×50,0.995,2.239
420,12.0,10×20,0.175,0.438
420,15.0,10×25,0.21,0.525
420,18.0,10×30,0.24,0.6
420,18.0,12.5×20,0.23,0.575
420,22.0,10×35,0.28,0.7
420,22.0,14.5×20,0.275,0.688
420,27.0,10×40,0.31,0.775
420,27.0,10×45,0.335,0.838
420,27.0,12.5×25,0.3,0.75
420,27.0,16×20,0.31,0.775
420,33.0,10×50,0.385,0.963
420,33.0,12.5×30,0.355,0.888
420,33.0,14.5×25,0.355,0.888
420,39.0,12.5×35,0.405,1.013
420,39.0,16×25,0.4,1.0
420,39.0,18×20,0.39,0.975
420,47.0,12.5×40,0.46,1.15
420,47.0,12.5×45,0.48,1.2
420,47.0,14.5×30,0.445,1.113
420,56.0,12.5×50,0.535,1.338
420,56.0,14.5×35,0.51,1.275
420,56.0,16×30,0.5,1.25
420,56.0,18×25,0.495,1.238
420,68.0,14.5×40,0.58,1.45
420,68.0,14.5×45,0.6,1.5
420,68.0,16×35,0.58,1.45
420,68.0,18×30,0.575,1.438
420,82.0,14.5×50,0.68,1.7
420,82.0,16×40,0.66,1.65
420,82.0,16×45,0.685,1.713
420,82.0,18×35,0.655,1.638
420,100.0,16×50,0.775,1.744
420,100.0,18×40,0.75,1.688
420,120.0,18×45,0.84,1.89
420,120.0,18×50,0.875,1.969
450,12.0,10×20,0.175,0.438
450,15.0,10×25,0.21,0.525
450,18.0,10×30,0.24,0.6
450,18.0,12.5×20,0.235,0.588
450,22.0,10×35,0.28,0.7
450,22.0,12.5×25,0.275,0.688
450,22.0,14.5×20,0.275,0.688
450,27.0,10×40,0.325,0.813
450,27.0,10×45,0.335,0.838
450,27.0,12.5×30,0.325,0.813
450,27.0,16×20,0.315,0.788
450,33.0,10×50,0.385,0.963
450,33.0,12.5×35,0.375,0.938
450,33.0,14.5×25,0.355,0.888
450,39.0,12.5×40,0.425,1.063
450,39.0,14.5×30,0.41,1.025
450,39.0,16×25,0.4,1.0
450,39.0,18×20,0.39,0.975
450,47.0,12.5×45,0.48,1.2
450,47.0,14.5×35,0.47,1.175
450,47.0,16×30,0.465,1.163
450,47.0,18×25,0.46,1.15
450,56.0,12.5×50,0.54,1.35
450,56.0,14.5×40,0.53,1.325
450,56.0,16×35,0.53,1.325
450,68.0,14.5×45,0.58,1.45
450,68.0,14.5×50,0.625,1.563
450,68.0,16×40,0.605,1.513
450,68.0,18×30,0.575,1.438
450,82.0,16×45,0.685,1.713
450,82.0,18×35,0.66,1.65
450,100.0,16×50,0.775,1.744
450,100.0,18×40,0.74,1.665
450,100.0,18×45,0.785,1.766
450,120.0,18×50,0.88,1.98
500,8.2,10×20,0.135,0.338
500,12.0,10×25,0.18,0.45
500,12.0,12.5×20,0.18,0.45
500,15.0,10×30,0.21,0.525
500,18.0,10×35,0.245,0.613
500,18.0,10×40,0.255,0.638
500,18.0,12.5×25,0.235,0.588
500,18.0,14.5×20,0.235,0.588
500,22.0,10×45,0.28,0.7
500,22.0,12.5×30,0.28,0.7
500,22.0,14.5×25,0.28,0.7
500,22.0,16×20,0.27,0.675
500,27.0,10×50,0.33,0.825
500,27.0,12.5×35,0.32,0.8
500,27.0,14.5×30,0.325,0.813
500,27.0,16×25,0.32,0.8
500,27.0,18×20,0.315,0.788
500,33.0,12.5×40,0.37,0.925
500,33.0,12.5×45,0.385,0.963
500,39.0,12.5×50,0.43,1.075
500,39.0,14.5×35,0.41,1.025
500,39.0,14.5×40,0.425,1.063
500,39.0,16×30,0.405,1.013
500,39.0,18×25,0.4,1.0
500,47.0,14.5×45,0.485,1.213
500,47.0,16×35,0.46,1.15
500,47.0,18×30,0.46,1.15
500,56.0,14.5×50,0.545,1.363
500,56.0,16×40,0.525,1.313
500,56.0,16×45,0.545,1.363
500,56.0,18×35,0.525,1.313
500,68.0,16×50,0.615,1.538
500,68.0,18×40,0.6,1.5
500,82.0,18×45,0.68,1.7
500,82.0,18×50,0.7,1.75
