Rated Voltage (Vdc),Capacitance (μF),Size φD×L (mm),Rated ripple current I0 (mA r.m.s./125℃@100kHz),MAX ripple current IMAX (mA r.m.s./125℃@100kHz).1,MAX ripple current IMAX (mA r.m.s./105℃@100kHz).2
250,30,12.5×20,1100,1100,1870
250,36,10×30,1330,1330,2260
250,43,10×35,1550,1550,2630
250,43,12.5×25,1410,1410,2390
250,51,10×40,1760,1760,2990
250,51,16×20,1440,1440,2440
250,56,12.5×30,1710,1710,2900
275,30,12.5×20,1020,1020,1730
275,36,10×30,1240,1240,2100
275,43,10×35,1440,1440,2440
275,43,12.5×25,1310,1310,2220
275,51,10×40,1640,1640,2780
275,51,16×20,1350,1350,2290
275,56,12.5×30,1590,1590,2700
290,24,12.5×20,830,830,1410
290,30,10×30,1000,1000,1700
290,36,10×35,1160,1160,1970
290,36,12.5×25,1060,1060,1800
290,43,10×40,1320,1320,2240
290,43,16×20,1100,1100,1870
290,43,12.5×30,1290,1290,2190
