Rated Voltage,Capacitance,Size φD×L,Rated Ripple,Impedance 20℃,Impedance -10℃
16,1000,10×16,1180,0.061,0.122
16,1500,10×20,1490,0.045,0.09
16,1800,10×25,1710,0.037,0.074
16,2200,12.5×20,1780,0.038,0.076
16,3300,12.5×25,2170,0.03,0.06
16,3900,12.5×30,2540,0.025,0.05
16,3900,16×20,2210,0.028,0.056
16,5600,16×25,2620,0.022,0.044
16,5600,18×20,2490,0.028,0.056
16,6800,16×30,3060,0.019,0.038
16,8200,18×25,2790,0.02,0.04
16,10000,18×30,3240,0.018,0.036
25,680,10×16,1180,0.061,0.122
25,1000,10×20,1490,0.045,0.09
25,1200,10×25,1710,0.037,0.074
25,1500,12.5×20,1780,0.038,0.076
25,2200,12.5×25,2170,0.03,0.06
25,2700,12.5×30,2540,0.025,0.05
25,2700,16×20,2210,0.028,0.056
25,3300,18×20,2490,0.028,0.056
25,3900,16×25,2620,0.022,0.044
25,4700,16×30,3060,0.019,0.038
25,4700,18×25,2790,0.02,0.04
25,5600,18×30,3240,0.018,0.036
35,470,10×16,1180,0.061,0.122
35,680,10×20,1490,0.045,0.09
35,820,10×25,1710,0.037,0.074
35,1000,12.5×20,1780,0.038,0.076
35,1200,12.5×25,2170,0.03,0.06
35,1800,12.5×30,2540,0.025,0.05
35,1800,16×20,2210,0.028,0.056
35,2200,16×25,2620,0.022,0.044
35,2200,18×20,2490,0.028,0.056
35,3300,16×30,3060,0.019,0.038
35,3300,18×25,2790,0.02,0.04
35,3900,18×30,3240,0.018,0.036
50,180,10×16,850,0.1,0.2
50,270,10×20,1050,0.075,0.15
50,330,10×25,1250,0.057,0.114
50,390,12.5×20,1480,0.059,0.118
50,560,12.5×25,1840,0.044,0.088
50,680,12.5×30,2220,0.036,0.072
50,820,16×20,1840,0.044,0.088
50,1200,16×25,2240,0.032,0.064
50,1200,18×20,2150,0.041,0.082
50,1500,16×30,2700,0.026,0.052
50,1500,18×25,2610,0.029,0.058
50,2200,18×30,3000,0.024,0.048
63,120,10×16,600,0.16,0.32
63,180,10×20,890,0.12,0.24
63,220,10×25,1050,0.09,0.18
63,330,12.5×20,1290,0.085,0.17
63,390,12.5×25,1720,0.066,0.132
63,470,12.5×30,2090,0.052,0.104
63,560,16×20,1770,0.059,0.118
63,820,16×25,2160,0.047,0.094
63,820,18×20,2290,0.055,0.11
63,1000,16×30,2670,0.037,0.074
63,1000,18×25,2590,0.04,0.08
63,1500,18×30,2950,0.032,0.064
80,100,10×16,550,0.33,0.81
80,150,10×20,780,0.24,0.59
80,180,10×25,970,0.19,0.47
80,180,12.5×20,1120,0.165,0.39
80,270,12.5×25,1420,0.12,0.28
80,390,12.5×30,1690,0.097,0.23
80,390,16×20,1560,0.11,0.26
80,470,18×20,1660,0.09,0.19
80,560,16×25,1980,0.081,0.19
80,680,16×30,2350,0.064,0.15
80,680,18×25,2100,0.07,0.15
80,820,18×30,2490,0.058,0.13
100,68,10×16,550,0.33,0.81
100,100,10×20,780,0.24,0.59
100,120,10×25,970,0.19,0.47
100,120,12.5×20,1120,0.165,0.39
100,180,12.5×25,1420,0.12,0.28
100,220,12.5×30,1690,0.097,0.23
100,270,16×20,1560,0.11,0.26
100,330,16×25,1980,0.081,0.19
100,330,18×20,1660,0.09,0.19
100,470,16×30,2350,0.064,0.15
100,470,18×25,2100,0.07,0.15
100,560,18×30,2490,0.058,0.13
