Rated Voltage (Vdc),Capacitance (μF),Size φD×L (mm),Rated Ripple 120Hz,Rated Ripple 100kHz
160,5.6,6.3×11,52,104
160,10.0,8×9,70,133
160,15.0,8×11.5,92,174
160,15.0,10×9,95,180
160,22.0,10×12.5,121,217
160,33.0,10×16,158,284
200,2.2,6.3×11,36,72
200,3.3,6.3×11,42,84
200,4.7,6.3×11,49,98
200,5.6,8×9,56,112
200,6.8,8×9,62,117
200,8.2,8×9,66,125
200,10.0,8×11.5,80,152
200,12.0,10×9,88,167
200,18.0,10×12.5,113,214
200,27.0,10×16,149,268
250,1.8,6.3×11,33,66
250,2.2,6.3×11,36,72
250,3.3,6.3×11,42,84
250,4.7,8×9,53,106
250,5.6,8×11.5,62,124
250,6.8,8×11.5,68,129
250,8.2,10×9,76,144
250,10.0,10×12.5,90,171
250,12.0,10×12.5,97,184
250,18.0,10×16,127,241
400,1.0,6.3×11,24,48
400,1.2,8×9,28,56
400,1.5,8×9,30,60
400,1.8,8×9,33,66
400,2.2,8×9,36,72
400,2.2,8×11.5,40,80
400,2.7,8×11.5,43,86
400,3.3,8×11.5,47,94
400,3.3,10×9,48,96
400,3.9,10×12.5,57,114
400,4.7,10×12.5,61,122
400,6.8,10×16,85,161
450,4.7,10×16,54,180
450,4.7,10×20,66,220
450,6.8,10×20,84,280
450,8.2,10×20,84,280
450,10.0,12.5×20,135,450
450,15.0,12.5×25,180,600
450,22.0,12.5×25,240,600
450,22.0,16×20,292,730
450,33.0,16×25,392,980
450,33.0,18×20,312,780
450,47.0,18×25,480,1200
450,68.0,18×31.5,520,1300
