Rated Voltage (Vdc),Capacitance (μF),Size φD×L(mm),RatedRipple Current
200,82,10×30,0.51
200,100,10×35,0.6
200,120,10×40,0.68
200,150,12.5×30,0.73
200,180,12.5×35,0.85
200,220,12.5×40,0.97
200,220,14.5×30,0.89
200,270,14.5×35,1.04
200,270,16×30,1.01
200,330,16×35,1.17
200,330,18×30,1.17
200,390,16×40,1.33
200,390,18×35,1.33
200,470,18×40,1.53
200,560,18×45,1.73
400,18,8×25,0.19
400,22,8×30,0.22
400,27,8×35,0.25
400,33,8×45,0.33
400,33,10×30,0.33
400,39,8×50,0.35
400,39,10×35,0.37
400,47,10×40,0.43
400,56,10×45,0.48
400,56,12.5×30,0.47
400,68,12.5×35,0.54
400,82,12.5×40,0.62
400,82,14.5×31.5,0.61
400,100,12.5×50,0.73
400,100,14.5×35,0.7
400,100,16×31.5,0.71
400,120,14.5×40,0.79
400,120,16×35,0.8
400,150,14.5×50,0.94
400,150,16×40,0.92
400,150,18×31.5,0.89
400,180,16×50,1.08
400,180,18×40,1.06
400,220,18×45,1.2
420,15,8×25,0.12
420,18,8×30,0.14
420,22,8×40,0.22
420,27,8×45,0.26
420,33,10×30,0.32
420,39,10×35,0.36
420,47,10×40,0.41
420,56,10×50,0.49
420,56,12.5×30,0.46
420,68,12.5×35,0.53
420,82,12.5×45,0.63
420,82,14.5×31.5,0.6
420,100,12.5×50,0.71
420,100,14.5×40,0.72
420,100,16×31.5,0.69
420,120,14.5×45,0.81
420,120,16×35,0.78
420,120,18×31.5,0.8
420,150,16×45,0.94
420,150,18×35,0.92
420,180,16×50,1.05
420,180,18×40,1.04
420,220,18×50,1.22
450,12,8×25,0.15
450,15,8×30,0.17
450,18,8×35,0.19
450,22,8×45,0.23
450,27,10×30,0.3
450,33,10×35,0.34
450,39,10×40,0.39
450,47,10×45,0.44
450,47,12.5×30,0.43
450,56,12.5×35,0.49
450,68,12.5×40,0.56
450,68,14.5×31.5,0.56
450,82,12.5×45,0.63
450,82,14.5×35,0.63
450,82,16×31.5,0.64
450,100,14.5×40,0.72
450,100,16×35,0.73
450,120,14.5×50,0.85
450,120,16×40,0.82
450,120,18×31.5,0.8
450,150,16×50,0.98
450,150,18×40,0.97
450,180,18×45,1.09
450,220,18×50,1.22
