Rated Voltage (Vdc),Capacitance (μF),Size φD×L (mm),Rated Ripple Current (mA r.m.s./130℃ 100kHz),Impedance (Ω MAX/20℃ 100kHz)
10,330.0,8×11.5,360,0.22
10,470.0,10×12.5,620,0.15
10,1000.0,10×20,960,0.073
10,2200.0,12.5×25,1430,0.04
10,3300.0,16×25,1900,0.038
10,4700.0,16×31.5,2300,0.034
16,330.0,8×11.5,360,0.22
16,470.0,10×12.5,620,0.15
16,1000.0,10×20,960,0.073
16,2200.0,12.5×25,1430,0.04
16,3300.0,16×31.5,2300,0.034
16,4700.0,16×35.5,2550,0.031
25,220.0,8×11.5,360,0.22
25,330.0,10×12.5,620,0.15
25,470.0,10×16,800,0.1
25,1000.0,12.5×20,1100,0.055
25,2200.0,16×31.5,2300,0.034
25,3300.0,16×35.5,2550,0.031
35,100.0,8×11.5,360,0.22
35,220.0,10×12.5,620,0.15
35,330.0,10×16,800,0.1
35,470.0,10×20,960,0.073
35,1000.0,12.5×25,1430,0.04
35,2200.0,16×35.5,2550,0.031
35,3300.0,18×35.5,2800,0.028
50,4.7,8×11.5,100,0.85
50,10.0,8×11.5,200,0.6
50,22.0,8×11.5,260,0.35
50,33.0,8×11.5,300,0.28
50,47.0,8×11.5,300,0.28
50,100.0,10×12.5,520,0.18
50,220.0,10×20,890,0.082
50,330.0,12.5×20,1000,0.065
50,470.0,12.5×25,1200,0.051
50,1000.0,16×31.5,2180,0.037
50,2200.0,18×40,2800,0.029
63,33.0,8×11.5,250,0.4
63,47.0,10×12.5,400,0.27
63,100.0,10×16,450,0.2
63,220.0,12.5×20,820,0.1
63,330.0,12.5×25,1000,0.072
63,470.0,16×25,1500,0.069
63,1000.0,16×31.5,1850,0.056
63,1500.0,18×40,2350,0.043
100,4.7,8×11.5,100,1.3
100,10.0,8×11.5,200,1.0
100,22.0,8×11.5,220,0.67
100,33.0,10×12.5,260,0.45
100,47.0,10×16,330,0.33
100,100.0,12.5×20,670,0.17
100,220.0,16×25,1100,0.13
100,330.0,16×31.5,1300,0.1
100,470.0,18×31.5,1600,0.092
200,4.7,6.3×11,100,
200,4.7,8×11.5,120,
200,5.6,8×11.5,130,
200,5.6,8×16,180,
200,6.8,8×11.5,130,
200,6.8,8×16,180,
200,10.0,8×16,200,
200,10.0,8×20,240,
200,15.0,8×16,200,
200,15.0,8×20,240,
200,22.0,8×20,300,
200,22.0,10×16,240,
200,33.0,10×20,320,
400,1.0,6.3×11,60,
400,1.0,8×11.5,65,
400,1.5,8×11.5,75,
400,1.5,8×16,80,
400,1.8,8×11.5,75,
400,1.8,8×16,85,
400,2.2,8×11.5,75,
400,2.2,8×16,90,
400,2.2,8×20,110,
400,2.7,8×16,95,
400,2.7,8×20,115,
400,3.3,8×16,100,
400,3.3,8×20,120,
400,4.7,8×20,120,
400,4.7,10×16,125,
400,5.6,10×16,130,
400,5.6,10×20,145,
400,6.8,10×20,150,
