Rated Voltage (Vdc),Capacitance (μF),Size φD×L (mm),RatedRipple Current,Impedance 20℃ 100kHz,Impedance -10℃ 100kHz
6.3,150,5×11,210,0.58,2.3
6.3,220,5×11,210,0.58,2.3
6.3,330,6.3×11,340,0.22,0.87
6.3,470,6.3×11,340,0.22,0.87
6.3,680,8×11.5,730,0.12,0.48
6.3,820,8×16,1050,0.069,0.27
6.3,1000,8×11.5,730,0.12,0.48
6.3,1200,8×16,1050,0.069,0.27
6.3,1200,10×12.5,1210,0.06,0.24
6.3,1500,10×16,1450,0.046,0.18
6.3,1800,10×20,1720,0.037,0.15
6.3,2200,10×20,1720,0.037,0.15
6.3,2700,10×23,1910,0.031,0.12
6.3,2700,12.5×16,1730,0.04,0.12
6.3,3300,12.5×16,1730,0.04,0.12
6.3,3900,12.5×20,2160,0.028,0.089
6.3,3900,16×16,1940,0.042,0.11
6.3,4700,12.5×25,2650,0.024,0.065
6.3,5600,12.5×25,2650,0.024,0.065
6.3,5600,12.5×30,2880,0.02,0.065
6.3,6800,12.5×35,3350,0.017,0.063
6.3,6800,16×20,2540,0.021,0.06
6.3,8200,16×25,3060,0.017,0.05
6.3,10000,16×31.5,3610,0.017,0.044
6.3,10000,18×20,2860,0.026,0.06
6.3,12000,16×35.5,4080,0.015,0.038
6.3,12000,18×25,3140,0.019,0.045
6.3,15000,18×31.5,4170,0.015,0.038
6.3,18000,18×35.5,4280,0.014,0.032
6.3,22000,18×40,4550,0.012,0.03
10.0,100,5×11,210,0.58,2.3
10.0,220,5×11,210,0.58,2.3
10.0,220,6.3×11,340,0.22,0.87
10.0,470,6.3×11,340,0.22,0.87
10.0,680,8×11.5,730,0.12,0.48
10.0,680,8×16,1050,0.069,0.27
10.0,1000,8×16,1050,0.069,0.27
10.0,1000,10×12.5,1210,0.06,0.24
10.0,1200,10×16,1450,0.046,0.18
10.0,1500,8×20,1650,0.042,0.17
10.0,1500,10×16,1450,0.046,0.18
10.0,1500,10×20,1720,0.037,0.15
10.0,1800,10×20,1720,0.037,0.15
10.0,2200,10×23,1910,0.031,0.12
10.0,2200,12.5×16,1730,0.04,0.12
16.0,56,5×11,210,0.58,2.3
16.0,120,5×11,210,0.58,2.3
16.0,330,6.3×11,340,0.22,0.87
16.0,470,8×11.5,730,0.12,0.48
16.0,470,8×16,1050,0.069,0.27
16.0,680,8×16,1050,0.069,0.27
16.0,680,10×12.5,1210,0.06,0.24
16.0,1000,8×20,1650,0.042,0.17
16.0,1000,10×16,1450,0.046,0.18
16.0,1000,10×20,1720,0.037,0.15
16.0,1200,10×20,1720,0.037,0.15
16.0,1500,10×20,1720,0.037,0.15
16.0,1500,10×23,1910,0.031,0.12
16.0,1500,12.5×16,1730,0.04,0.12
16.0,1800,10×23,1910,0.031,0.12
16.0,2200,10×25,2230,0.027,0.089
16.0,2200,12.5×20,2160,0.028,0.089
16.0,2200,16×16,1940,0.042,0.11
16.0,2700,12.5×25,2650,0.024,0.065
16.0,3300,12.5×30,2880,0.02,0.065
16.0,3900,12.5×35,3350,0.017,0.063
16.0,3900,16×20,2540,0.021,0.06
16.0,4700,16×25,3060,0.017,0.05
16.0,4700,18×20,2860,0.026,0.06
16.0,5600,16×31.5,3610,0.017,0.044
16.0,5600,18×25,3140,0.019,0.045
16.0,6800,16×35.5,4080,0.015,0.038
16.0,8200,18×31.5,4170,0.015,0.038
16.0,10000,18×35.5,4280,0.014,0.032
16.0,12000,18×40,4550,0.012,0.03
25.0,47,5×11,210,0.58,2.3
25.0,100,5×11,210,0.58,2.3
25.0,220,6.3×11,340,0.22,0.87
25.0,330,8×11.5,730,0.12,0.48
25.0,330,8×16,1050,0.069,0.27
25.0,390,8×16,1050,0.069,0.27
25.0,470,8×16,1050,0.069,0.27
25.0,470,10×12.5,1210,0.06,0.24
25.0,560,8×20,1650,0.042,0.17
25.0,680,10×16,1450,0.046,0.18
25.0,680,10×20,1720,0.037,0.15
25.0,820,10×20,1720,0.037,0.15
25.0,1000,10×20,1720,0.037,0.15
25.0,1000,10×23,1910,0.031,0.12
25.0,1000,12.5×16,1730,0.04,0.12
25.0,1200,16×16,1940,0.042,0.11
25.0,1500,12.5×20,2160,0.028,0.089
25.0,1800,12.5×25,2650,0.024,0.065
25.0,2200,12.5×30,2880,0.02,0.065
25.0,2200,16×20,2540,0.021,0.06
25.0,2700,12.5×35,3350,0.017,0.063
25.0,2700,16×20,2540,0.021,0.06
25.0,3300,16×25,3060,0.017,0.05
25.0,3300,18×20,2860,0.026,0.06
25.0,3900,16×31.5,3610,0.017,0.044
25.0,3900,18×25,3140,0.019,0.045
25.0,4700,16×35.5,4080,0.015,0.038
25.0,4700,18×31.5,4170,0.015,0.038
25.0,5600,18×35.5,4280,0.014,0.032
25.0,6800,18×40,4550,0.012,0.03
35.0,33,5×11,210,0.58,2.3
35.0,56,5×11,210,0.58,2.3
35.0,150,8×11.5,730,0.12,0.48
35.0,220,8×11.5,730,0.12,0.48
35.0,220,8×16,1050,0.069,0.27
35.0,270,8×16,1050,0.069,0.27
35.0,330,10×12.5,1210,0.06,0.24
35.0,390,8×20,1650,0.042,0.17
35.0,470,10×16,1450,0.046,0.18
35.0,470,10×20,1720,0.037,0.15
35.0,560,10×20,1720,0.037,0.15
35.0,680,10×23,1910,0.031,0.12
35.0,680,12.5×16,1730,0.04,0.12
35.0,1000,12.5×20,2160,0.028,0.089
35.0,1000,16×16,1940,0.042,0.11
35.0,1200,12.5×25,2650,0.024,0.065
35.0,1500,12.5×30,2880,0.02,0.065
35.0,1800,12.5×35,3350,0.017,0.063
35.0,1800,16×20,2540,0.021,0.06
35.0,2200,16×25,3060,0.017,0.05
35.0,2200,18×20,2860,0.026,0.06
35.0,2700,16×31.5,3610,0.017,0.044
35.0,2700,18×25,3140,0.019,0.045
35.0,3300,16×35.5,4080,0.015,0.038
35.0,3300,18×31.5,4170,0.015,0.038
35.0,3900,18×35.5,4280,0.014,0.032
35.0,4700,18×40,4550,0.012,0.03
50.0,22,5×11,210,0.58,2.3
50.0,56,6.3×11,340,0.22,0.87
50.0,100,8×11.5,730,0.12,0.48
50.0,120,8×11.5,730,0.12,0.48
50.0,150,8×16,910,0.091,0.36
50.0,180,8×16,910,0.091,0.36
50.0,220,10×12.5,1050,0.084,0.34
50.0,270,10×16,1220,0.06,0.24
50.0,270,10×20,1440,0.055,0.22
50.0,330,10×20,1440,0.055,0.22
50.0,470,10×23,1690,0.043,0.17
50.0,470,12.5×16,1670,0.045,0.15
50.0,560,12.5×20,1950,0.034,0.11
50.0,560,16×16,1830,0.054,0.15
50.0,680,12.5×25,2510,0.025,0.083
50.0,820,12.5×25,2510,0.025,0.083
50.0,820,12.5×30,2680,0.024,0.077
50.0,1000,12.5×35,2920,0.021,0.069
50.0,1000,16×20,2460,0.025,0.075
50.0,1200,16×25,2980,0.022,0.066
50.0,1200,18×20,2490,0.03,0.07
50.0,1500,16×31.5,3150,0.019,0.057
50.0,1800,16×35.5,3710,0.016,0.048
50.0,1800,18×25,3150,0.022,0.057
50.0,2200,18×31.5,3680,0.018,0.046
50.0,2700,18×35.5,3800,0.014,0.038
50.0,3300,18×40,4170,0.013,0.033
