Rated Voltage (Vdc),Capacitance (μF),Size φD×L (mm),Rated Ripple Current 105C 100kHz,Impedance 20℃ 100kHz,Impedance -10℃ 100kHz
6.3,220.0,5×11,345,0.22,0.8
6.3,470.0,6.3×11,540,0.094,0.35
6.3,820.0,8×11.5,945,0.056,0.19
6.3,1200.0,8×16,1250,0.045,0.15
6.3,1200.0,10×12.5,1330,0.039,0.14
6.3,1500.0,8×20,1500,0.029,0.11
6.3,1800.0,10×16,1760,0.028,0.1
6.3,2200.0,10×20,1960,0.02,0.06
6.3,2700.0,10×23,2250,0.018,0.054
6.3,3900.0,12.5×20,2480,0.017,0.043
6.3,4700.0,12.5×25,2900,0.015,0.038
6.3,5600.0,12.5×30,3450,0.013,0.033
6.3,6800.0,16×20,3250,0.015,0.038
6.3,6800.0,12.5×35,3570,0.012,0.031
6.3,8200.0,16×25,3630,0.013,0.035
10.0,150.0,5×11,345,0.22,0.8
10.0,330.0,6.3×11,540,0.094,0.35
10.0,680.0,8×11.5,945,0.056,0.19
10.0,1000.0,8×16,1250,0.045,0.15
10.0,1000.0,10×12.5,1330,0.039,0.14
10.0,1500.0,8×20,1500,0.029,0.11
10.0,1500.0,10×16,1760,0.028,0.1
10.0,1800.0,10×20,1960,0.02,0.06
10.0,2200.0,10×23,2250,0.018,0.054
10.0,3300.0,12.5×20,2480,0.017,0.043
10.0,3900.0,12.5×25,2900,0.015,0.038
10.0,4700.0,12.5×30,3450,0.013,0.033
10.0,4700.0,16×20,3250,0.015,0.038
10.0,5600.0,12.5×35,3570,0.012,0.031
10.0,6800.0,16×25,3630,0.013,0.035
16.0,100.0,5×11,345,0.22,0.8
16.0,220.0,6.3×11,540,0.094,0.35
16.0,470.0,8×11.5,945,0.056,0.19
16.0,680.0,8×16,1250,0.045,0.15
16.0,680.0,10×12.5,1330,0.039,0.14
16.0,1000.0,8×20,1500,0.029,0.11
16.0,1000.0,10×16,1760,0.028,0.1
16.0,1500.0,10×20,1960,0.02,0.06
16.0,1800.0,10×23,2250,0.018,0.054
16.0,2200.0,12.5×20,2480,0.017,0.043
16.0,2700.0,12.5×25,2900,0.015,0.038
16.0,3300.0,12.5×30,3450,0.013,0.033
16.0,3300.0,16×20,3250,0.015,0.038
16.0,3900.0,12.5×35,3570,0.012,0.031
16.0,4700.0,16×25,3630,0.013,0.035
25.0,68.0,5×11,345,0.22,0.8
25.0,150.0,6.3×11,540,0.094,0.35
25.0,330.0,8×11.5,945,0.056,0.19
25.0,390.0,8×16,1250,0.045,0.15
25.0,470.0,10×12.5,1330,0.039,0.14
25.0,560.0,8×20,1500,0.029,0.11
25.0,680.0,10×16,1760,0.028,0.1
25.0,820.0,10×20,1960,0.02,0.06
25.0,1000.0,10×23,2250,0.018,0.054
25.0,1500.0,12.5×20,2480,0.017,0.043
25.0,1800.0,12.5×25,2900,0.015,0.038
25.0,2200.0,12.5×30,3450,0.013,0.033
25.0,2200.0,16×20,3250,0.015,0.038
25.0,2700.0,12.5×35,3570,0.012,0.031
25.0,3300.0,16×25,3630,0.013,0.035
35.0,47.0,5×11,345,0.22,0.8
35.0,100.0,6.3×11,540,0.094,0.35
35.0,220.0,8×11.5,945,0.056,0.19
35.0,270.0,8×16,1250,0.045,0.15
35.0,330.0,10×12.5,1330,0.039,0.14
35.0,390.0,8×20,1500,0.029,0.11
35.0,470.0,10×16,1760,0.028,0.1
35.0,560.0,10×20,1960,0.02,0.06
35.0,680.0,10×23,2250,0.018,0.054
35.0,1000.0,12.5×20,2480,0.017,0.043
35.0,1200.0,12.5×25,2900,0.015,0.038
35.0,1500.0,12.5×30,3450,0.013,0.033
35.0,1500.0,16×20,3250,0.015,0.038
35.0,1800.0,12.5×35,3570,0.012,0.031
35.0,2200.0,16×25,3630,0.013,0.035
50.0,27.0,5×11,238,0.34,1.18
50.0,56.0,6.3×11,385,0.14,0.5
50.0,100.0,8×11.5,724,0.074,0.22
50.0,120.0,8×16,950,0.061,0.18
50.0,150.0,10×12.5,979,0.061,0.18
50.0,180.0,8×20,1190,0.046,0.14
50.0,220.0,10×16,1370,0.042,0.12
50.0,270.0,10×20,1580,0.03,0.09
50.0,330.0,10×23,1870,0.028,0.085
50.0,470.0,12.5×20,2050,0.027,0.068
50.0,560.0,12.5×25,2410,0.023,0.059
50.0,680.0,12.5×30,2860,0.021,0.052
50.0,820.0,12.5×35,2960,0.019,0.051
50.0,820.0,16×20,2730,0.023,0.059
50.0,1000.0,16×25,3010,0.021,0.056
63.0,18.0,5×11,173,0.88,3.5
63.0,47.0,6.3×11,278,0.35,1.4
63.0,82.0,8×11.5,525,0.22,0.88
63.0,100.0,8×16,688,0.16,0.64
63.0,120.0,10×12.5,725,0.15,0.6
63.0,150.0,8×20,861,0.12,0.48
63.0,180.0,10×16,998,0.11,0.44
63.0,270.0,10×20,1200,0.078,0.31
63.0,270.0,12.5×16,1200,0.082,0.27
63.0,330.0,10×23,1410,0.069,0.28
63.0,390.0,12.5×20,1570,0.06,0.19
63.0,470.0,12.5×25,1990,0.043,0.14
63.0,560.0,12.5×30,2410,0.035,0.13
63.0,560.0,16×20,2100,0.043,0.14
63.0,680.0,12.5×35,2620,0.033,0.11
63.0,820.0,12.5×40,2940,0.027,0.09
63.0,820.0,16×25,2730,0.032,0.096
63.0,820.0,18×20,2500,0.038,0.1
63.0,1200.0,16×31.5,2990,0.024,0.068
63.0,1200.0,18×25,2800,0.031,0.084
63.0,1500.0,16×35.5,3040,0.021,0.057
63.0,1500.0,18×31.5,3300,0.025,0.068
63.0,1800.0,16×40,3570,0.019,0.057
63.0,1800.0,18×35.5,3570,0.02,0.054
63.0,2200.0,18×40,3670,0.018,0.049
80.0,12.0,5×11,163,1.4,5.6
80.0,33.0,6.3×11,267,0.57,2.3
80.0,56.0,8×11.5,462,0.36,1.4
80.0,68.0,8×16,585,0.25,1.0
80.0,82.0,10×12.5,624,0.23,0.96
80.0,100.0,8×20,735,0.19,0.76
80.0,120.0,10×16,780,0.17,0.72
80.0,180.0,10×20,1040,0.12,0.52
80.0,180.0,12.5×16,975,0.13,0.43
80.0,220.0,10×23,1170,0.11,0.47
80.0,270.0,12.5×20,1430,0.085,0.31
80.0,330.0,12.5×25,1620,0.06,0.23
80.0,390.0,12.5×30,1950,0.051,0.21
80.0,390.0,16×20,1750,0.058,0.21
80.0,470.0,12.5×35,2140,0.043,0.17
80.0,560.0,12.5×40,2340,0.036,0.15
80.0,560.0,16×25,2210,0.044,0.16
80.0,560.0,18×20,1950,0.054,0.18
80.0,680.0,16×31.5,2400,0.033,0.12
80.0,820.0,16×35.5,2600,0.029,0.1
80.0,820.0,18×25,2270,0.038,0.13
80.0,1000.0,16×40,2860,0.027,0.09
80.0,1000.0,18×31.5,2470,0.031,0.11
80.0,1200.0,18×35.5,2860,0.027,0.084
80.0,1500.0,18×40,3510,0.026,0.076
100.0,8.2,5×11,163,1.4,5.6
100.0,18.0,6.3×11,267,0.57,2.3
100.0,33.0,8×11.5,462,0.36,1.4
100.0,47.0,8×16,585,0.25,1.0
100.0,56.0,10×12.5,624,0.23,0.96
100.0,68.0,8×20,735,0.19,0.76
100.0,82.0,10×16,780,0.17,0.72
100.0,100.0,10×20,1040,0.12,0.52
100.0,100.0,12.5×16,975,0.13,0.43
100.0,120.0,10×23,1170,0.11,0.47
100.0,150.0,12.5×20,1430,0.085,0.31
100.0,220.0,12.5×25,1620,0.06,0.23
100.0,270.0,12.5×30,1950,0.051,0.21
100.0,270.0,16×20,1750,0.058,0.21
100.0,330.0,12.5×35,2140,0.043,0.17
100.0,390.0,12.5×40,2340,0.036,0.15
100.0,390.0,16×25,2210,0.044,0.16
100.0,390.0,18×20,1950,0.054,0.18
100.0,470.0,16×31.5,2400,0.033,0.12
100.0,470.0,18×25,2270,0.038,0.13
100.0,560.0,16×35.5,2600,0.029,0.1
100.0,560.0,18×31.5,2470,0.031,0.11
100.0,680.0,16×40,2860,0.027,0.09
100.0,680.0,18×35.5,2860,0.027,0.084
100.0,820.0,18×40,3510,0.026,0.076
