Rated Voltage (Vdc),Capacitance (μF),Size φD×L (mm),Rated Ripple Current 105C 100kHz,Impedance 20℃ 100kHz,Impedance -10℃ 100kHz
6.3,270,5×11,400,0.21,0.77
6.3,680,6.3×11,620,0.092,0.34
6.3,1200,8×11.5,1060,0.049,0.15
6.3,1500,8×16,1390,0.038,0.12
6.3,1800,10×12.5,1470,0.035,0.11
6.3,2200,8×20,1660,0.027,0.081
6.3,2700,10×16,1930,0.025,0.075
6.3,3900,10×20,2130,0.018,0.054
6.3,4700,10×25,2500,0.015,0.045
6.3,5600,12.5×20,2690,0.016,0.041
6.3,8200,12.5×25,3140,0.013,0.033
6.3,8200,12.5×30,3680,0.012,0.03
6.3,10000,16×20,3500,0.014,0.035
6.3,10000,12.5×35,3800,0.01,0.025
6.3,12000,16×25,3880,0.011,0.028
10.0,220,5×11,400,0.21,0.77
10.0,470,6.3×11,620,0.092,0.34
10.0,820,8×11.5,1060,0.049,0.15
10.0,1200,8×16,1390,0.038,0.12
10.0,1200,10×12.5,1470,0.035,0.11
10.0,1800,8×20,1660,0.027,0.081
10.0,1800,10×16,1930,0.025,0.075
10.0,2700,10×20,2130,0.018,0.054
10.0,3300,10×25,2500,0.015,0.045
10.0,3900,12.5×20,2690,0.016,0.041
10.0,5600,12.5×25,3140,0.013,0.033
10.0,6800,12.5×30,3680,0.012,0.03
10.0,6800,16×20,3500,0.014,0.035
10.0,8200,12.5×35,3800,0.01,0.025
10.0,8200,16×25,3880,0.011,0.028
16.0,150,5×11,400,0.21,0.77
16.0,330,6.3×11,620,0.092,0.34
16.0,560,8×11.5,1060,0.049,0.15
16.0,820,8×16,1390,0.038,0.12
16.0,820,10×12.5,1470,0.035,0.11
16.0,1200,8×20,1660,0.027,0.081
16.0,1200,10×16,1930,0.025,0.075
16.0,1800,10×20,2130,0.018,0.054
16.0,2200,10×25,2500,0.015,0.045
16.0,2700,12.5×20,2690,0.016,0.041
16.0,3900,12.5×25,3140,0.013,0.033
16.0,3900,12.5×30,3680,0.012,0.03
16.0,4700,16×20,3500,0.014,0.035
16.0,5600,12.5×35,3800,0.01,0.025
16.0,5600,16×25,3880,0.011,0.028
25.0,82,5×11,400,0.21,0.77
25.0,180,6.3×11,620,0.092,0.34
25.0,330,8×11.5,1060,0.049,0.15
25.0,470,8×16,1390,0.038,0.12
25.0,560,10×12.5,1470,0.035,0.11
25.0,680,8×20,1660,0.027,0.081
25.0,820,10×16,1930,0.025,0.075
25.0,1200,10×20,2130,0.018,0.054
25.0,1500,10×25,2500,0.015,0.045
25.0,1800,12.5×20,2690,0.016,0.041
25.0,2200,12.5×25,3140,0.013,0.033
25.0,2700,12.5×30,3680,0.012,0.03
25.0,2700,16×20,3500,0.014,0.035
25.0,3300,12.5×35,3800,0.01,0.025
25.0,3900,16×25,3880,0.011,0.028
35.0,56,5×11,400,0.21,0.77
35.0,120,6.3×11,620,0.092,0.34
35.0,220,8×11.5,1060,0.049,0.15
35.0,270,8×16,1390,0.038,0.12
35.0,330,10×12.5,1470,0.035,0.11
35.0,390,8×20,1660,0.027,0.081
35.0,470,10×16,1930,0.025,0.075
35.0,680,10×20,2130,0.018,0.054
35.0,820,10×25,2500,0.015,0.045
35.0,1000,12.5×20,2690,0.016,0.041
35.0,1500,12.5×25,3140,0.013,0.033
35.0,1500,12.5×30,3680,0.012,0.03
35.0,1800,16×20,3500,0.014,0.035
35.0,2200,12.5×35,3800,0.01,0.025
35.0,2200,16×25,3880,0.011,0.028
