Rated Voltage (Vdc),Rated Capacitance (µF),Case size φD×L(mm),"Rated ripple current (mArms/85℃, 120Hz)"
50.0,1.0,5×11,20
50.0,2.2,5×11,30
50.0,3.3,5×11,37
50.0,4.7,5×11,44
50.0,10.0,5×11,64
50.0,22.0,5×11,95
50.0,33.0,6.3×11,142
50.0,47.0,6.3×11,169
50.0,100.0,8×11.5,276
50.0,220.0,10×12.5,455
50.0,330.0,10×16,516
50.0,470.0,10×16,696
50.0,1000.0,13×20,1326
50.0,2200.0,16×25,2064
50.0,3300.0,16×31.5,2753
50.0,4700.0,16×31.5,3298
50.0,6800.0,18×35.5,3509
50.0,10000.0,18×35.5,3897
50.0,15000.0,18×35.5,3685
63.0,1.0,5×11,22
63.0,2.2,5×11,33
63.0,3.3,5×11,40
63.0,4.7,5×11,48
63.0,10.0,5×11,70
63.0,22.0,6.3×11,104
63.0,33.0,8×11.5,194
63.0,47.0,10×12.5,257
63.0,100.0,10×12,302
63.0,220.0,10×16,563
63.0,330.0,10×20,630
63.0,470.0,10×20,829
63.0,1000.0,13×25,1545
63.0,2200.0,16×35.5,2549
63.0,3300.0,18×35.5,3116
100.0,1.0,5×11,24
100.0,2.2,5×11,37
100.0,3.3,5×11,45
100.0,4.7,5×11,54
100.0,10.0,6.3×11,78
100.0,22.0,10×16,129
100.0,33.0,10×20,243
100.0,47.0,13×20,344
100.0,100.0,10×20,468
100.0,220.0,13×25,887
100.0,330.0,13×25,761
100.0,470.0,13×20,1075
100.0,1000.0,16×25,1891
100.0,2200.0,18×40,2606
160.0,1.0,6.3×11,25
160.0,2.2,6.3×11,37
160.0,3.3,6.3×11,45
160.0,4.7,6.3×11,54
160.0,10.0,10×12.5,107
160.0,22.0,10×20,180
160.0,33.0,10×20,243
160.0,47.0,13×20,344
160.0,100.0,13×25,542
160.0,220.0,16×31.5,970
160.0,330.0,18×35.5,1087
160.0,470.0,16×25,1449
200.0,1.0,6.3×11,25
200.0,2.2,6.3×11,37
200.0,3.3,8×11.5,45
200.0,4.7,8×11.5,66
200.0,10.0,10×12.5,107
200.0,22.0,10×20,199
200.0,33.0,13×20,288
200.0,47.0,13×25,371
200.0,100.0,16×25,605
200.0,220.0,18×35.5,1107
200.0,330.0,18×35.5,1356
250.0,1.0,6.3×11,25
250.0,2.2,6.3×11,37
250.0,3.3,8×11.5,54
250.0,4.7,10×12.5,66
250.0,10.0,10×20,121
250.0,22.0,13×20,212
250.0,33.0,16×25,295
250.0,47.0,16×25,394
250.0,100.0,16×31.5,654
250.0,220.0,18×40,1119
350.0,1.0,6.3×11,20
350.0,2.2,8×11.5,36
350.0,3.3,8×11.5,54
350.0,4.7,10×16,66
350.0,10.0,10×20,121
350.0,22.0,13×25,229
350.0,33.0,16×25,313
350.0,47.0,16×31.5,404
350.0,100.0,16×35.5,664
400.0,1.0,6.3×11,24
400.0,2.2,8×11.5,44
400.0,3.3,10×12.5,61
400.0,4.7,10×16,75
400.0,10.0,13×20,121
400.0,22.0,16×25,229
400.0,33.0,16×31.5,303
400.0,47.0,16×35.5,386
450.0,1.0,8×11.5,27
450.0,2.2,10×12.5,44
450.0,3.3,10×16,54
450.0,4.7,10×20,74
450.0,10.0,13×20,128
6.3,100.0,5×11,144
6.3,220.0,5×11,198
6.3,330.0,6.3×11,268
6.3,470.0,6.3×11,320
6.3,1000.0,8×11.5,571
6.3,2200.0,10×20,1029
6.3,3300.0,10×20,1305
6.3,4700.0,13×20,1624
6.3,6800.0,13×25,2055
6.3,10000.0,16×25,2654
6.3,15000.0,16×31.5,3169
6.3,22000.0,18×40,3958
10.0,100.0,5×11,157
10.0,220.0,6.3×11,237
10.0,330.0,6.3×11,290
10.0,470.0,8×11.5,423
10.0,1000.0,10×12.5,686
10.0,2200.0,10×20,1135
10.0,3300.0,13×20,1585
10.0,4700.0,13×25,2006
10.0,6800.0,16×25,2527
10.0,10000.0,16×31.5,2889
10.0,15000.0,18×35.5,3685
16.0,10.0,5×11,55
16.0,22.0,5×11,74
16.0,33.0,5×11,90
16.0,47.0,5×11,108
16.0,100.0,6.3×11,195
16.0,220.0,6.3×11,259
16.0,330.0,8×11.5,388
16.0,470.0,8×11.5,463
16.0,1000.0,10×16,849
16.0,2200.0,13×20,1460
16.0,3300.0,13×25,1806
16.0,4700.0,16×25,2367
16.0,6800.0,16×31.5,2963
16.0,10000.0,18×35.5,3897
25.0,10.0,5×11,59
25.0,22.0,5×11,82
25.0,33.0,5×11,101
25.0,47.0,5×11,121
25.0,100.0,6.3×11,209
25.0,220.0,8×11.5,354
25.0,330.0,8×11.5,434
25.0,470.0,10×12.5,576
25.0,1000.0,10×20,975
25.0,2200.0,13×25,1742
25.0,3300.0,16×25,2261
25.0,4700.0,16×31.5,2779
25.0,6800.0,18×35.5,3509
35.0,10.0,5×11,59
35.0,22.0,5×11,88
35.0,33.0,5×11,108
35.0,47.0,6.3×11,143
35.0,100.0,8×11.5,276
35.0,220.0,8×11.5,379
35.0,330.0,10×12.5,516
35.0,470.0,10×16,696
35.0,1000.0,13×20,1326
35.0,2200.0,16×25,2064
35.0,3300.0,16×31.5,2753
35.0,4700.0,18×35.5,3298
